Long_Desc                                                                    DHA
Sweet rolls, cheese                                                        0.006
Waffles, plain, prepared from recipe                                       0.006
Pie, lemon meringue, commercially prepared                                 0.006
Pie, egg custard, commercially prepared                                    0.006
Pancakes, plain, dry mix, incomplete, prepared                             0.006
Coffeecake, cheese                                                         0.006
Coffeecake, creme-filled with chocolate frosting                           0.006
Cake, pound, commercially prepared, other than all butter, enriched        0.006
Cake, yellow, commercially prepared, with vanilla frosting                 0.006
Cookies, brownies, prepared from recipe                                    0.006
Corn pudding, home prepared                                                0.006
Rolls, dinner, sweet                                                       0.006
Cake, pound, commercially prepared, other than all butter, unenriched      0.006
Pancakes, buttermilk, prepared from recipe                                 0.005
Coffeecake, cinnamon with crumb topping, commercially prepared, unenri     0.005
Muffin, blueberry, commercially prepared, low-fat                          0.005
Pie, lemon meringue, prepared from recipe                                  0.005
Cake, yellow, prepared from recipe without frosting                        0.005
Pudding, lemon, dry mix, regular, prepared with sugar, egg yolk and wa     0.005
Cookies, peanut butter, refrigerated dough, baked                          0.005
Rolls, dinner, egg                                                         0.005
Cookies, vanilla wafers, lower fat                                         0.005
Bread, egg, toasted                                                        0.005
Coffeecake, cinnamon with crumb topping, commercially prepared, enrich     0.005
Pie, vanilla cream, prepared from recipe                                   0.005
Cake, chocolate, prepared from recipe without frosting                     0.005
Croissants, apple                                                          0.005
Cheesecake commercially prepared                                           0.005
Pancakes, whole-wheat, dry mix, incomplete, prepared                       0.005
Muffins, corn, dry mix, prepared                                           0.005
Crackers, matzo, egg                                                       0.005
Pancakes, plain, prepared from recipe                                      0.005
Pasta, homemade, made with egg, cooked                                     0.004
Pie, banana cream, prepared from recipe                                    0.004
Bread, banana, prepared from recipe, made with margarine                   0.004
Pancakes, blueberry, prepared from recipe                                  0.004
Danish pastry, raspberry, unenriched                                       0.004
Danish pastry, lemon, unenriched                                           0.004
Danish pastry, fruit, unenriched (includes apple, cinnamon, raisin, st     0.004
Ice creams, vanilla, rich                                                  0.004
Sweet rolls, cinnamon, commercially prepared with raisins                  0.004
Cookies, chocolate chip, refrigerated dough, baked                         0.004
Cookies, chocolate chip, refrigerated dough                                0.004
Coffeecake, cinnamon with crumb topping, dry mix, prepared                 0.004
Hush puppies, prepared from recipe                                         0.004
Pie, pumpkin, prepared from recipe                                         0.003
Waffles, plain, frozen, ready -to-heat, toasted                            0.003
Egg custards, dry mix, prepared with whole milk                            0.003
Egg custards, dry mix, prepared with 2% milk                               0.003
