|NDB_No|FdGrp_Cd|Long_Desc|DHA
6271|19268|1900|Candies, dark chocolate coated coffee beans|0.0
6273|19270|1900|Ice creams, chocolate|0.0
6326|19351|1900|Syrups, corn, high-fructose|0.0
6328|19353|1900|Syrups, maple|0.0
6329|19355|1900|Syrups, sorghum|0.0
6331|19360|1900|Syrups, table blends, pancake, with 2% maple|0.0
6395|19719|1900|Jams and preserves, apricot|0.0
6419|19858|1900|Candies, sugar-coated almonds|0.0
6420|19859|1900|Cocoa, dry powder, hi-fat or breakfast, plain|0.0
6421|19860|1900|Cocoa, dry powder, hi-fat or breakfast, processed with alkali|0.0
6422|19866|1900|Candies, soft fruit and nut squares|0.0
6423|19867|1900|Ice creams, vanilla, fat free|0.0
6424|19868|1900|Sweeteners, tabletop, sucralose, SPLENDA packets|0.0
6425|19871|1900|Frozen novelties, No Sugar Added, FUDGSICLE pops|0.0
6446|19896|1900|Candies, REESE's Fast Break, milk chocolate, peanut butter, soft nougats, candy bar|0.0
6448|19898|1900|Ice creams, regular, low carbohydrate, vanilla|0.0
6347|19383|1900|Candies, toffee, prepared-from-recipe|0.0
6332|19361|1900|Syrups, table blends, cane and 15% maple|0.0
6335|19364|1900|Toppings, butterscotch or caramel|0.0
6336|19365|1900|Toppings, marshmallow cream|0.0
6337|19366|1900|Toppings, pineapple|0.0
6338|19367|1900|Toppings, nuts in syrup|0.0
6341|19370|1900|Candies, MARS SNACKFOOD US, SKITTLES Original Bite Size Candies|0.0
6342|19371|1900|Frostings, vanilla, creamy, dry mix, prepared with margarine|0.0
6343|19372|1900|Frostings, chocolate, creamy, dry mix, prepared with margarine|0.0
6344|19375|1900|Frostings, glaze, prepared-from-recipe|0.0
6345|19379|1900|Candies, fudge, chocolate marshmallow, prepared-from-recipe|0.0
6346|19382|1900|Candies, taffy, prepared-from-recipe|0.0
6348|19384|1900|Candies, divinity, prepared-from-recipe|0.0
6359|19409|1900|Frostings, glaze, chocolate, prepared-from-recipe, with butter, NFSMI Recipe No. C-32|0.0
1783|8015|800|Cereals ready-to-eat, POST, COCOA PEBBLES|0.0
1801|8046|800|Cereals ready-to-eat, POST, Honeycomb Cereal|0.0
1800|8045|800|Cereals ready-to-eat, GENERAL MILLS, HONEY NUT CHEERIOS|0.0
1799|8039|800|Cereals ready-to-eat, POST, GRAPE-NUTS Flakes|0.0
1798|8038|800|Cereals ready-to-eat, POST, GRAPE-NUTS Cereal|0.0
1797|8037|800|Cereals ready-to-eat, granola, homemade|0.0
1796|8035|800|Cereals ready-to-eat, GENERAL MILLS, GOLDEN GRAHAMS|0.0
1795|8034|800|Cereals ready-to-eat, POST, FRUITY PEBBLES|0.0
1794|8032|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S FROSTED RICE KRISPIES|0.0
1793|8031|800|Cereals ready-to-eat, KELLOGG'S FROSTED MINI-WHEATS, Big Bite|0.0
1792|8030|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S FROOT LOOPS|0.0
1791|8029|800|Cereals ready-to-eat, POST Bran Flakes|0.0
1790|8028|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN COMPLETE Wheat Flakes|0.0
1789|8025|800|Cereals ready-to-eat, RALSTON CRISP RICE|0.0
1788|8023|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S CRACKLIN' OAT BRAN|0.0
1787|8020|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S Corn Flakes|0.0
1786|8019|800|Cereals ready-to-eat, GENERAL MILLS, Corn CHEX|0.0
1785|8018|800|Cereals ready-to-eat, QUAKER, QUAKER CRUNCHY BRAN|0.0
1802|8047|800|Cereals ready-to-eat, QUAKER, KING VITAMAN|0.0
1803|8048|800|Cereals ready-to-eat, GENERAL MILLS, KIX|0.0
1804|8049|800|Cereals ready-to-eat, QUAKER, QUAKER OAT LIFE, plain|0.0
1814|8066|800|Cereals ready-to-eat, QUAKER, QUAKER Puffed Rice|0.0
1821|8077|800|Cereals ready-to-eat, GENERAL MILLS, Whole Grain TOTAL|0.0
1820|8074|800|Cereals ready-to-eat, RALSTON TASTEEOS|0.0
1819|8073|800|Cereals ready-to-eat, POST, GOLDEN CRISP|0.0
1818|8071|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S HONEY SMACKS|0.0
1817|8069|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S FROSTED FLAKES|0.0
1816|8068|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S CORN POPS|0.0
1815|8067|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K|0.0
1813|8065|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S RICE KRISPIES|0.0
1805|8050|800|Cereals ready-to-eat, GENERAL MILLS, LUCKY CHARMS|0.0
1812|8064|800|Cereals ready-to-eat, GENERAL MILLS, Rice CHEX|0.0
1811|8061|800|Cereals ready-to-eat, POST Raisin Bran Cereal|0.0
1810|8060|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S RAISIN BRAN|0.0
1809|8059|800|Cereals ready-to-eat, QUAKER, SWEET CRUNCH/QUISP|0.0
1808|8058|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S PRODUCT 19|0.0
1807|8057|800|Cereals ready-to-eat, GENERAL MILLS, Honey Nut CHEX|0.0
1806|8054|800|Cereals ready-to-eat, QUAKER, 100% Natural Granola, Oats, Wheat and Honey|0.0
1784|8017|800|Cereals ready-to-eat, GENERAL MILLS, COOKIE CRISP|0.0
1782|8014|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S COCOA KRISPIES|0.0
1781|8013|800|Cereals ready-to-eat, GENERAL MILLS, CHEERIOS|0.0
1780|8012|800|Cereals ready-to-eat, QUAKER, CAP'N CRUNCH'S PEANUT BUTTER CRUNCH|0.0
1779|8011|800|Cereals ready-to-eat, QUAKER, CAP'N CRUNCH with CRUNCHBERRIES|0.0
1778|8010|800|Cereals ready-to-eat, QUAKER, CAP'N CRUNCH|0.0
1777|8005|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN BRAN BUDS|0.0
1776|8003|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S APPLE JACKS|0.0
1775|8002|800|Cereals ready-to-eat, POST, ALPHA-BITS|0.0
1774|8001|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN Original|0.0
1822|8078|800|Cereals ready-to-eat, GENERAL MILLS, TRIX|0.0
1823|8081|800|Cereals ready-to-eat, POST, Honey Nut Shredded Wheat|0.0
1824|8082|800|Cereals ready-to-eat, GENERAL MILLS, Wheat CHEX|0.0
2169|9055|900|Blueberries, frozen, sweetened|0.0
2192|9081|900|Cranberry sauce, canned, sweetened|0.0
2191|9079|900|Cranberries, dried, sweetened|0.0
2190|9078|900|Cranberries, raw (Vaccinium macrocarpon)|0.0
2188|9076|900|Cherries, sweet, frozen, sweetened|0.0
2186|9074|900|Cherries, sweet, canned, pitted, heavy syrup pack, solids and liquids|0.0
2185|9073|900|Cherries, sweet, canned, light syrup pack, solids and liquids|0.0
2184|9072|900|Cherries, sweet, canned, juice pack, solids and liquids|0.0
2183|9071|900|Cherries, sweet, canned, water pack, solids and liquids|0.0
2182|9070|900|Cherries, sweet, raw (Prunus avium)|0.0
2181|9068|900|Cherries, sour, red, frozen, unsweetened|0.0
2179|9066|900|Cherries, sour, red, canned, heavy syrup pack, solids and liquids|0.0
2177|9064|900|Cherries, sour, red, canned, water pack, solids and liquids (includes USDA commodity red tart cherries, canned)|0.0
2176|9063|900|Cherries, sour, red, raw (Prunus cerasus)|0.0
2175|9062|900|Cherimoya, raw (Annona cherimola)|0.0
2173|9060|900|Carambola, (starfruit), raw (Averrhoa carambola)|0.0
2172|9059|900|Breadfruit, raw (Artocarpus altilis)|0.0
2171|9057|900|Boysenberries, frozen, unsweetened|0.0
2195|9084|900|Currants, red and white, raw (Ribes rubrum)|0.0
2196|9085|900|Currants, zante, dried (Vitis vinifera)|0.0
2198|9087|900|Dates, deglet noor (Phoenix dactylifera)|0.0
2210|9099|900|Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, light syrup, solids and liquids|0.0
2224|9114|900|Grapefruit, raw, pink and red, Florida (Citrus paradisi)|0.0
2222|9112|900|Grapefruit, raw, pink and red, all areas (Citrus paradisi)|0.0
2221|9111|900|Grapefruit, raw, pink and red and white, all areas (Citrus paradisi)|0.0
2219|9109|900|Gooseberries, canned, light syrup pack, solids and liquids|0.0
2218|9107|900|Gooseberries, raw (Ribes spp.)|0.0
2216|9105|900|Fruit salad, (peach and pear and apricot and pineapple and cherry), canned, heavy syrup, solids and liquids|0.0
2211|9100|900|Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, heavy syrup, solids and liquids|0.0
2208|9097|900|Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, juice pack, solids and liquids|0.0
2199|9088|900|Elderberries, raw (Sambucus spp.)|0.0
2207|9096|900|Fruit cocktail, (peach and pineapple and pear and grape and cherry), canned, water pack, solids and liquids|0.0
2206|9095|900|Figs, dried, stewed|0.0
2205|9094|900|Figs, dried, uncooked|0.0
2203|9092|900|Figs, canned, heavy syrup pack, solids and liquids|0.0
2202|9091|900|Figs, canned, light syrup pack, solids and liquids|0.0
2201|9090|900|Figs, canned, water pack, solids and liquids|0.0
2200|9089|900|Figs, raw (Ficus carica)|0.0
2170|9056|900|Boysenberries, canned, heavy syrup (Rubus ursinus var. loganobaccus)|0.0
2168|9054|900|Blueberries, frozen, unsweetened|0.0
2228|9119|900|Grapefruit, sections, canned, water pack, solids and liquids|0.0
2166|9052|900|Blueberries, canned, heavy syrup, solids and liquids|0.0
2137|9019|900|Applesauce, canned, unsweetened, without added ascorbic acid (includes USDA commodity)|0.0
2136|9018|900|Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid|0.0
2135|9017|900|Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid|0.0
2134|9016|900|Apple juice, canned or bottled, unsweetened, without added ascorbic acid|0.0
2130|9012|900|Apples, dried, sulfured, stewed, without added sugar|0.0
2129|9011|900|Apples, dried, sulfured, uncooked|0.0
2127|9009|900|Apples, dehydrated (low moisture), sulfured, uncooked|0.0
2126|9008|900|Apples, canned, sweetened, sliced, drained, heated|0.0
2125|9007|900|Apples, canned, sweetened, sliced, drained, unheated|0.0
2124|9006|900|Apples, raw, without skin, cooked, microwave|0.0
2123|9005|900|Apples, raw, without skin, cooked, boiled|0.0
2122|9004|900|Apples, raw, without skin (Malus domestica)|0.0
2121|9003|900|Apples, raw, with skin (Malus domestica)|0.0
2120|9002|900|Acerola juice, raw|0.0
2119|9001|900|Acerola, (west indian cherry), raw (Malpighia emarginata)|0.0
2087|8680|800|Cereals, oats, instant, fortified, maple and brown sugar, dry|0.0
2066|8657|800|Cereals ready-to-eat, BARBARA'S PUFFINS, original|0.0
2138|9020|900|Applesauce, canned, sweetened, without salt (includes USDA commodity)|0.0
2139|9021|900|Apricots, raw (Prunus armeniaca)|0.0
2140|9022|900|Apricots, canned, water pack, with skin, solids and liquids|0.0
2158|9040|900|Bananas, raw (Musa acuminata Colla)|0.0
2165|9050|900|Blueberries, raw (Vaccinium spp.)|0.0
2164|9048|900|Blackberries, frozen, unsweetened|0.0
2163|9046|900|Blackberries, canned, heavy syrup, solids and liquids|0.0
2162|9044|900|Cherries, tart, dried, sweetened|0.0
2161|9043|900|Blackberry juice, canned|0.0
2160|9042|900|Blackberries, raw (Rubus spp.)|0.0
2159|9041|900|Bananas, dehydrated, or banana powder|0.0
2156|9038|900|Avocados, raw, California (Persea americana)|0.0
2142|9024|900|Apricots, canned, juice pack, with skin, solids and liquids|0.0
2155|9037|900|Avocados, raw, all commercial varieties (Persea americana)|0.0
2154|9036|900|Apricot nectar, canned, without added ascorbic acid|0.0
2153|9035|900|Apricots, frozen, sweetened|0.0
2151|9033|900|Apricots, dried, sulfured, stewed, without added sugar|0.0
2150|9032|900|Apricots, dried, sulfured, uncooked|0.0
2145|9027|900|Apricots, canned, heavy syrup pack, with skin, solids and liquids|0.0
2144|9026|900|Apricots, canned, light syrup pack, with skin, solids and liquids|0.0
2225|9116|900|Grapefruit, raw, white, all areas (Citrus paradisi)|0.0
2229|9120|900|Grapefruit, sections, canned, juice pack, solids and liquids|0.0
1825|8083|800|Cereals ready-to-eat, MALT-O-MEAL, CORN BURSTS|0.0
2280|9193|900|Olives, ripe, canned (small-extra large) (Olea europaea)|0.0
2300|9219|900|Tangerines, (mandarin oranges), canned, juice pack|0.0
2299|9218|900|Tangerines, (mandarin oranges), raw (Citrus reticulata)|0.0
2298|9217|900|Orange-grapefruit juice, canned or bottled, unsweetened|0.0
2297|9216|900|Orange peel, raw|0.0
2296|9215|900|Orange juice, frozen concentrate, unsweetened, diluted with 3 volume water|0.0
2295|9214|900|Orange juice, frozen concentrate, unsweetened, undiluted|0.0
2294|9213|900|Orange juice, frozen concentrate, unsweetened, undiluted, with added calcium|0.0
2293|9212|900|Orange juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added calcium|0.0
2292|9211|900|Orange juice, chilled, includes from concentrate, with added calcium|0.0
2291|9210|900|Orange juice, chilled, includes from concentrate, with added calcium and vitamin D|0.0
2290|9209|900|Orange juice, chilled, includes from concentrate|0.0
2289|9207|900|Orange juice, canned, unsweetened|0.0
2288|9206|900|Orange juice, raw|0.0
2287|9205|900|Oranges, raw, with peel (Citrus sinensis)|0.0
2286|9203|900|Oranges, raw, Florida (Citrus sinensis)|0.0
2283|9200|900|Oranges, raw, all commercial varieties (Citrus sinensis)|0.0
2282|9195|900|Olives, pickled, canned or bottled, green|0.0
2301|9220|900|Tangerines, (mandarin oranges), canned, light syrup pack|0.0
2302|9221|900|Tangerine juice, raw|0.0
2303|9223|900|Tangerine juice, canned, sweetened|0.0
2314|9240|900|Peaches, canned, light syrup pack, solids and liquids|0.0
2324|9251|900|Peach nectar, canned, without added ascorbic acid|0.0
2323|9250|900|Peaches, frozen, sliced, sweetened|0.0
2322|9248|900|Peaches, dried, sulfured, stewed, with added sugar|0.0
2321|9247|900|Peaches, dried, sulfured, stewed, without added sugar|0.0
2320|9246|900|Peaches, dried, sulfured, uncooked|0.0
2317|9243|900|Peaches, spiced, canned, heavy syrup pack, solids and liquids|0.0
2315|9241|900|Peaches, canned, heavy syrup pack, solids and liquids|0.0
2312|9238|900|Peaches, canned, juice pack, solids and liquids|0.0
2304|9226|900|Papayas, raw (Carica papaya)|0.0
2311|9237|900|Peaches, canned, water pack, solids and liquids|0.0
2310|9236|900|Peaches, yellow, raw (Prunus persica)|0.0
2309|9233|900|Passion-fruit juice, yellow, raw (Passiflora edulis f. flavicarpa)|0.0
2308|9232|900|Passion-fruit juice, purple, raw|0.0
2307|9231|900|Passion-fruit, (granadilla), purple, raw (Passiflora edulis)|0.0
2306|9229|900|Papaya nectar, canned|0.0
2305|9228|900|Papaya, canned, heavy syrup, drained|0.0
2281|9194|900|Olives, ripe, canned (jumbo-super colossal)|0.0
2278|9191|900|Nectarines, raw (Prunus persica var. nucipersica)|0.0
2230|9121|900|Grapefruit, sections, canned, light syrup pack, solids and liquids|0.0
2277|9190|900|Mulberries, raw (Morus nigra)|0.0
2253|9149|900|Kumquats, raw (Fortunella spp.)|0.0
2252|9148|900|Kiwifruit, green, raw (Actinidia deliciosa)|0.0
2248|9144|900|Jackfruit, raw (Artocarpus heterophyllus)|0.0
2247|9143|900|Guava sauce, cooked|0.0
2245|9139|900|Guavas, common, raw (Psidium guajava)|0.0
2243|9135|900|Grape juice, canned or bottled, unsweetened, without added ascorbic acid|0.0
2242|9134|900|Grapes, canned, thompson seedless, heavy syrup pack, solids and liquids|0.0
2241|9133|900|Grapes, canned, thompson seedless, water pack, solids and liquids|0.0
2240|9132|900|Grapes, red or green (European type, such as Thompson seedless), raw (Vitis vinifera)|0.0
2239|9131|900|Grapes, american type (slip skin), raw (Vitis spp.)|0.0
2238|9130|900|Grape juice, canned or bottled, unsweetened, with added ascorbic acid|0.0
2236|9128|900|Grapefruit juice, white, raw|0.0
2235|9127|900|Grapefruit juice, pink or red, with added calcium|0.0
2234|9126|900|Grapefruit juice, white, frozen concentrate, unsweetened, diluted with 3 volume water|0.0
2233|9125|900|Grapefruit juice, white, frozen concentrate, unsweetened, undiluted|0.0
2232|9124|900|Grapefruit juice, white, canned, sweetened|0.0
2231|9123|900|Grapefruit juice, white, canned or bottled, unsweetened|0.0
2254|9150|900|Lemons, raw, without peel (Citrus limon)|0.0
2255|9152|900|Lemon juice, raw|0.0
2256|9153|900|Lemon juice from concentrate, canned or bottled|0.0
2268|9174|900|Loquats, raw (Eriobotrya japonica)|0.0
2276|9185|900|Melon balls, frozen|0.0
2275|9184|900|Melons, honeydew, raw (Cucumis melo)|0.0
2274|9183|900|Melons, casaba, raw (Cucumis melo)|0.0
2273|9181|900|Melons, cantaloupe, raw (Cucumis melo)|0.0
2272|9178|900|Mango, dried, sweetened|0.0
2270|9176|900|Mangos, raw (Mangifera indica)|0.0
2269|9175|900|Mammy-apple, (mamey), raw (Mammea americana)|0.0
2265|9167|900|Loganberries, frozen (Rubus ursinus var. loganobaccus)|0.0
2257|9154|900|Lemon juice, frozen, unsweetened, single strength|0.0
2264|9165|900|Litchis, dried|0.0
2263|9164|900|Litchis, raw (Litchi chinensis)|0.0
2262|9163|900|Blueberries, dried, sweetened|0.0
2261|9161|900|Lime juice, canned or bottled, unsweetened|0.0
2260|9160|900|Lime juice, raw|0.0
2259|9159|900|Limes, raw (Citrus latifolia)|0.0
2258|9156|900|Lemon peel, raw|0.0
2065|8656|800|Cereals ready-to-eat, NATURE'S PATH, Organic FLAX PLUS flakes|0.0
2064|8655|800|Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, pecan bunches|0.0
2057|8643|800|Cereals ready-to-eat, GENERAL MILLS, Honey KIX|0.0
1869|8164|800|Cereals, corn grits, yellow, regular and quick, enriched, cooked with water, without salt|0.0
1889|8214|800|Cereals ready-to-eat, QUAKER, Oatmeal Squares|0.0
1888|8211|800|Cereals ready-to-eat, QUAKER, HONEY GRAHAM OH!S|0.0
1886|8206|800|Cereals ready-to-eat, MALT-O-MEAL, COCO-ROOS|0.0
1885|8204|800|Cereals ready-to-eat, chocolate-flavored frosted puffed corn|0.0
1884|8202|800|Cereals ready-to-eat, GENERAL MILLS, OATMEAL CRISP, Crunchy Almond|0.0
1883|8200|800|Cereals, QUAKER, QUAKER MultiGrain Oatmeal, dry|0.0
1882|8194|800|Cereals ready-to-eat, GENERAL MILLS, REESE'S PUFFS|0.0
1881|8192|800|Cereals ready-to-eat, POST SELECTS Blueberry Morning|0.0
1880|8191|800|Cereals ready-to-eat, POST, Shredded Wheat, lightly frosted, spoon-size|0.0
1879|8189|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S Low Fat Granola without Raisins|0.0
1878|8183|800|Cereals, whole wheat hot natural cereal, cooked with water, with salt|0.0
1877|8182|800|Cereals, WHEATENA, cooked with water, with salt|0.0
1876|8180|800|Cereals, oats, regular and quick and instant, unenriched, cooked with water (includes boiling and microwaving), with salt|0.0
1874|8173|800|Cereals, farina, enriched, cooked with water, with salt|0.0
1873|8172|800|Cereals, farina, unenriched, dry|0.0
1872|8169|800|Cereals, CREAM OF WHEAT, regular (10 minute), cooked with water, with salt|0.0
1871|8168|800|Cereals, CREAM OF RICE, cooked with water, with salt|0.0
1890|8215|800|Cereals ready-to-eat, QUAKER, Oatmeal Squares, cinnamon|0.0
1891|8216|800|Cereals ready-to-eat, QUAKER, Toasted Multigrain Crisps|0.0
1892|8218|800|Cereals ready-to-eat, QUAKER, QUAKER 100% Natural Granola with Oats, Wheat, Honey, and Raisins|0.0
1905|8249|800|Cereals, QUAKER, QUAKER MultiGrain Oatmeal, prepared with water, no salt|0.0
1912|8268|800|Cereals ready-to-eat, GENERAL MILLS, FRANKENBERRY|0.0
1911|8267|800|Cereals ready-to-eat, GENERAL MILLS, FROSTED CHEERIOS|0.0
1910|8263|800|Cereals ready-to-eat, GENERAL MILLS, APPLE CINNAMON CHEERIOS|0.0
1909|8262|800|Cereals ready-to-eat, GENERAL MILLS, BASIC 4|0.0
1908|8261|800|Cereals ready-to-eat, GENERAL MILLS, RAISIN NUT BRAN|0.0
1907|8259|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S CRISPIX|0.0
1906|8252|800|Cereals, QUAKER, QUAKER MultiGrain Oatmeal, prepared with water, salt|0.0
1904|8247|800|Cereals ready-to-eat, GENERAL MILLS, TOTAL Raisin Bran|0.0
1893|8220|800|Cereals ready-to-eat, QUAKER, Low Fat 100% Natural Granola with Raisins|0.0
1903|8245|800|Cereals ready-to-eat, GENERAL MILLS, OATMEAL CRISP, Hearty Raisin|0.0
1902|8244|800|Cereals ready-to-eat, GENERAL MILLS, FIBER ONE Bran Cereal|0.0
1901|8243|800|Cereals ready-to-eat, GENERAL MILLS, HONEY NUT CLUSTERS|0.0
1900|8240|800|Cereals, Oat Bran, QUAKER, QUAKER/MOTHER'S Oat Bran, prepared with water, salt|0.0
1899|8239|800|Cereals ready-to-eat, GENERAL MILLS, Berry Burst CHEERIOS, Triple Berry|0.0
1898|8236|800|Cereals, QUAKER, Oat Bran, QUAKER/MOTHER'S Oat Bran, prepared with water, no salt|0.0
1895|8225|800|Cereals, QUAKER, Instant Oatmeal, fruit and cream variety, dry|0.0
1870|8165|800|Cereals, corn grits, yellow, regular, quick, enriched, cooked with water, with salt|0.0
1868|8161|800|Cereals, corn grits, white, regular and quick, enriched, cooked with water, with salt|0.0
2052|8637|800|Cereals ready-to-eat, GENERAL MILLS, Oat Cluster CHEERIOS Crunch|0.0
1867|8160|800|Cereals, corn grits, yellow, regular and quick, unenriched, dry|0.0
1843|8107|800|Cereals, CREAM OF WHEAT, instant, prepared with water, without salt|0.0
1842|8106|800|Cereals, CREAM OF WHEAT, instant, dry|0.0
1841|8105|800|Cereals, farina, enriched, assorted brands including CREAM OF WHEAT, quick (1-3 minutes), cooked with water, without salt|0.0
1840|8104|800|Cereals, farina, enriched, assorted brands including CREAM OF WHEAT, quick (1-3 minutes), dry|0.0
1839|8103|800|Cereals, CREAM OF WHEAT, regular (10 minute), cooked with water, without salt|0.0
1838|8102|800|Cereals, CREAM OF WHEAT, regular, 10 minute cooking, dry|0.0
1837|8101|800|Cereals, CREAM OF RICE, cooked with water, without salt|0.0
1836|8100|800|Cereals, CREAM OF RICE, dry|0.0
1834|8094|800|Cereals, QUAKER, corn grits, instant, cheddar cheese flavor, dry|0.0
1833|8093|800|Cereals, QUAKER, corn grits, instant, plain, prepared (microwaved or boiling water added), without salt|0.0
1832|8092|800|Cereals, QUAKER, corn grits, instant, plain, dry|0.0
1831|8091|800|Cereals, corn grits, white, regular and quick, enriched, cooked with water, without salt|0.0
1830|8090|800|Cereals, corn grits, white, regular and quick, enriched, dry|0.0
1829|8089|800|Cereals ready-to-eat, GENERAL MILLS, WHEATIES|0.0
1828|8087|800|Cereals ready-to-eat, GENERAL MILLS, Multi-Grain CHEERIOS|0.0
1827|8085|800|Cereals ready-to-eat, SUN COUNTRY, KRETSCHMER Honey Crunch Wheat Germ|0.0
1826|8084|800|Cereals ready-to-eat, wheat germ, toasted, plain|0.0
1844|8113|800|Cereals, farina, enriched, cooked with water, without salt|0.0
1845|8116|800|Cereals, MALT-O-MEAL, original, plain, dry|0.0
1846|8120|800|Cereals, oats, regular and quick, not fortified, dry|0.0
1857|8142|800|Cereals, WHEATENA, dry|0.0
1866|8159|800|Cereals, corn grits, yellow, regular and quick, enriched, dry|0.0
1863|8148|800|Cereals ready-to-eat, POST, Shredded Wheat, original spoon-size|0.0
1862|8147|800|Cereals ready-to-eat, POST, Shredded Wheat, original big biscuit|0.0
1861|8146|800|Cereals ready-to-eat, QUAKER, QUAKER Puffed Wheat|0.0
1860|8145|800|Cereals, whole wheat hot natural cereal, cooked with water, without salt|0.0
1859|8144|800|Cereals, whole wheat hot natural cereal, dry|0.0
1858|8143|800|Cereals, WHEATENA, cooked with water|0.0
1856|8138|800|Cereals ready-to-eat, MALT-O-MEAL, MARSHMALLOW MATEYS|0.0
1847|8121|800|Cereals, oats, regular and quick, unenriched, cooked with water (includes boiling and microwaving), without salt|0.0
1855|8133|800|Cereals, oats, instant, fortified, with raisins and spice, prepared with water|0.0
1854|8132|800|Cereals, oats, instant, fortified, with raisins and spice, dry|0.0
1853|8130|800|Cereals, QUAKER, Instant Oatmeal, maple and brown sugar, dry|0.0
1852|8129|800|Cereals, oats, instant, fortified, with cinnamon and spice, prepared with water|0.0
1851|8128|800|Cereals, oats, instant, fortified, with cinnamon and spice, dry|0.0
1849|8123|800|Cereals, oats, instant, fortified, plain, prepared with water (boiling water added or microwaved)|0.0
1848|8122|800|Cereals, oats, instant, fortified, plain, dry|0.0
1913|8270|800|Cereals ready-to-eat, GENERAL MILLS, COUNT CHOCULA|0.0
1914|8271|800|Cereals ready-to-eat, GENERAL MILLS, COCOA PUFFS|0.0
1915|8272|800|Cereals ready-to-eat, GENERAL MILLS, CINNAMON TOAST CRUNCH|0.0
1916|8273|800|Cereals ready-to-eat, GENERAL MILLS, BOO BERRY|0.0
2015|8576|800|Cereals, CREAM OF WHEAT, 1 minute cook time, dry|0.0
2014|8575|800|Cereals, CREAM OF WHEAT, 2 1/2 minute cook time, cooked with water, microwaved, without salt|0.0
2013|8574|800|Cereals, CREAM OF WHEAT, 2 1/2 minute cook time, cooked with water, stove-top, without salt|0.0
2012|8573|800|Cereals, CREAM OF WHEAT, 2 1/2 minute cook time, dry|0.0
2011|8571|800|Cereals ready-to-eat, NATURE'S PATH, Organic FLAX PLUS, Pumpkin Granola|0.0
2005|8560|800|Cereals ready-to-eat, KASHI GO LEAN CRUNCH!, Honey Almond Flax|0.0
2004|8554|800|Cereals ready-to-eat, POST SELECTS Maple Pecan Crunch|0.0
2003|8553|800|Cereals ready-to-eat, GENERAL MILLS, CHEERIOS, Yogurt Burst, strawberry|0.0
2002|8550|800|Cereals ready-to-eat, QUAKER, Christmas Crunch|0.0
1999|8544|800|Cereals ready-to-eat, POST GREAT GRAINS Cranberry Almond Crunch|0.0
1998|8543|800|Cereals ready-to-eat, KELLOGG'S, SPECIAL K Vanilla Almond|0.0
1995|8538|800|Cereals ready-to-eat, KASHI, HEART TO HEART, Oat Flakes & Blueberry Clusters|0.0
1993|8531|800|Cereals ready-to-eat, KELLOGG, SPECIAL K, Fruit & Yogurt|0.0
1992|8513|800|Cereals ready-to-eat, GENERAL MILLS, CHOCOLATE LUCKY CHARMS|0.0
1988|8509|800|Cereals ready-to-eat, USDA Commodity Rice Crisps (includes all commodity brands)|0.0
2016|8577|800|Cereals, CREAM OF WHEAT, 1 minute cook time, cooked with water, stove-top, without salt|0.0
2017|8578|800|Cereals, CREAM OF WHEAT, 1 minute cook time, cooked with water, microwaved, without salt|0.0
2018|8579|800|Cereals ready-to-eat, GENERAL MILLS, 25% Less Sugar CINNAMON TOAST CRUNCH|0.0
2033|8596|800|Cereals ready-to-eat, GENERAL MILLS, FIBER ONE, Caramel Delight|0.0
2051|8635|800|Cereals ready-to-eat, GENERAL MILLS, COCOA PUFFS, 25% Reduced Sugar|0.0
2049|8633|800|Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS with vanilla bunches|0.0
2039|8610|800|Cereals ready-to-eat, KASHI Honey Sunshine|0.0
2037|8603|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K Blueberry|0.0
2036|8602|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K, Cinnamon Pecan|0.0
2035|8599|800|Cereals ready-to-eat, GENERAL MILLS, FIBER ONE, RAISIN BRAN CLUSTERS|0.0
