|NDB_No|FdGrp_Cd|Long_Desc|DHA
5671|18157|1800|Cookies, chocolate wafers|0.002
5648|18119|1800|Cake, pineapple upside-down, prepared from recipe|0.002
5867|18386|1800|Muffins, blueberry, toaster-type, toasted|0.002
5896|18430|1800|Danish pastry, cinnamon, unenriched|0.002
5902|18436|1800|Doughnuts, yeast-leavened, glazed, unenriched (includes honey buns)|0.002
5999|18951|1800|Waffles, chocolate chip, frozen, ready-to-heat|0.002
5683|18171|1800|Cookies, fortune|0.001
5693|18182|1800|Cookies, oatmeal, refrigerated dough|0.001
5694|18183|1800|Cookies, oatmeal, refrigerated dough, baked|0.001
5666|18151|1800|Cookies, brownies, commercially prepared|0.001
5640|18106|1800|Coffeecake, fruit|0.001
5643|18110|1800|Cake, fruitcake, commercially prepared|0.001
2445|9447|900|Plantains, yellow, fried, Latino restaurant|0.001
5750|18245|1800|Danish pastry, cheese|0.001
6011|18963|1800|Garlic bread, frozen|0.001
5753|18248|1800|Doughnuts, cake-type, plain (includes unsugared, old-fashioned)|0.001
6007|18959|1800|Pastry, Pastelitos de Guava (guava pastries)|0.001
5757|18253|1800|Doughnuts, french crullers, glazed|0.001
5729|18223|1800|Crackers, milk|0.001
5853|18368|1800|Wonton wrappers (includes egg roll wrappers)|0.001
5841|18354|1800|Strudel, apple|0.001
5830|18342|1800|Rolls, dinner, plain, commercially prepared (includes brown-and-serve)|0.001
5779|18277|1800|Muffins, blueberry, toaster-type|0.001
5783|18281|1800|Muffins, corn, toaster-type|0.001
5712|18205|1800|Cookies, sugar, refrigerated dough|0.001
5702|18191|1800|Cookies, raisin, soft-type|0.001
5711|18204|1800|Cookies, sugar, commercially prepared, regular (includes vanilla)|0.001
5787|18288|1800|Pancakes plain, frozen, ready-to-heat (includes buttermilk)|0.0
5785|18283|1800|Muffins, oat bran|0.0
5672|18158|1800|Cookies, chocolate chip, commercially prepared, regular, lower fat|0.0
5723|18217|1800|Crackers, matzo, plain|0.0
5798|18301|1800|Pie, apple, commercially prepared, enriched flour|0.0
8122|28320|1800|English muffins, whole grain white|0.0
5710|18202|1800|Cookies, sugar wafer, with creme filling, sugar free|0.0
5794|18295|1800|Pancakes, buckwheat, dry mix, incomplete|0.0
5673|18159|1800|Cookies, chocolate chip, commercially prepared, regular, higher fat, enriched|0.0
5790|18291|1800|Pancakes, plain, dry mix, incomplete (includes buttermilk)|0.0
8115|28313|1800|Rolls, hamburger or hot dog, whole wheat|0.0
8114|28312|1800|Rolls, hamburger or hot dog, wheat/cracked wheat|0.0
5788|18289|1800|Pancakes, plain, dry mix, complete (includes buttermilk)|0.0
5674|18160|1800|Cookies, chocolate chip, commercially prepared, soft-type|0.0
8123|28321|1800|Rolls, hamburger, whole grain white, calcium-fortified|0.0
8124|28322|1800|Bagels, multigrain|0.0
8087|28285|1800|Bread, chapati or roti, whole wheat, commercially prepared, frozen|0.0
8126|28324|1800|Pancakes, whole wheat, dry mix, incomplete|0.0
8232|31036|1100|Potatoes, mashed, ready-to-eat|0.0
5763|18260|1800|English muffins, mixed-grain (includes granola)|0.0
5665|18148|1800|Cheesecake prepared from mix, no-bake type|0.0
8127|28325|1800|Crackers, toast thins, low sodium|0.0
8231|31035|1100|Vegetable juice, BOLTHOUSE FARMS, DAILY GREENS|0.0
5762|18259|1800|English muffins, plain, toasted, enriched, with calcium propionate (includes sourdough)|0.0
8128|28326|1800|Crackers, whole grain, sandwich-type, with peanut butter filling|0.0
5761|18258|1800|English muffins, plain, enriched, with ca prop (includes sourdough)|0.0
5662|18144|1800|Cake, yellow, enriched, dry mix|0.0
8230|31034|1100|Peppers, hot pickled, canned|0.0
8229|31033|1100|Ginger root, pickled, canned, with artificial sweetener|0.0
8228|31032|1100|Vegetable smoothie, NAKED JUICE, KALE BLAZER|0.0
8219|31023|1100|Sweet Potatoes, french fried, frozen as packaged, salt added in processing|0.0
8093|28291|1800|Cookies, animal, with frosting or icing|0.0
5716|18210|1800|Cookies, vanilla sandwich with creme filling|0.0
8218|31022|1100|Potatoes, hash brown, refrigerated, prepared, pan-fried in canola oil|0.0
5661|18142|1800|Cake, pudding-type, yellow, dry mix|0.0
5715|18209|1800|Cookies, sugar wafers with creme filling, regular|0.0
5764|18261|1800|English muffins, mixed-grain, toasted (includes granola)|0.0
5765|18262|1800|English muffins, raisin-cinnamon (includes apple-cinnamon)|0.0
8088|28286|1800|Bread, paratha, whole wheat, commercially prepared, frozen|0.0
8089|28287|1800|Bread, naan, whole wheat, commercially prepared, refrigerated|0.0
5775|18272|1800|Ice cream cones, sugar, rolled-type|0.0
5774|18271|1800|Ice cream cones, cake or wafer-type|0.0
