row      NDB_No  FdGrp_Cd                                          Long_Desc  VITA_RAE
6136   19104      1900                  Candies, fudge, vanilla with nuts      41.0
3411   11795      1100  Leeks, (bulb and lower leaf-portion), cooked, ...      41.0
5782   18280      1800                   Muffins, corn, dry mix, prepared      41.0
2945   11191      1100  Cowpeas (blackeyes), immature seeds, raw (Vign...      41.0
2996   11247      1100  Leeks, (bulb and lower leaf-portion), cooked, ...      41.0
3235   11557      1100  Tomato products, canned, sauce, with onions, g...      41.0
5773   18270      1800                 Hush puppies, prepared from recipe      41.0
3588   11981      1100                            Peppers, hungarian, raw      41.0
2826   11015      1100                  Asparagus, canned, drained solids      41.0
8208   31012      1100      CAMPBELL'S, V8 Vegetable Juice, Low Sodium V8      41.0
3186   11484      1100  Squash, winter, acorn, cooked, boiled, mashed,...      41.0
6305   19321      1900  Puddings, banana, dry mix, regular, prepared w...      40.0
2828   11019      1100  Asparagus, frozen, cooked, boiled, drained, wi...      40.0
271     2022       200          Spices, mace, ground (Myristica fragrans)      40.0
3427   11811      1100    Peas, green, cooked, boiled, drained, with salt      40.0
3393   11777      1100  Cowpeas (blackeyes), immature seeds, cooked, b...      40.0
8150   28348      1800                               Rolls, dinner, sweet      40.0
3236   11559      1100  Tomato products, canned, sauce, with tomato ti...      40.0
2946   11192      1100  Cowpeas (blackeyes), immature seeds, cooked, b...      40.0
6227   19207      1900  Puddings, vanilla, dry mix, regular, prepared ...      40.0
3326   11709      1100  Asparagus, frozen, cooked, boiled, drained, wi...      40.0
3052   11305      1100  Peas, green, cooked, boiled, drained, without ...      40.0
5663   18146      1800  Cake, yellow, prepared from recipe without fro...      40.0
5776   18273      1800  Muffins, plain, prepared from recipe, made wit...      40.0
2360    9288       900  Prunes, canned, heavy syrup pack, solids and l...      40.0
2879   11099      1100  Brussels sprouts, cooked, boiled, drained, wit...      39.0
2363    9291       900                    Plums, dried (prunes), uncooked      39.0
8592   42186      1900                          Frozen yogurts, chocolate      39.0
3362   11745      1100  Brussels sprouts, cooked, boiled, drained, wit...      39.0
6213   19189      1900  Puddings, chocolate, dry mix, regular, prepare...      39.0
6178   19148      1900      Candies, peanut brittle, prepared-from-recipe      39.0
3325   11707      1100  Asparagus, canned, no salt added, solids and l...      39.0
5780   18278      1800  Muffins, blueberry, prepared from recipe, made...      38.0
3544   11934      1100  Potatoes, mashed, home-prepared, whole milk an...      38.0
3051   11304      1100                   Peas, green, raw (Pisum sativum)      38.0
6191   19162      1900                 Candies, WHATCHAMACALLIT Candy Bar      38.0
3550   11940      1100  Pickles, cucumber, sweet (includes bread and b...      38.0
2337    9264       900                        Persimmons, japanese, dried      38.0
6174   19144      1900                     Candies, NESTLE, 100 GRAND Bar      38.0
6133   19101      1900  Candies, fudge, chocolate, with nuts, prepared...      38.0
6303   19319      1900  Puddings, banana, dry mix, instant, prepared w...      38.0
2823   11011      1100             Asparagus, raw (Asparagus officinalis)      38.0
2119    9001       900  Acerola, (west indian cherry), raw (Malpighia ...      38.0
2177    9064       900  Cherries, sour, red, canned, water pack, solid...      38.0
2878   11098      1100  Brussels sprouts, raw (Brassica oleracea (Gemm...      38.0
252     2003       200            Spices, basil, dried (Ocimum basilicum)      37.0
6049   19001      1900  Candies, TOBLERONE, milk chocolate with honey ...      37.0
5639   18105      1800   Coffeecake, creme-filled with chocolate frosting      37.0
3025   11278      1100                 Okra, raw (Abelmoschus esculentus)      36.0
3067   11329      1100  Peppers, hot chili, green, canned, pods, exclu...      36.0
2308    9232       900                   Passion-fruit juice, purple, raw      36.0
2178    9065       900  Cherries, sour, red, canned, light syrup pack,...      36.0
2179    9066       900  Cherries, sour, red, canned, heavy syrup pack,...      36.0
2244    9138       900  Groundcherries, (cape-gooseberries or poha), r...      36.0
2953   11201      1100  Cowpeas, leafy tips, raw (Vigna unguiculata su...      36.0
2180    9067       900  Cherries, sour, red, canned, extra heavy syrup...      35.0
2436    9436       900                               Mango nectar, canned      35.0
2853   11052      1100       Beans, snap, green, raw (Phaseolus vulgaris)      35.0
8646   43027      1900  Jellies, no sugar (with sodium saccharin), any...      35.0
5750   18245      1800                              Danish pastry, cheese      35.0
3254   11585      1100       Vegetable juice cocktail, low sodium, canned      35.0
5884   18418      1800  Cake, pound, commercially prepared, other than...      35.0
5650   18121      1800  Cake, pound, commercially prepared, other than...      35.0
5642   18108      1800  Coffeecake, cinnamon with crumb topping, dry m...      35.0
5580   18023      1800  Bread, cornbread, dry mix, prepared with 2% mi...      35.0
6173   19143      1900                 Candies, MR. GOODBAR Chocolate Bar      35.0
3112   11387      1100  Potatoes, scalloped, dry mix, prepared with wa...      35.0
3249   11578      1100                   Vegetable juice cocktail, canned      35.0
3340   11723      1100  Beans, snap, green, cooked, boiled, drained, w...      35.0
6182   19152      1900           Candies, ROLO Caramels in Milk Chocolate      34.0
2299    9218       900  Tangerines, (mandarin oranges), raw (Citrus re...      34.0
6464   19917      1900        Candies, M&M MARS Pretzel Chocolate Candies      34.0
3302   11660      1100                Tomatoes, red, ripe, cooked, stewed      33.0
8115   28313      1800           Rolls, hamburger or hot dog, whole wheat      33.0
5564   18003      1800                                        Bagels, egg      33.0
5883   18417      1800  Coffeecake, cinnamon with crumb topping, comme...      33.0
5638   18104      1800  Coffeecake, cinnamon with crumb topping, comme...      33.0
3458   11844      1100  Potatoes, scalloped, home-prepared with margarine      33.0
2854   11053      1100  Beans, snap, green, cooked, boiled, drained, w...      32.0
3309   11672      1100                                    Potato pancakes      32.0
2217    9106       900  Fruit salad, (peach and pear and apricot and p...      32.0
3221   11527      1100        Tomatoes, green, raw (Solanum lycopersicum)      32.0
3135   11414      1100                        Potato salad, home-prepared      32.0
5798   18301      1800  Pie, apple, commercially prepared, enriched flour      32.0
5660   18141      1800  Cake, yellow, commercially prepared, with vani...      32.0
2403    9370       900              Peaches, canned, heavy syrup, drained      31.0
6165   19135      1900          Candies, MARS SNACKFOOD US, MILKY WAY Bar      31.0
2870   11090      1100     Broccoli, raw (Brassica oleracea var. italica)      31.0
2880   11100      1100               Brussels sprouts, frozen, unprepared      31.0
2245    9139       900              Guavas, common, raw (Psidium guajava)      31.0
5869   18390      1800         Pancakes, buttermilk, prepared from recipe      30.0
2199    9088       900                  Elderberries, raw (Sambucus spp.)      30.0
2214    9103       900  Fruit salad, (peach and pear and apricot and p...      30.0
5805   18309      1800                  Pie, cherry, prepared from recipe      29.0
3396   11780      1100  Cowpeas, leafy tips, cooked, boiled, drained, ...      29.0
3305   11667      1100                          Seaweed, spirulina, dried      29.0
5914   18451      1800       Cake, pound, commercially prepared, fat-free      29.0
5906   18443      1800  Pie, apple, commercially prepared, unenriched ...      29.0
5837   18350      1800                  Rolls, hamburger or hotdog, plain      29.0
6218   19195      1900  Puddings, rice, dry mix, prepared with whole milk      29.0
6210   19186      1900        Desserts, apple crisp, prepared-from-recipe      29.0
6159   19127      1900             Candies, milk chocolate coated raisins      29.0
6247   19232      1900  Flan, caramel custard, dry mix, prepared with ...      29.0
6128   19096      1900             Ice creams, vanilla, light, soft-serve      29.0
2954   11202      1100  Cowpeas, leafy tips, cooked, boiled, drained, ...      29.0
8578   42148      1900  Candies, MARS SNACKFOOD US, M&M's Peanut Butte...      28.0
2448    9450       900  Naranjilla (lulo) pulp, frozen, unsweetened (S...      28.0
6105   19070      1900                              Candies, butterscotch      28.0
2392    9326       900                Watermelon, raw (Citrullus lanatus)      28.0
3668   12127      1200             Nuts, ginkgo nuts, raw (Ginkgo biloba)      28.0
3183   11481      1100    Squash, summer, zucchini, italian style, canned      27.0
6238   19221      1900  Rennin, chocolate, dry mix, prepared with whol...      27.0
2311    9237       900    Peaches, canned, water pack, solids and liquids      27.0
286     2037       200                   Spices, saffron (Crocus sativus)      27.0
279     2030       200               Spices, pepper, black (Piper nigrum)      27.0
5808   18313      1800          Pie, coconut creme, commercially prepared      27.0
6240   19223      1900  Rennin, vanilla, dry mix, prepared with whole ...      27.0
8114   28312      1800   Rolls, hamburger or hot dog, wheat/cracked wheat      27.0
2002    8550       800     Cereals ready-to-eat, QUAKER, Christmas Crunch      27.0
3065   11326      1100                Peas and onions, frozen, unprepared      27.0
3429   11813      1100  Peas, green, canned, no salt added, drained so...      27.0
2858   11060      1100  Beans, snap, green, frozen, all styles, unprep...      27.0
250     2001       200          Spices, allspice, ground (Pimenta dioica)      27.0
6346   19382      1900               Candies, taffy, prepared-from-recipe      27.0
3558   11949      1100                                 Catsup, low sodium      26.0
3545   11935      1100                                             Catsup      26.0
3527   11916      1100    Peppers, sweet, red, canned, solids and liquids      26.0
3686   12151      1200          Nuts, pistachio nuts, raw (Pistacia vera)      26.0
5570   18011      1800   Biscuits, plain or buttermilk, dry mix, prepared      26.0
3499   11888      1100    Tomato products, canned, puree, with salt added      26.0
2860   11062      1100  Beans, snap, green, frozen, all styles, microw...      26.0
2857   11058      1100  Beans, snap, canned, all styles, seasoned, sol...      26.0
5810   18316      1800        Pie, coconut custard, commercially prepared      26.0
2914   11144      1100      Celery, cooked, boiled, drained, without salt      26.0
3381   11764      1100         Celery, cooked, boiled, drained, with salt      26.0
4864   16128      1600                      Tofu, dried-frozen (koyadofu)      26.0
6309   19325      1900  Puddings, coconut cream, dry mix, regular, pre...      26.0
3116   11393      1100  Potatoes, hash brown, frozen, with butter sauc...      26.0
2362    9290       900          Prunes, dehydrated (low-moisture), stewed      26.0
6209   19185      1900  Puddings, chocolate, dry mix, instant, prepare...      26.0
3229   11547      1100  Tomato products, canned, puree, without salt a...      26.0
3562   11953      1100       Squash, zucchini, baby, raw (Cucurbita spp.)      25.0
3001   11252      1100  Lettuce, iceberg (includes crisphead types), r...      25.0
5578   18021      1800                        Bread, boston brown, canned      25.0
6556   20095      2000   Pasta, fresh-refrigerated, spinach, as purchased      25.0
2216    9105       900  Fruit salad, (peach and pear and apricot and p...      25.0
2438    9438       900  USDA Commodity peaches, canned, light syrup, d...      25.0
6223   19203      1900  Puddings, vanilla, dry mix, instant, prepared ...      25.0
6220   19199      1900  Puddings, tapioca, dry mix, prepared with whol...      25.0
2120    9002       900                                 Acerola juice, raw      25.0
3223   11530      1100                        Tomatoes, red, ripe, cooked      24.0
2831   11024      1100  Balsam-pear (bitter gourd), pods, raw (Momordi...      24.0
5630   18090      1800      Cake, boston cream pie, commercially prepared      24.0
8602   42227      1900  Candies, MARS SNACKFOOD US, M&M's Almond Choco...      24.0
6019   18971      1800                                      Bread, potato      24.0
6314   19331      1900  Puddings, lemon, dry mix, instant, prepared wi...      24.0
6020   18972      1800                                      Bread, cheese      24.0
6307   19323      1900  Puddings, coconut cream, dry mix, instant, pre...      24.0
6141   19109      1900                         Candies, KIT KAT Wafer Bar      24.0
3496   11884      1100             Tomatoes, red, ripe, cooked, with salt      24.0
5731   18225      1800   Crackers, rye, sandwich-type with cheese filling      24.0
6017   18969      1800  Cream puff, eclair, custard or cream filled, iced      23.0
3227   11540      1100              Tomato juice, canned, with salt added      23.0
6492   20023      2000  Cornmeal, yellow, self-rising, bolted, plain, ...      23.0
6576   20126      2000                            Spaghetti, spinach, dry      23.0
3498   11886      1100           Tomato juice, canned, without salt added      23.0
3572   11963      1100              Nopales, raw (Nopalea cochenillifera)      23.0
5566   18006      1800                   Bagels, cinnamon-raisin, toasted      23.0
2952   11200      1100  Yardlong bean, cooked, boiled, drained, withou...      23.0
3510   11899      1100  Yardlong bean, cooked, boiled, drained, with salt      23.0
3612   12011      1200  Seeds, cottonseed meal, partially defatted (gl...      23.0
3348   11731      1100  Beans, snap, green, frozen, cooked, boiled, dr...      23.0
3438   11822      1100  Peppers, sweet, green, cooked, boiled, drained...      23.0
3069   11334      1100  Peppers, sweet, green, cooked, boiled, drained...      23.0
2235    9127       900  Grapefruit juice, pink or red, with added calcium      22.0
5897   18431      1800  Danish pastry, fruit, unenriched (includes app...      22.0
2213    9102       900  Fruit salad, (peach and pear and apricot and p...      22.0
3573   11964      1100                      Nopales, cooked, without salt      22.0
3611   12008      1200       Seeds, cottonseed flour, low fat (glandless)      22.0
3610   12007      1200  Seeds, cottonseed flour, partially defatted (g...      22.0
3231   11549      1100                     Tomato products, canned, sauce      22.0
3693   12160      1200  Seeds, cottonseed kernels, roasted (glandless)...      22.0
8681   43217      1100                Tomato sauce, canned, no salt added      22.0
3055   11310      1100  Peas, green, canned, seasoned, solids and liquids      22.0
5616   18073      1800  Bread, white, prepared from recipe, made with ...      22.0
3497   11885      1100  Tomatoes, red, ripe, canned, packed in tomato ...      22.0
2411    9404       900                        Grapefruit juice, pink, raw      22.0
6170   19140      1900  Candies, MARS SNACKFOOD US, M&M's Peanut Choco...      22.0
2913   11143      1100                     Celery, raw (Apium graveolens)      22.0
2859   11061      1100  Beans, snap, green, frozen, cooked, boiled, dr...      21.0
3185   11483      1100  Squash, winter, acorn, cooked, baked, without ...      21.0
1809    8059       800   Cereals ready-to-eat, QUAKER, SWEET CRUNCH/QUISP      21.0
5777   18274      1800  Muffins, blueberry, commercially prepared (Inc...      21.0
3478   11864      1100    Squash, winter, acorn, cooked, baked, with salt      21.0
2297    9216       900                                   Orange peel, raw      21.0
2464    9515       900  Fruit juice smoothie, BOLTHOUSE FARMS, GREEN G...      21.0
2458    9508       900   Fruit juice smoothie, NAKED JUICE, GREEN MACHINE      21.0
5565   18005      1800                            Bagels, cinnamon-raisin      21.0
5739   18233      1800     Crackers, wheat, sandwich, with cheese filling      21.0
2215    9104       900  Fruit salad, (peach and pear and apricot and p...      21.0
3224   11531      1100  Tomatoes, red, ripe, canned, packed in tomato ...      20.0
6188   19159      1900       Candies, MARS SNACKFOOD US, 3 MUSKETEERS Bar      20.0
2280    9193       900  Olives, ripe, canned (small-extra large) (Olea...      20.0
6190   19161      1900  Candies, MARS SNACKFOOD US, TWIX Peanut Butter...      20.0
6189   19160      1900  Candies, MARS SNACKFOOD US, TWIX Caramel Cooki...      20.0
5666   18151      1800           Cookies, brownies, commercially prepared      20.0
3358   11741      1100                              Broccoli, stalks, raw      20.0
3312   11676      1100     Radish seeds, sprouted, raw (Raphanus sativus)      20.0
2282    9195       900          Olives, pickled, canned or bottled, green      20.0
3226   11537      1100    Tomatoes, red, ripe, canned, with green chilies      20.0
2405    9379       900                Plums, canned, heavy syrup, drained      20.0
2319    9245       900  Peaches, dehydrated (low-moisture), sulfured, ...      20.0
3331   11714      1100  Lima beans, immature seeds, cooked, boiled, dr...      19.0
8228   31032      1100       Vegetable smoothie, NAKED JUICE, KALE BLAZER      19.0
8741   43450      1900     Frozen novelties, juice type, juice with cream      19.0
5579   18022      1800  Bread, cornbread, dry mix, enriched (includes ...      19.0
2428    9428       900                         Rowal, raw (Pangium edule)      19.0
8563   42074      1900  Frozen novelties, ice cream type, vanilla ice ...      19.0
6216   19193      1900                       Puddings, rice, ready-to-eat      19.0
2312    9238       900    Peaches, canned, juice pack, solids and liquids      19.0
3115   11392      1100  Potatoes, hash brown, frozen, with butter sauc...      19.0
3306   11669      1100                Seaweed, wakame, raw (Undaria spp.)      18.0
3543   11933      1100  Beans, snap, yellow, canned, no salt added, dr...      18.0
5677   18164      1800  Cookies, chocolate chip, refrigerated dough, b...      18.0
3068   11333      1100       Peppers, sweet, green, raw (Capsicum annuum)      18.0
3107   11382      1100  Potatoes, mashed, dehydrated, granules with mi...      18.0
2856   11056      1100  Beans, snap, green, canned, regular pack, drai...      18.0
3027   11280      1100                           Okra, frozen, unprepared      18.0
2868   11088      1100       Broadbeans, immature seeds, raw (Vicia faba)      18.0
2314    9240       900  Peaches, canned, light syrup pack, solids and ...      18.0
3184   11482      1100      Squash, winter, acorn, raw (Cucurbita maxima)      18.0
3071   11337      1100  Peppers, sweet, green, frozen, chopped, unprep...      18.0
5651   18126      1800  Cake, shortcake, biscuit-type, prepared from r...      18.0
254     2005       200                 Spices, caraway seed (Carum carvi)      18.0
3346   11729      1100  Beans, snap, green, canned, no salt added, dra...      18.0
5783   18281      1800                        Muffins, corn, toaster-type      18.0
5992   18944      1800            Pie, Dutch Apple, Commercially Prepared      18.0
2306    9229       900                              Papaya nectar, canned      18.0
5736   18230      1800  Crackers, standard snack-type, sandwich, with ...      17.0
3580   11973      1100              Beans, fava, in pod, raw (Vicia faba)      17.0
4797   16059      1600                           Chili with beans, canned      17.0
5720   18214      1800                          Crackers, cheese, regular      17.0
3583   11976      1100               Pepper, banana, raw (Capsicum anuum)      17.0
6607   20409      2000                      Noodles, egg, dry, unenriched      17.0
2278    9191       900  Nectarines, raw (Prunus persica var. nucipersica)      17.0
6180   19150      1900                Candies, REESE'S Peanut Butter Cups      17.0
5760   18256      1800      Doughnuts, yeast-leavened, with jelly filling      17.0
5900   18434      1800                       Crackers, cheese, low sodium      17.0
2281    9194       900        Olives, ripe, canned (jumbo-super colossal)      17.0
6562   20109      2000                        Noodles, egg, dry, enriched      17.0
6558   20097      2000             Pasta, homemade, made with egg, cooked      17.0
2315    9241       900  Peaches, canned, heavy syrup pack, solids and ...      17.0
3670   12129      1200                          Nuts, ginkgo nuts, canned      17.0
2352    9279       900                           Plums, raw (Prunus spp.)      17.0
2364    9292       900  Plums, dried (prunes), stewed, without added s...      17.0
2380    9312       900                 Rose-apples, raw (Syzygium jambos)      17.0
2896   11119      1100  Cabbage, chinese (pe-tsai), raw (Brassica rapa...      16.0
3647   12094      1200                    Nuts, chestnuts, chinese, dried      16.0
251     2002       200             Spices, anise seed (Pimpinella anisum)      16.0
2310    9236       900              Peaches, yellow, raw (Prunus persica)      16.0
2317    9243       900  Peaches, spiced, canned, heavy syrup pack, sol...      16.0
3343   11726      1100  Beans, snap, green, canned, no salt added, sol...      16.0
5729   18223      1800                                     Crackers, milk      16.0
3692   12158      1200                   Seeds, breadfruit seeds, roasted      15.0
2208    9097       900  Fruit cocktail, (peach and pineapple and pear ...      15.0
3420   11804      1100   Okra, frozen, cooked, boiled, drained, with salt      15.0
6458   19910      1900     Candies, crispy bar with peanut butter filling      15.0
6147   19115      1900        Candies, MARS SNACKFOOD US, MARS Almond Bar      15.0
2964   11212      1100                          Edamame, frozen, prepared      15.0
2431    9431       900  USDA Commodity, mixed fruit (peaches, pears, g...      15.0
259     2010       200   Spices, cinnamon, ground (Cinnamomum aromaticum)      15.0
6316   19333      1900  Pudding, lemon, dry mix, regular, prepared wit...      15.0
2839   11032      1100  Lima beans, immature seeds, cooked, boiled, dr...      15.0
5751   18246      1800  Danish pastry, fruit, enriched (includes apple...      15.0
3072   11338      1100  Peppers, sweet, green, frozen, chopped, boiled...      15.0
3028   11281      1100  Okra, frozen, cooked, boiled, drained, without...      15.0
3196   11495      1100                   Succotash, (corn and limas), raw      15.0
3197   11496      1100  Succotash, (corn and limas), cooked, boiled, d...      15.0
3485   11871      1100  Succotash, (corn and limas), cooked, boiled, d...      15.0
5658   18139      1800  Cake, white, prepared from recipe without fros...      15.0
2253    9149       900                    Kumquats, raw (Fortunella spp.)      15.0
2218    9107       900                     Gooseberries, raw (Ribes spp.)      15.0
6261   19249      1900  Candies, HERSHEY, REESESTICKS crispy wafers, p...      14.0
6130   19098      1900                      Candies, 5TH AVENUE Candy Bar      14.0
5699   18188      1800  Cookies, peanut butter, refrigerated dough, baked      14.0
5698   18187      1800         Cookies, peanut butter, refrigerated dough      14.0
3355   11738      1100  Broadbeans, immature seeds, cooked, boiled, dr...      14.0
2365    9293       900    Plums, dried (prunes), stewed, with added sugar      14.0
3175   11473      1100  Squash, summer, crookneck and straightneck, fr...      14.0
3073   11339      1100                     Peppers, sweet, green, sauteed      14.0
2379    9311       900                 Roselle, raw (Hibiscus sabdariffa)      14.0
2313    9239       900  Peaches, canned, extra light syrup, solids and...      14.0
6207   19183      1900                  Puddings, chocolate, ready-to-eat      14.0
2247    9143       900                                Guava sauce, cooked      14.0
2323    9250       900                 Peaches, frozen, sliced, sweetened      14.0
3281   11624      1100  Leeks, (bulb and lower-leaf portion), freeze-d...      14.0
2396    9351       900       Fruit cocktail, canned, heavy syrup, drained      14.0
3026   11279      1100        Okra, cooked, boiled, drained, without salt      14.0
6446   19896      1900  Candies, REESE's Fast Break, milk chocolate, p...      14.0
3419   11803      1100           Okra, cooked, boiled, drained, with salt      14.0
6493   20024      2000  Cornmeal, yellow, self-rising, bolted, with wh...      14.0
2869   11089      1100  Broadbeans, immature seeds, cooked, boiled, dr...      14.0
6554   20093      2000     Pasta, fresh-refrigerated, plain, as purchased      14.0
5646   18116      1800            Cake, gingerbread, prepared from recipe      14.0
2207    9096       900  Fruit cocktail, (peach and pineapple and pear ...      13.0
2223    9113       900  Grapefruit, raw, pink and red, California and ...      13.0
2224    9114       900  Grapefruit, raw, pink and red, Florida (Citrus...      13.0
2855   11054      1100  Beans, snap, green, canned, regular pack, soli...      13.0
284     2035       200                          Spices, pumpkin pie spice      13.0
2302    9221       900                               Tangerine juice, raw      13.0
3200   11501      1100    Succotash, (corn and limas), frozen, unprepared      13.0
3479   11865      1100  Squash, winter, acorn, cooked, boiled, mashed,...      13.0
3687   12152      1200  Nuts, pistachio nuts, dry roasted, without sal...      13.0
2303    9223       900                 Tangerine juice, canned, sweetened      13.0
2356    9284       900  Plums, canned, purple, heavy syrup pack, solid...      13.0
2357    9285       900  Plums, canned, purple, extra heavy syrup pack,...      13.0
2324    9251       900  Peach nectar, canned, without added ascorbic acid      13.0
3578   11970      1100          Cabbage, napa, cooked (Brassica oleracea)      13.0
2294    9213       900  Orange juice, frozen concentrate, unsweetened,...      13.0
3567   11958      1100                           Pickle relish, hamburger      13.0
2287    9205       900          Oranges, raw, with peel (Citrus sinensis)      13.0
2932   11168      1100  Corn, sweet, yellow, cooked, boiled, drained, ...      13.0
3605   12001      1200  Seeds, breadfruit seeds, raw (Artocarpus altilis)      13.0
2412    9407       900     Peach nectar, canned, with added ascorbic acid      13.0
2295    9214       900  Orange juice, frozen concentrate, unsweetened,...      13.0
6011   18963      1800                               Garlic bread, frozen      13.0
8599   42200      1600                                              Papad      13.0
3735   12652      1200  Nuts, pistachio nuts, dry roasted, with salt a...      13.0
3387   11770      1100  Corn, sweet, yellow, cooked, boiled, drained, ...      13.0
5724   18218      1800                               Crackers, matzo, egg      13.0
3607   12004      1200  Seeds, breadnut tree seeds, raw (Brosimum alic...      12.0
3606   12003      1200                    Seeds, breadfruit seeds, boiled      12.0
3392   11775      1100  Corn, sweet, yellow, frozen, kernels on cob, c...      12.0
8105   28303      1800                      Crackers, cheese, whole grain      12.0
2942   11182      1100     Corn, yellow, whole kernel, frozen, microwaved      12.0
6022   18974      1800                  KASHI, TLC, Honey Sesame Crackers      12.0
6107   19074      1900                                  Candies, caramels      12.0
6129   19097      1900                                    Sherbet, orange      12.0
2209    9098       900  Fruit cocktail, (peach and pineapple and pear ...      12.0
2941   11181      1100  Corn, sweet, yellow, frozen, kernels on cob, c...      12.0
2940   11180      1100  Corn, sweet, yellow, frozen, kernels on cob, u...      12.0
2194    9083       900       Currants, european black, raw (Ribes nigrum)      12.0
2159    9041       900              Bananas, dehydrated, or banana powder      12.0
5615   18071      1800  Bread, white, prepared from recipe, made with ...      12.0
5636   18102      1800  Cake, white, prepared from recipe with coconut...      12.0
5713   18206      1800          Cookies, sugar, refrigerated dough, baked      12.0
5730   18224      1800                               Crackers, rusk toast      12.0
5756   18251      1800  Doughnuts, cake-type, chocolate, sugared or gl...      12.0
2943   11184      1100  Corn with red and green peppers, canned, solid...      12.0
2355    9283       900  Plums, canned, purple, light syrup pack, solid...      12.0
2285    9202       900             Oranges, raw, navels (Citrus sinensis)      12.0
2269    9175       900       Mammy-apple, (mamey), raw (Mammea americana)      12.0
2284    9201       900  Oranges, raw, California, valencias (Citrus si...      12.0
2402    9367       900  Cherries, sweet, canned, pitted, heavy syrup, ...      12.0
2852   11050      1100         Beans, shellie, canned, solids and liquids      11.0
5758   18254      1800      Doughnuts, yeast-leavened, with creme filling      11.0
3315   11693      1100                          Tomatoes, crushed, canned      11.0
5799   18302      1800                   Pie, apple, prepared from recipe      11.0
3289   11642      1100  Squash, summer, all varieties, cooked, boiled,...      11.0
3471   11857      1100  Squash, summer, all varieties, cooked, boiled,...      11.0
6597   20317      2000                 Corn flour, yellow, masa, enriched      11.0
5712   18205      1800                 Cookies, sugar, refrigerated dough      11.0
3608   12005      1200                  Seeds, breadnut tree seeds, dried      11.0
2841   11037      1100  Lima beans, immature seeds, frozen, fordhook, ...      11.0
4747   16007      1600                    Beans, baked, canned, with beef      11.0
6491   20022      2000               Cornmeal, degermed, enriched, yellow      11.0
6490   20020      2000                      Cornmeal, whole-grain, yellow      11.0
6488   20018      2000           Corn flour, yellow, degermed, unenriched      11.0
6486   20016      2000                    Corn flour, whole-grain, yellow      11.0
6484   20014      2000              Corn grain, yellow (Zea mays mays L.)      11.0
3177   11475      1100      Squash, summer, scallop, raw (Cucurbita spp.)      11.0
5979   18927      1800  Crackers, cheese, sandwich-type with cheese fi...      11.0
2286    9203       900            Oranges, raw, Florida (Citrus sinensis)      11.0
2476    9530       900   Fruit juice smoothie, ODWALLA, strawberry banana      11.0
2283    9200       900  Oranges, raw, all commercial varieties (Citrus...      11.0
6494   20025      2000  Cornmeal, yellow, self-rising, degermed, enriched      11.0
6611   20422      2000             Cornmeal, degermed, unenriched, yellow      11.0
1867    8160       800  Cereals, corn grits, yellow, regular and quick...      11.0
2160    9042       900                     Blackberries, raw (Rubus spp.)      11.0
2163    9046       900  Blackberries, canned, heavy syrup, solids and ...      11.0
2288    9206       900                                  Orange juice, raw      10.0
3486   11872      1100  Succotash, (corn and limas), frozen, cooked, b...      10.0
3473   11859      1100  Squash, summer, crookneck and straightneck, fr...      10.0
2939   11179      1100  Corn, sweet, yellow, frozen, kernels cut off c...      10.0
2211    9100       900  Fruit cocktail, (peach and pineapple and pear ...      10.0
6300   19314      1900                       Pie fillings, canned, cherry      10.0
2938   11178      1100  Corn, sweet, yellow, frozen, kernels cut off c...      10.0
2838   11031      1100  Lima beans, immature seeds, raw (Phaseolus lun...      10.0
2210    9099       900  Fruit cocktail, (peach and pineapple and pear ...      10.0
2212    9101       900  Fruit cocktail, (peach and pineapple and pear ...      10.0
3391   11774      1100  Corn, sweet, yellow, frozen, kernels, cut off ...      10.0
2842   11038      1100  Lima beans, immature seeds, frozen, fordhook, ...      10.0
5861   18376      1800                Bread crumbs, dry, grated, seasoned      10.0
5989   18940      1800  Muffin, blueberry, commercially prepared, low-fat      10.0
6395   19719      1900                        Jams and preserves, apricot      10.0
2432    9432       900  USDA Commodity, mixed fruit (peaches, pears, g...      10.0
5816   18323      1800                                         Pie, peach      10.0
5789   18290      1800       Pancakes, plain, dry mix, complete, prepared      10.0
6557   20096      2000         Pasta, fresh-refrigerated, spinach, cooked      10.0
3538   11928      1100                       Tree fern, cooked, with salt      10.0
3551   11941      1100                            Pickles, cucumber, sour      10.0
3555   11946      1100                Pickles, cucumber, sour, low sodium      10.0
3560   11951      1100      Peppers, sweet, yellow, raw (Capsicum annuum)      10.0
8656   43098      1900                  Pie fillings, cherry, low calorie      10.0
4846   16110      1600            Soybeans, mature seeds, roasted, salted      10.0
3646   12093      1200  Nuts, chestnuts, chinese, raw (Castanea mollis...      10.0
2321    9247       900  Peaches, dried, sulfured, stewed, without adde...      10.0
6565   20112      2000            Noodles, egg, spinach, enriched, cooked      10.0
3176   11474      1100  Squash, summer, crookneck and straightneck, fr...      10.0
3179   11477      1100       Squash, summer, zucchini, includes skin, raw      10.0
3288   11641      1100  Squash, summer, all varieties, raw (Cucurbita ...      10.0
3201   11502      1100  Succotash, (corn and limas), frozen, cooked, b...      10.0
3181   11479      1100  Squash, summer, zucchini, includes skin, froze...      10.0
3237   11563      1100                    Tree fern, cooked, without salt      10.0
3334   11717      1100  Lima beans, immature seeds, frozen, fordhook, ...      10.0
3225   11533      1100                Tomatoes, red, ripe, canned, stewed       9.0
