row      NDB_No  FdGrp_Cd                                          Long_Desc  VITA_RAE
1822    8078       800          Cereals ready-to-eat, GENERAL MILLS, TRIX     669.0
7822   28014      1800             KELLOGG'S, EGGO, Waffles, French Toast     667.0
7987   28184      1800  KELLOGG'S, POP-TARTS MINI CRISPS, Frosted Choc...     653.0
7986   28183      1800  KELLOGG'S, POP-TARTS MINI CRISPS, Cinnamon Bro...     653.0
2148    9030       900  Apricots, dehydrated (low-moisture), sulfured,...     633.0
3018   11271      1100  Mustard greens, cooked, boiled, drained, witho...     618.0
2902   11126      1100  Carrots, canned, regular pack, solids and liquids     613.0
1988    8509       800  Cereals ready-to-eat, USDA Commodity Rice Cris...     608.0
3171   11464      1100  Spinach, frozen, chopped or leaf, cooked, boil...     603.0
3470   11856      1100  Spinach, frozen, chopped or leaf, cooked, boil...     603.0
8231   31035      1100     Vegetable juice, BOLTHOUSE FARMS, DAILY GREENS     602.0
7908   28104      1800  KEEBLER, GRIPZ, Chocolate Chip Grahams, bite-size     600.0
3436   11820      1100  Peppers, hot chili, red, canned, excluding see...     595.0
1854    8132       800  Cereals, oats, instant, fortified, with raisin...     589.0
3170   11463      1100       Spinach, frozen, chopped or leaf, unprepared     586.0
3251   11581      1100          Vegetables, mixed, canned, drained solids     583.0
8701   43312      1100  Vegetables, mixed (corn, lima beans, peas, gre...     583.0
2993   11244      1100             Lambsquarters, raw (Chenopodium album)     580.0
3242   11568      1100  Turnip greens, raw (Brassica rapa (Rapifera Gr...     579.0
2929   11164      1100  Collards, frozen, chopped, cooked, boiled, dra...     575.0
3386   11769      1100  Collards, frozen, chopped, cooked, boiled, dra...     575.0
3376   11759      1100     Carrots, canned, no salt added, drained solids     558.0
3188   11486      1100  Squash, winter, butternut, cooked, baked, with...     558.0
3375   11758      1100  Carrots, canned, no salt added, solids and liq...     558.0
2903   11128      1100      Carrots, canned, regular pack, drained solids     558.0
3480   11866      1100  Squash, winter, butternut, cooked, baked, with...     558.0
