|NDB_No|FdGrp_Cd|Long_Desc|CAFFN
4178|14079|1400|Beverages, yellow green colored citrus soft drink with caffeine|15.0
4230|14151|1400|Beverages, carbonated, low calorie, other than cola or pepper, with aspartame, contains caffeine|15.0
6141|19109|1900|Candies, KIT KAT Wafer Bar|14.0
6171|19141|1900|Candies, MARS SNACKFOOD US, M&M's Milk Chocolate Candies|14.0
8774|44061|1900|Puddings, chocolate flavor, low calorie, instant, dry mix|14.0
6158|19126|1900|Candies, milk chocolate coated peanuts|14.0
6156|19124|1900|Baking chocolate, mexican, squares|14.0
5672|18158|1800|Cookies, chocolate chip, commercially prepared, regular, lower fat|13.0
4134|14021|1400|Beverages,  Energy drink, Citrus|13.0
6237|19220|1900|Desserts, rennin, chocolate, dry mix|13.0
4174|14073|1400|Beverages, ZEVIA, cola|13.0
6049|19001|1900|Candies, TOBLERONE, milk chocolate with honey and almond nougat|12.0
4318|14261|1400|Beverages, tea, green, ready to drink, unsweetened|12.0
4328|14278|1400|Beverages, tea, green, brewed, regular|12.0
5675|18161|1800|Cookies, chocolate chip, dry mix|12.0
4387|14416|1400|Beverages, carbonated, low calorie, cola or pepper-type, with aspartame, contains caffeine|12.0
6463|19916|1900|Syrups, chocolate, HERSHEY'S Sugar free, Genuine Chocolate Flavored, Lite Syrup|12.0
7725|25031|2500|Formulated bar, ZONE PERFECT CLASSIC CRUNCH BAR, mixed flavors|11.0
6464|19917|1900|Candies, M&M MARS Pretzel Chocolate Candies|11.0
4245|14166|1400|Beverages, carbonated, low calorie, cola or pepper-types, with sodium saccharin, contains caffeine|11.0
6212|19188|1900|Puddings, chocolate, dry mix, regular|11.0
4372|14376|1400|Beverages, tea, instant, lemon, diet|11.0
7728|25034|2500|Snacks, granola bar, KASHI GOLEAN, crunchy, mixed flavors|11.0
4306|14247|1400|Beverages, tea, black, ready to drink|11.0
5673|18159|1800|Cookies, chocolate chip, commercially prepared, regular, higher fat, enriched|11.0
5888|18422|1800|Cookies, chocolate chip, commercially prepared, regular, higher fat, unenriched|11.0
4367|14367|1400|Beverages, tea, instant, unsweetened, prepared with water|11.0
4232|14153|1400|Beverages, carbonated, pepper-type, contains caffeine|10.0
6115|19083|1900|Candies, sweet chocolate coated fondant|10.0
6166|19136|1900|Candies, HERSHEY'S SKOR Toffee Bar|10.0
6191|19162|1900|Candies, WHATCHAMACALLIT Candy Bar|10.0
6170|19140|1900|Candies, MARS SNACKFOOD US, M&M's Peanut Chocolate Candies|10.0
5999|18951|1800|Waffles, chocolate chip, frozen, ready-to-heat|10.0
8590|42183|1900|Candies, MARS SNACKFOOD US, TWIX chocolate fudge cookie bars|10.0
8100|28298|1800|Cookies, brownies, commercially prepared, reduced fat, with added fiber|10.0
5671|18157|1800|Cookies, chocolate wafers|10.0
6159|19127|1900|Candies, milk chocolate coated raisins|10.0
5715|18209|1800|Cookies, sugar wafers with creme filling, regular|9.0
5676|18163|1800|Cookies, chocolate chip, refrigerated dough|9.0
4227|14148|1400|Beverages, carbonated, cola, regular|9.0
8652|43059|1900|Candies, chocolate covered, low sugar or low calorie|9.0
4269|14199|1400|Beverages, tea, black, ready-to-drink, lemon, sweetened|9.0
4228|14149|1400|Beverages, carbonated, reduced sugar, cola, contains caffeine and sweeteners|9.0
4341|14294|1400|Beverages, SNAPPLE, tea, black and green, ready to drink, lemon, diet|9.0
4436|14601|1400|Beverages, WENDY'S, tea, ready-to-drink, unsweetened|8.0
4432|14557|1400|Beverages, chocolate-flavor beverage mix for milk, powder, with added nutrients|8.0
8132|28330|1800|Cookies, marshmallow, with rice cereal and chocolate chips|8.0
6132|19100|1900|Candies, fudge, chocolate, prepared-from-recipe|8.0
4386|14415|1400|Alcoholic beverage, liqueur, coffee with cream, 34 proof|8.0
4377|14400|1400|Beverages, carbonated, cola, fast-food cola|8.0
7748|25060|2500|Snack, Pretzel, hard chocolate coated|8.0
4275|14207|1400|Beverages, tea, ready-to-drink, lemon, diet|8.0
6174|19144|1900|Candies, NESTLE, 100 GRAND Bar|8.0
5706|18198|1800|Cookies, chocolate chip, commercially prepared, special dietary|8.0
5978|18651|1800|NABISCO, NABISCO SNACKWELL'S Fat Free Devil's Food Cookie Cakes|8.0
5991|18943|1800|Pie Crust, Cookie-type, Chocolate, Ready Crust|8.0
4338|14291|1400|Beverages, SNAPPLE, tea, black and green, ready to drink, peach, diet|8.0
6087|19048|2500|Snacks, pretzels, hard, confectioner's coating, chocolate-flavor|8.0
6185|19155|1900|Candies, MARS SNACKFOOD US, SNICKERS Bar|8.0
204|1240|100|Ice cream cone, chocolate covered, with nuts, flavors other than chocolate|7.0
8602|42227|1900|Candies, MARS SNACKFOOD US, M&M's Almond Chocolate Candies|7.0
6157|19125|1900|Chocolate-flavored hazelnut spread|7.0
6109|19076|1900|Candies, caramels, chocolate-flavor roll|7.0
6133|19101|1900|Candies, fudge, chocolate, with nuts, prepared-from-recipe|7.0
6180|19150|1900|Candies, REESE'S Peanut Butter Cups|7.0
6188|19159|1900|Candies, MARS SNACKFOOD US, 3 MUSKETEERS Bar|7.0
6189|19160|1900|Candies, MARS SNACKFOOD US, TWIX Caramel Cookie Bars|7.0
6190|19161|1900|Candies, MARS SNACKFOOD US, TWIX Peanut Butter Cookie Bars|7.0
6206|19182|1900|Desserts, mousse, chocolate, prepared-from-recipe|7.0
5647|18117|1800|Cake, pudding-type, marble, dry mix|7.0
6208|19184|1900|Puddings, chocolate, dry mix, instant|7.0
5644|18112|1800|Cake, pudding-type, german chocolate, dry mix|7.0
7716|25021|2500|Formulated bar, LUNA BAR, NUTZ OVER CHOCOLATE|7.0
8095|28293|1800|Cookie, butter or sugar, with chocolate icing or filling|7.0
6323|19348|1900|Syrups, chocolate, fudge-type|7.0
6100|19064|1900|Candies, TOOTSIE ROLL, chocolate-flavor roll|7.0
6254|19240|1900|Frostings, chocolate, creamy, dry mix|6.0
1886|8206|800|Cereals ready-to-eat, MALT-O-MEAL, COCO-ROOS|6.0
4255|14181|1400|Beverages, chocolate syrup|6.0
8578|42148|1900|Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies|6.0
6446|19896|1900|Candies, REESE's Fast Break, milk chocolate, peanut butter, soft nougats, candy bar|6.0
1914|8271|800|Cereals ready-to-eat, GENERAL MILLS, COCOA PUFFS|6.0
6182|19152|1900|Candies, ROLO Caramels in Milk Chocolate|6.0
6322|19345|1900|Syrups, chocolate, HERSHEY'S Genuine Chocolate Flavored Lite Syrup|6.0
6165|19135|1900|Candies, MARS SNACKFOOD US, MILKY WAY Bar|6.0
8134|28332|1800|Cookies, gluten-free, chocolate sandwich, with creme filling|6.0
5633|18096|1800|Cake, chocolate, commercially prepared with chocolate frosting, in-store bakery|6.0
203|1239|100|Ice cream cookie sandwich|6.0
5652|18127|1800|Cake, snack cakes, creme-filled, chocolate with frosting|6.0
6069|19026|2500|Snacks, granola bars, soft, coated, milk chocolate coating, peanut butter|6.0
7712|25016|2500|Formulated bar, MARS SNACKFOOD US, SNICKERS MARATHON Energy Bar, all flavors|6.0
5681|18168|1800|Cookies, chocolate sandwich, with extra creme filling|6.0
5634|18097|1800|Cake, pudding-type, chocolate, dry mix|6.0
6343|19372|1900|Frostings, chocolate, creamy, dry mix, prepared with margarine|5.0
8113|28311|1800|Cookies, sugar wafer, chocolate-covered|5.0
2051|8635|800|Cereals ready-to-eat, GENERAL MILLS, COCOA PUFFS, 25% Reduced Sugar|5.0
8096|28294|1800|Cookie, chocolate, with icing or coating|5.0
2079|8672|800|Cereals ready-to-eat, MALT-O-MEAL, CHOCOLATE MARSHMALLOW MATEYS|5.0
6461|19913|1900|Candies, NESTLE, BUTTERFINGER Crisp|5.0
7742|25052|2500|Snacks, granola bar, QUAKER, chewy, 90 Calorie Bar|5.0
4263|14191|1400|Beverages, tea, green, ready-to-drink, citrus, diet, fortified with vitamin C|5.0
6130|19098|1900|Candies, 5TH AVENUE Candy Bar|5.0
4365|14357|1400|Beverages, tea, instant, decaffeinated, lemon, sweetened|5.0
6255|19241|1900|Frostings, chocolate, creamy, dry mix, prepared with butter|5.0
5679|18166|1800|Cookies, chocolate sandwich, with creme filling, regular|5.0
1782|8014|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S COCOA KRISPIES|5.0
4274|14206|1400|Beverages, tea, green, ready-to-drink, sweetened|5.0
4411|14475|1400|Beverages, ARIZONA, tea, ready-to-drink, lemon|5.0
5688|18176|1800|Cookies, marshmallow, chocolate-coated (includes marshmallow pies)|5.0
4262|14190|1400|Beverages, tea, green, ready-to-drink, diet|4.0
8098|28296|1800|Cake, snack cakes, creme-filled, chocolate with frosting, low-fat, with added fiber|4.0
6071|19029|1900|Topping, SMUCKER'S MAGIC SHELL|4.0
1980|8495|800|Cereals ready-to-eat, MALT-O-MEAL, Cocoa DYNO-BITES|4.0
1992|8513|800|Cereals ready-to-eat, GENERAL MILLS, CHOCOLATE LUCKY CHARMS|4.0
8130|28328|1800|Cookies, chocolate chip sandwich, with creme filling|4.0
6143|19111|1900|Candies, NESTLE, BABY RUTH Bar|4.0
2022|8584|800|Cereals ready-to-eat, KELLOGG'S SPECIAL K Chocolatey Delight|4.0
6147|19115|1900|Candies, MARS SNACKFOOD US, MARS Almond Bar|4.0
4260|14188|1400|Beverages, tea, green, ready to drink, ginseng and honey, sweetened|4.0
6150|19118|1900|Candies, NESTLE, OH HENRY! Bar|4.0
5680|18167|1800|Cookies, chocolate sandwich, with creme filling, regular, chocolate-coated|4.0
7755|25068|2500|Snack, BALANCE, original bar|4.0
1784|8017|800|Cereals ready-to-eat, GENERAL MILLS, COOKIE CRISP|4.0
5707|18199|1800|Cookies, chocolate sandwich, with creme filling, special dietary|4.0
1885|8204|800|Cereals ready-to-eat, chocolate-flavored frosted puffed corn|4.0
4329|14279|1400|Beverages, tea, black, ready-to-drink, peach, diet|4.0
6425|19871|1900|Frozen novelties, No Sugar Added, FUDGSICLE pops|4.0
8757|43541|1900|Ice creams, chocolate, rich|4.0
244|1300|100|Ice cream bar, covered with chocolate and nuts|4.0
202|1238|100|Ice cream sandwich|4.0
249|1306|100|Ice cream, lowfat, no sugar added, cone, added peanuts and chocolate sauce|3.0
8617|42272|2500|Snacks, granola bar, with coconut, chocolate coated|3.0
8563|42074|1900|Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated|3.0
6449|19899|1900|Ice creams, regular, low carbohydrate, chocolate|3.0
1882|8194|800|Cereals ready-to-eat, GENERAL MILLS, REESE'S PUFFS|3.0
201|1237|100|Ice cream, bar or stick, chocolate covered|3.0
6273|19270|1900|Ice creams, chocolate|3.0
1875|8177|800|Cereals, MALT-O-MEAL, chocolate, dry|3.0
4353|14318|1400|Beverages, Malted drink mix, chocolate, powder, prepared with whole milk|3.0
8575|42139|2500|Granola bar, soft, milk chocolate coated, peanut butter|3.0
7726|25032|2500|Snacks, granola bar, KASHI GOLEAN, chewy, mixed flavors|3.0
4370|14371|1400|Beverages, tea, instant, lemon, sweetened, prepared with water|3.0
7737|25045|2500|Formulated bar, high fiber, chewy, oats and chocolate|3.0
175|1206|100|Cream substitute, flavored, powdered|3.0
174|1205|100|Cream substitute, flavored, liquid|3.0
8747|43506|1900|Frozen novelties, ice cream type, chocolate or caramel covered, with nuts|3.0
5686|18174|1800|Cookies, graham crackers, chocolate-coated|3.0
8101|28299|1800|Cookies, chocolate sandwich, with creme filling, reduced fat|3.0
8570|42131|1900|Milk dessert, frozen, milk-fat free, chocolate|3.0
7711|25015|2500|Formulated bar, MARS SNACKFOOD US, SNICKERS MARATHON Protein Performance Bar, Caramel Nut Rush|3.0
6359|19409|1900|Frostings, glaze, chocolate, prepared-from-recipe, with butter, NFSMI Recipe No. C-32|3.0
8592|42186|1900|Frozen yogurts, chocolate|3.0
4252|14177|1400|Beverages, chocolate-flavor beverage mix, powder, prepared with whole milk|3.0
4218|14137|1400|Beverages, NESTEA, tea, black, ready-to-drink, lemon|3.0
8591|42185|1900|Frozen yogurts, chocolate, nonfat milk, sweetened without sugar|3.0
6350|19393|1900|Frozen yogurts, chocolate, soft-serve|3.0
4278|14211|1400|Beverages, tea, black, ready-to-drink, lemon, diet|2.0
209|1250|100|Nutritional supplement for people with diabetes, liquid|2.0
93|1105|100|Milk, chocolate beverage, hot cocoa, homemade|2.0
6209|19185|1900|Puddings, chocolate, dry mix, instant, prepared with whole milk|2.0
4919|16231|1600|Soymilk, chocolate, nonfat, with added calcium, vitamins A and D|2.0
6207|19183|1900|Puddings, chocolate, ready-to-eat|2.0
200|1236|100|Ice cream, soft serve, chocolate|2.0
208|1244|100|Milk dessert bar, frozen, made from lowfat milk|2.0
6214|19190|1900|Puddings, chocolate, dry mix, regular, prepared with 2% milk|2.0
4412|14476|1400|Beverages, LIPTON BRISK, tea, black, ready-to-drink, lemon|2.0
5754|18249|1800|Doughnuts, cake-type, plain, chocolate-coated or frosted|2.0
