|NDB_No|FdGrp_Cd|Long_Desc|CAFFN
5477|17380|1700|Lamb, New Zealand, imported, tunnel-boned leg, chump off, shank off, separable lean only, cooked, slow roasted|0.0
5476|17379|1700|Lamb, New Zealand, imported, tongue - swiss cut, raw|0.0
5475|17378|1700|Lamb, New Zealand, imported, tongue - swiss cut, cooked, soaked and simmered|0.0
5456|17359|1700|Lamb, New Zealand, imported, breast, separable lean only, cooked, braised|0.0
5455|17358|1700|Lamb, New Zealand, imported, brains, raw|0.0
5454|17357|1700|Lamb, New Zealand, imported, brains, cooked, soaked and fried|0.0
5428|17331|1700|Game meat, bison, ground, cooked, pan-broiled (Bison bison)|0.0
5434|17337|1700|"Game meat, bison, top round, separable lean only, 1"" steak, raw (Bison bison)"|0.0
5433|17336|1700|"Game meat, bison, top round, separable lean only, 1"" steak, cooked, broiled (Bison bison)"|0.0
5432|17335|1700|"Game meat, bison, ribeye, separable lean only, 1"" steak, cooked, broiled (Bison bison)"|0.0
5431|17334|1700|Game meat, bison, chuck, shoulder clod, separable lean only, raw (Bison bison)|0.0
5430|17333|1700|Game meat, bison, chuck, shoulder clod, separable lean only, cooked, braised (Bison bison)|0.0
5429|17332|1700|"Game meat , bison, top sirloin, separable lean only, 1"" steak, cooked, broiled (Bison bison)"|0.0
5427|17330|1700|Game meat , bison, ground, raw (Bison bison)|0.0
5453|17356|1700|Lamb, New Zealand, imported, subcutaneous fat, raw|0.0
5414|17317|1700|"Lamb, Australian, imported, fresh, rib chop, frenched, bone-in, separable lean only, trimmed to 1/8"" fat, cooked, grilled"|0.0
5413|17316|1700|"Lamb, Australian, imported, fresh, rib chop/rack roast, frenched, bone-in, separable lean only, trimmed to 1/8"" fat, raw"|0.0
5412|17315|1700|"Lamb, Australian, imported, fresh, rib chop, frenched, bone-in, separable lean and fat, trimmed to 1/8"" fat, cooked, grilled"|0.0
5411|17314|1700|"Lamb, Australian, imported, fresh, rib chop/rack roast, frenched, bone-in, separable lean and fat, trimmed to 1/8"" fat, raw"|0.0
5323|17225|1700|Lamb, ground, cooked, broiled|0.0
5322|17224|1700|Lamb, ground, raw|0.0
5435|17338|1700|Game meat, elk, ground, raw (Cervus elaphus)|0.0
5436|17339|1700|Game meat, elk, ground, cooked, pan-broiled (Cervus elaphus)|0.0
5437|17340|1700|Game meat, elk, loin, separable lean only, cooked, broiled (Cervus elaphus)|0.0
5438|17341|1700|Game meat, elk, round, separable lean only, cooked, broiled (Cervus elaphus)|0.0
5439|17342|1700|Game meat, elk, tenderloin, separable lean only, cooked, broiled (Cervus elaphus)|0.0
5440|17343|1700|Game meat, deer, ground, raw (Cervus elaphus, Dama dama)|0.0
5441|17344|1700|Game meat, deer, ground, cooked, pan-broiled (Cervus elaphus, Dama dama)|0.0
5442|17345|1700|"Game meat, deer, loin, separable lean only, 1"" steak, cooked, broiled (Cervus elaphus, Dama dama)"|0.0
5443|17346|1700|Game meat, deer, shoulder clod, separable lean only, cooked, braised (Cervus elaphus, Dama dama)|0.0
5444|17347|1700|Game meat, deer, tenderloin, separable lean only, cooked, broiled (Cervus elaphus, Dama dama)|0.0
5445|17348|1700|"Game meat, deer, top round, separable lean only, 1"" steak, cooked, broiled (Cervus elaphus, Dama dama)"|0.0
5446|17349|1700|Veal, Australian, shank, fore, bone-in, separable lean only, raw|0.0
5447|17350|1700|Veal, Australian, shank, fore, bone-in, separable lean and fat, raw|0.0
5448|17351|1700|Veal, Australian, shank, hind, bone-in, separable lean only, raw|0.0
5449|17352|1700|Veal, Australian, shank, hind, bone-in, separable lean and fat|0.0
5451|17354|1700|Lamb, New Zealand, imported, Intermuscular fat, cooked|0.0
5452|17355|1700|Lamb, New Zealand, imported, Intermuscular fat, raw|0.0
5128|17030|1700|"Lamb, domestic, rib, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, broiled"|0.0
5123|17025|1700|"Lamb, domestic, loin, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, roasted"|0.0
4713|15236|1500|Fish, salmon, Atlantic, farmed, raw (Salmo salar L.)|0.0
4795|16057|1600|Chickpeas (garbanzo beans, bengal gram), mature seeds, cooked, boiled, without salt|0.0
4806|16069|1600|Lentils, raw (Lens culinaris)|0.0
4804|16067|1600|Hyacinth beans, mature seeds, raw (Dolichos purpureus)|0.0
4801|16063|1600|Cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, without salt|0.0
4800|16062|1600|Cowpeas, common (blackeyes, crowder, southern), mature seeds, raw (Vigna unguiculata subsp. unguiculata)|0.0
4797|16059|1600|Chili with beans, canned|0.0
4796|16058|1600|Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, solids and liquids|0.0
4794|16056|1600|Chickpeas (garbanzo beans, bengal gram), mature seeds, raw (Cicer arietinum)|0.0
4808|16071|1600|Lima beans, large, mature seeds, raw (Phaseolus lunatus)|0.0
4793|16055|1600|Carob flour (Ceratonia siliqua)|0.0
4791|16053|1600|Broadbeans (fava beans), mature seeds, cooked, boiled, without salt|0.0
4790|16052|1600|Broadbeans (fava beans), mature seeds, raw (Vicia faba)|0.0
4788|16050|1600|Beans, white, mature seeds, cooked, boiled, without salt|0.0
4787|16049|1600|Beans, white, mature seeds, raw (Phaseolus vulgaris)|0.0
4786|16048|1600|Beans, yellow, mature seeds, cooked, boiled, without salt|0.0
4807|16070|1600|Lentils, mature seeds, cooked, boiled, without salt|0.0
4809|16072|1600|Lima beans, large, mature seeds, cooked, boiled, without salt|0.0
4781|16043|1600|Beans, pinto, mature seeds, cooked, boiled, without salt|0.0
4824|16087|1600|Peanuts, all types, raw|0.0
4834|16097|1600|Peanut butter, chunk style, with salt|0.0
4832|16095|1600|Peanuts, virginia, raw (Arachis hypogaea)|0.0
4828|16091|1600|Peanuts, spanish, raw (Arachis hypogaea)|0.0
4827|16090|1600|Peanuts, all types, dry-roasted, with salt|0.0
4826|16089|1600|Peanuts, all types, oil-roasted, with salt|0.0
4825|16088|1600|Peanuts, all types, cooked, boiled, with salt|0.0
4823|16086|1600|Peas, split, mature seeds, cooked, boiled, without salt|0.0
4811|16074|1600|Lima beans, thin seeded (baby), mature seeds, raw (Phaseolus lunatus)|0.0
4822|16085|1600|Peas, green, split, mature seeds, raw (Pisum sativum)|0.0
4821|16084|1600|Mungo beans, mature seeds, cooked, boiled, without salt|0.0
4819|16082|1600|Noodles, chinese, cellophane or long rice (mung beans), dehydrated|0.0
4818|16081|1600|Mung beans, mature seeds, cooked, boiled, without salt|0.0
4817|16080|1600|Mung beans, mature seeds, raw (Vigna radiata)|0.0
4813|16076|1600|Lupins, mature seeds, raw (Lupinus albus)|0.0
4782|16044|1600|Beans, pinto, mature seeds, canned, solids and liquids|0.0
4780|16042|1600|Beans, pinto, mature seeds, raw (Phaseolus vulgaris)|0.0
5122|17024|1700|"Lamb, domestic, loin, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, broiled"|0.0
4729|15260|1500|Fish, salmon, pink, canned, drained solids|0.0
4748|16008|1600|Beans, baked, canned, with franks|0.0
4746|16006|1600|Beans, baked, canned, plain or vegetarian|0.0
4733|15265|1500|Fish, Salmon, pink, canned, drained solids, without skin and bones|0.0
4732|15264|1500|Salmon, sockeye, canned, drained solids, without skin and bones|0.0
4731|15262|1500|Fish, tilapia, cooked, dry heat|0.0
4730|15261|1500|Fish, tilapia, raw|0.0
4728|15253|1500|Salmon, sockeye, canned, total can contents|0.0
4751|16011|1600|Beans, baked, canned, with pork and tomato sauce|0.0
4725|15250|1500|Mollusks, conch, baked or broiled|0.0
4724|15247|1500|Fish, salmon, coho, wild, cooked, dry heat|0.0
4721|15244|1500|Mollusks, oyster, eastern, wild, cooked, dry heat|0.0
4718|15241|1500|Fish, trout, rainbow, farmed, cooked, dry heat|0.0
4717|15240|1500|Fish, trout, rainbow, farmed, raw (Salmo gairdneri Richardson)|0.0
4714|15237|1500|Fish, salmon, Atlantic, farmed, cooked, dry heat|0.0
4750|16010|1600|Beans, baked, canned, with pork and sweet sauce|0.0
4752|16014|1600|Beans, black, mature seeds, raw (Phaseolus vulgaris)|0.0
4779|16041|1600|Beans, pink, mature seeds, cooked, boiled, without salt|0.0
4770|16032|1600|Beans, kidney, red, mature seeds, raw (Phaseolus vulgaris)|0.0
4778|16040|1600|Beans, pink, mature seeds, raw (Phaseolus vulgaris)|0.0
4777|16039|1600|Beans, navy, mature seeds, canned|0.0
4776|16038|1600|Beans, navy, mature seeds, cooked, boiled, without salt|0.0
4775|16037|1600|Beans, navy, mature seeds, raw (Phaseolus vulgaris)|0.0
4772|16034|1600|Beans, kidney, red, mature seeds, canned, solids and liquids|0.0
4771|16033|1600|Beans, kidney, red, mature seeds, cooked, boiled, without salt|0.0
4766|16028|1600|Beans, kidney, all types, mature seeds, cooked, boiled, without salt|0.0
4753|16015|1600|Beans, black, mature seeds, cooked, boiled, without salt|0.0
4765|16027|1600|Beans, kidney, all types, mature seeds, raw (Phaseolus vulgaris)|0.0
4764|16026|1600|Beans, great northern, mature seeds, canned|0.0
4762|16024|1600|Beans, great northern, mature seeds, raw (Phaseolus vulgaris)|0.0
4756|16018|1600|Beans, black turtle, mature seeds, canned|0.0
4755|16017|1600|Beans, black turtle, mature seeds, cooked, boiled, without salt|0.0
4754|16016|1600|Beans, black turtle, mature seeds, raw (Phaseolus vulgaris)|0.0
4835|16098|1600|Peanut butter, smooth style, with salt|0.0
4836|16099|1600|Peanut flour, defatted|0.0
4837|16100|1600|Peanut flour, low fat|0.0
4971|16337|1600|Beans, kidney, red, mature seeds, canned, solids and liquid, low sodium|0.0
4983|16359|1600|Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, drained, rinsed in tap water|0.0
4982|16358|1600|Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, drained solids|0.0
4978|16348|1600|Beans, yellow, mature seeds, cooked, boiled, with salt|0.0
4977|16347|1600|Beans, pinto, mature seeds, canned, solids and liquids, low sodium|0.0
4975|16345|1600|Beans, pinto, mature seeds, canned, drained solids, rinsed in tap water|0.0
4972|16338|1600|Beans, navy, mature seeds, cooked, boiled, with salt|0.0
4969|16335|1600|Beans, kidney, red, mature seeds, canned, drained solids, rinsed in tap water|0.0
4996|16389|1600|Peanuts, all types, oil-roasted, without salt|0.0
4966|16328|1600|Beans, kidney, all types, mature seeds, cooked, boiled, with salt|0.0
4965|16326|1600|Beans, great northern, mature seeds, canned, low sodium|0.0
4961|16317|1600|Beans, black turtle, mature seeds, cooked, boiled, with salt|0.0
4960|16316|1600|Beans, black, mature seeds, canned, low sodium|0.0
4959|16315|1600|Beans, black, mature seeds, cooked, boiled, with salt|0.0
4918|16230|1600|Soymilk (all flavors), nonfat, with added calcium, vitamins A and D|0.0
4984|16360|1600|Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, solids and liquids, low sodium|0.0
4997|16390|1600|Peanuts, all types, dry-roasted, without salt|0.0
4840|16103|1600|Refried beans, canned, traditional style (includes USDA commodity)|0.0
5016|16432|1600|Tofu, salted and fermented (fuyu), prepared with calcium sulfate|0.0
5112|17014|1700|"Lamb, domestic, leg, whole (shank and sirloin), separable lean only, trimmed to 1/4"" fat, choice, cooked, roasted"|0.0
5110|17012|1700|"Lamb, domestic, leg, whole (shank and sirloin), separable lean and fat, trimmed to 1/4"" fat, choice, cooked, roasted"|0.0
5106|17008|1700|"Lamb, domestic, foreshank, separable lean and fat, trimmed to 1/4"" fat, choice, cooked, braised"|0.0
5104|17006|1700|"Lamb, domestic, composite of trimmed retail cuts, separable fat, trimmed to 1/4"" fat, choice, cooked"|0.0
5100|17002|1700|"Lamb, domestic, composite of trimmed retail cuts, separable lean and fat, trimmed to 1/4"" fat, choice, cooked"|0.0
5098|17000|1700|Veal, Australian, rib, rib roast, separable lean only, raw|0.0
5013|16427|1600|Tofu, raw, regular, prepared with calcium sulfate|0.0
5001|16397|1600|Peanut butter, chunk style, without salt|0.0
5011|16425|1600|Soy sauce, reduced sodium, made from hydrolyzed vegetable protein|0.0
5010|16424|1600|Soy sauce made from soy and wheat (shoyu), low sodium|0.0
5009|16422|1600|Soy protein isolate, potassium type|0.0
5008|16420|1600|Soy protein concentrate, produced by acid wash|0.0
5005|16403|1600|Refried beans, canned, traditional, reduced sodium|0.0
5002|16398|1600|Peanut butter, smooth style, without salt|0.0
4914|16225|1600|Soymilk, original and vanilla, light, with added calcium, vitamins A and D|0.0
4896|16172|1600|Refried beans, canned, fat-free|0.0
4893|16167|1600|USDA Commodity, Peanut Butter, smooth|0.0
4851|16115|1600|Soy flour, full-fat, raw|0.0
4858|16122|1600|Soy protein isolate|0.0
4857|16121|1600|Soy protein concentrate, produced by alcohol extraction|0.0
4856|16120|1600|Soymilk, original and vanilla, unfortified|0.0
4854|16118|1600|Soy flour, low-fat|0.0
4853|16117|1600|Soy flour, defatted|0.0
4852|16116|1600|Soy flour, full-fat, roasted|0.0
4849|16113|1600|Natto|0.0
4885|16159|1600|Tofu, extra firm, prepared with nigari|0.0
4848|16112|1600|Miso|0.0
4846|16110|1600|Soybeans, mature seeds, roasted, salted|0.0
4845|16109|1600|Soybeans, mature cooked, boiled, without salt|0.0
4844|16108|1600|Soybeans, mature seeds, raw|0.0
4843|16107|1600|Sausage, meatless|0.0
4841|16104|1600|Bacon, meatless|0.0
4859|16123|1600|Soy sauce made from soy and wheat (shoyu)|0.0
4860|16124|1600|Soy sauce made from soy (tamari)|0.0
4861|16125|1600|Soy sauce made from hydrolyzed vegetable protein|0.0
4862|16126|1600|Tofu, firm, prepared with calcium sulfate and magnesium chloride (nigari)|0.0
4863|16127|1600|Tofu, soft, prepared with calcium sulfate and magnesium chloride (nigari)|0.0
4865|16129|1600|Tofu, fried|0.0
4870|16135|1600|Winged beans, mature seeds, raw (Psophocarpus tetragonolobus)|0.0
4872|16137|1600|Hummus, home prepared|0.0
4874|16139|1600|Soymilk, original and vanilla, with added calcium, vitamins A and D|0.0
4876|16145|1600|Beans, kidney, red, mature seeds, canned, drained solids|0.0
4877|16146|1600|Beans, pinto, canned, drained solids|0.0
4878|16147|1600|Veggie burgers or soyburgers, unprepared|0.0
4879|16149|1600|Peanut spread, reduced sugar|0.0
4880|16150|1600|Peanut butter, smooth, reduced fat|0.0
4881|16155|1600|Peanut butter, smooth, vitamin and mineral fortified|0.0
4882|16156|1600|Peanut butter, chunky, vitamin and mineral fortified|0.0
4883|16157|1600|Chickpea flour (besan)|0.0
5167|17069|1700|Lamb, New Zealand, imported, fore-shank, separable lean and fat, cooked, braised|0.0
0|1001|100|Butter, salted|0.0
6347|19383|1900|Candies, toffee, prepared-from-recipe|0.0
7681|23638|1300|"Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 1/8"" fat, all grades, cooked, broiled"|0.0
7699|25001|2500|Snacks, popcorn, microwave, low fat|0.0
7698|25000|2500|Snacks, popcorn, microwave, 94% fat free|0.0
7697|23660|1300|"Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, braised"|0.0
7696|23659|1300|"Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, select, raw"|0.0
7695|23658|1300|"Beef, brisket, flat half, separable lean and fat, trimmed to 1/8"" fat, choice, raw"|0.0
7694|23657|1300|"Beef, flank, steak, separable lean only, trimmed to 0"" fat, select, raw"|0.0
7693|23656|1300|"Beef, flank, steak, separable lean only, trimmed to 0"" fat, all grades, raw"|0.0
7692|23655|1300|"Beef, flank, steak, separable lean only, trimmed to 0"" fat, select, cooked, broiled"|0.0
7691|23654|1300|"Beef, flank, steak, separable lean only, trimmed to 0"" fat, all grades, cooked, broiled"|0.0
7690|23653|1300|"Beef, round, tip round, roast, separable lean only, trimmed to 0"" fat, select, raw"|0.0
7689|23652|1300|"Beef, round, tip round, roast, separable lean only, trimmed to 0"" fat, choice, raw"|0.0
7688|23651|1300|"Beef, round, tip round, roast, separable lean only, trimmed to 0"" fat, all grades, raw"|0.0
7687|23650|1300|"Beef, bottom sirloin, tri-tip roast, separable lean only, trimmed to 0"" fat, select, raw"|0.0
7686|23649|1300|"Beef, bottom sirloin, tri-tip roast, separable lean only, trimmed to 0"" fat, select, cooked, roasted"|0.0
7685|23648|1300|"Beef, bottom sirloin, tri-tip roast, separable lean only, trimmed to 0"" fat, choice, raw"|0.0
7684|23647|1300|"Beef, bottom sirloin, tri-tip roast, separable lean only, trimmed to 0"" fat, choice, cooked, roasted"|0.0
7683|23646|1300|"Beef, bottom sirloin, tri-tip roast, separable lean only, trimmed to 0"" fat, all grades, raw"|0.0
7700|25003|2500|Snacks, candy rolls, yogurt-covered, fruit flavored with high vitamin C|0.0
7708|25012|2500|Snacks, sweet potato chips, unsalted|0.0
7709|25013|2500|Snacks, FRITOLAY, SUNCHIPS, Multigrain Snack, original flavor|0.0
7723|25028|2500|Tortilla chips, yellow, plain, salted|0.0
7733|25039|2500|Snacks, granola bars, QUAKER OATMEAL TO GO, all flavors|0.0
7732|25038|2500|Snacks, granola bars, soft, almond, confectioners coating|0.0
7731|25037|2500|Snacks, pita chips, salted|0.0
7730|25036|2500|Snacks, granola bites, mixed flavors|0.0
7729|25035|2500|Snacks, granola bar, chewy, reduced sugar, all flavors|0.0
7727|25033|2500|Snacks, granola bar, KASHI TLC Bar, chewy, mixed flavors|0.0
7724|25030|2500|Snacks, vegetable chips, HAIN CELESTIAL GROUP, TERRA CHIPS|0.0
7722|25027|2500|Snacks, plantain chips, salted|0.0
7710|25014|2500|Snacks, popcorn, microwave, regular (butter) flavor, made with partially hydrogenated oil|0.0
7721|25026|2500|Popcorn, microwave, regular (butter) flavor, made with palm oil|0.0
7720|25025|2500|Snacks, soy chips or crisps, salted|0.0
7719|25024|2500|Pretzels, soft, unsalted|0.0
7718|25023|2500|Snacks, FRITOLAY, SUNCHIPS, Multigrain Snack, Harvest Cheddar flavor|0.0
7717|25022|2500|Snacks, FRITOLAY, SUNCHIPS, multigrain, French onion flavor|0.0
7715|25020|2500|Formulated bar, SLIM-FAST OPTIMA meal bar, milk chocolate peanut|0.0
7713|25017|2500|Formulated bar, POWER BAR, chocolate|0.0
7682|23640|1300|Beef, variety meats and by-products, tripe, cooked, simmered|0.0
7680|23637|1300|"Beef, round, bottom round, roast, separable lean only, trimmed to 1/8"" fat, select, raw"|0.0
7735|25041|2500|Snacks, granola bar, KASHI TLC Bar, crunchy, mixed flavors|0.0
7679|23636|1300|"Beef, round, top round, steak, separable lean only, trimmed to 1/8"" fat, select, raw"|0.0
7658|23615|1300|"Beef, brisket, flat half, separable lean only, trimmed to 1/8"" fat, choice, cooked, braised"|0.0
7657|23614|1300|"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, choice, cooked, braised"|0.0
7656|23613|1300|"Beef, brisket, flat half, separable lean only, trimmed to 1/8"" fat, choice, raw"|0.0
7655|23612|1300|"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, choice, raw"|0.0
7654|23611|1300|"Beef, top sirloin, steak, separable lean only, trimmed to 1/8"" fat, all grades, raw"|0.0
7653|23610|1300|"Beef, top sirloin, steak, separable lean only, trimmed to 1/8"" fat, all grades, cooked, broiled"|0.0
7652|23609|1300|"Beef, round, top round, steak, separable lean only, trimmed to 1/8"" fat, all grades, raw"|0.0
7651|23608|1300|"Beef, round, top round, steak, separable lean only, trimmed to 1/8"" fat, all grades, cooked, broiled"|0.0
7650|23607|1300|"Beef, short loin, top loin steak, separable lean only, trimmed to 1/8"" fat, all grades, raw"|0.0
7649|23606|1300|"Beef, short loin, top loin, steak, separable lean only, trimmed to 1/8"" fat, all grades, cooked, broiled"|0.0
7648|23605|1300|"Beef, round, bottom round, steak, separable lean only, trimmed to 1/8"" fat, all grades, cooked, braised"|0.0
7647|23604|1300|"Beef, round, bottom round, roast, separable lean only, trimmed to 1/8"" fat, all grades, cooked"|0.0
7646|23603|1300|"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, raw"|0.0
7645|23602|1300|"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, cooked, braised"|0.0
7644|23601|1300|"Beef, tenderloin, steak, separable lean only, trimmed to 1/8"" fat, all grades, raw"|0.0
7643|23600|1300|"Beef, tenderloin, steak, separable lean only, trimmed to 1/8"" fat, all grades, cooked, broiled"|0.0
7642|23599|1300|"Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 1/8"" fat, all grades, raw"|0.0
7659|23616|1300|"Beef, round, eye of round, roast, separable lean only, trimmed to 1/8"" fat, choice, raw"|0.0
7660|23617|1300|"Beef, round, top round, steak, separable lean only, trimmed to 1/8"" fat, choice, raw"|0.0
7661|23618|1300|"Beef, round, bottom round, roast, separable lean only, trimmed to 1/8"" fat, choice, raw"|0.0
7671|23628|1300|"Beef, tenderloin, steak, separable lean only, trimmed to 1/8"" fat, choice, cooked, broiled"|0.0
7678|23635|1300|"Beef, round, eye of round, roast, separable lean only, trimmed to 1/8"" fat, select, raw"|0.0
7677|23634|1300|"Beef, brisket, flat half, separable lean only, trimmed to 1/8"" fat, select, cooked, braised"|0.0
7676|23633|1300|"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, select, cooked, braised"|0.0
7675|23632|1300|"Beef, brisket, flat half, separable lean only, trimmed to 1/8"" fat, select, raw"|0.0
7674|23631|1300|"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, select, raw"|0.0
7673|23630|1300|"Beef, short loin, top loin, steak, separable lean only, trimmed to 1/8"" fat, choice, cooked, broiled"|0.0
7672|23629|1300|"Beef, top sirloin, steak, separable lean only, trimmed to 1/8"" fat, choice, cooked, broiled"|0.0
7670|23627|1300|"Beef, short loin, top loin, steak, separable lean only, trimmed to 1/8"" fat, choice, raw"|0.0
7662|23619|1300|"Beef, round, bottom round, roast, separable lean only, trimmed to 1/8"" fat, choice, cooked, roasted"|0.0
7669|23626|1300|"Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 1/8""fat, choice, cooked, broiled"|0.0
7668|23625|1300|"Beef, top sirloin, steak, separable lean only, trimmed to 1/8"" fat, choice, raw"|0.0
7667|23624|1300|"Beef, tenderloin, steak, separable lean only, trimmed to 1/8"" fat, choice, raw"|0.0
7666|23623|1300|"Beef, rib, small end (ribs 10-12), separable lean only, trimmed to 1/8"" fat, choice, raw"|0.0
7665|23622|1300|"Beef, round, bottom round, steak, separable lean only, trimmed to 1/8"" fat, choice, cooked, braised"|0.0
7664|23621|1300|"Beef, round, top round, steak, separable lean only, trimmed to 1/8"" fat, choice, cooked, broiled"|0.0
7663|23620|1300|"Beef, round, eye of round, roast, separable lean only, trimmed to 1/8"" fat, choice, cooked, roasted"|0.0
7734|25040|2500|Snacks, vegetable chips, made from garden vegetables|0.0
7736|25043|2500|Snacks, candy bits, yogurt covered with vitamin C|0.0
7640|23597|1300|"Beef, round, eye of round, roast, separable lean only, trimmed to 1/8"" fat, all grades, raw"|0.0
8094|28292|1800|Crackers, multigrain|0.0
8120|28318|1800|Bread, french or vienna, whole wheat|0.0
8119|28317|1800|Bread, wheat, sprouted, toasted|0.0
8118|28316|1800|Bread, wheat, sprouted|0.0
8117|28315|1800|Bread, cinnamon|0.0
8116|28314|1800|Crackers, sandwich-type, peanut butter filled, reduced fat|0.0
8115|28313|1800|Rolls, hamburger or hot dog, whole wheat|0.0
8114|28312|1800|Rolls, hamburger or hot dog, wheat/cracked wheat|0.0
8112|28310|1800|Cookies, shortbread, reduced fat|0.0
8111|28309|1800|Cookies, coconut macaroon|0.0
8110|28308|1800|Crackers, standard snack-type, with whole wheat|0.0
8107|28305|1800|Pancakes, plain, reduced fat|0.0
8106|28304|1800|Waffles, whole wheat, lowfat, frozen, ready-to-heat|0.0
8105|28303|1800|Crackers, cheese, whole grain|0.0
8104|28302|1800|Cookies, graham crackers, plain or honey, lowfat|0.0
8103|28301|1800|Cookies, peanut butter, commercially prepared, sugar free|0.0
8102|28300|1800|Cookies, oatmeal sandwich, with creme filling|0.0
8099|28297|1800|Cake, snack cakes, not chocolate, with icing or filling, low-fat, with added fiber|0.0
8121|28319|1800|Bagels, whole grain white|0.0
8122|28320|1800|English muffins, whole grain white|0.0
8123|28321|1800|Rolls, hamburger, whole grain white, calcium-fortified|0.0
8148|28346|1800|Waffles, gluten-free, frozen, ready-to-heat|0.0
8199|28399|1800|Cookies, animal crackers (includes arrowroot, tea biscuits)|0.0
8198|28397|1800|Bread, multi-grain (includes whole-grain)|0.0
8154|28352|1800|Cookies, vanilla sandwich with creme filling, reduced fat|0.0
8153|28351|1800|Cookies, Marie biscuit|0.0
8151|28349|1800|Cookies, oatmeal, reduced fat|0.0
8150|28348|1800|Rolls, dinner, sweet|0.0
8149|28347|1800|Pancakes, gluten-free, frozen, ready-to-heat|0.0
8147|28345|1800|Crackers, gluten-free, multi-seeded and multigrain|0.0
8124|28322|1800|Bagels, multigrain|0.0
8143|28341|1800|Rolls, gluten-free, white, made with rice flour, rice starch, and corn starch|0.0
8139|28337|1800|Bread, gluten-free, white, made with rice flour, corn starch, and/or tapioca|0.0
8129|28327|1800|Crackers, water biscuits|0.0
8128|28326|1800|Crackers, whole grain, sandwich-type, with peanut butter filling|0.0
8127|28325|1800|Crackers, toast thins, low sodium|0.0
8126|28324|1800|Pancakes, whole wheat, dry mix, incomplete|0.0
8125|28323|1800|Pancakes, plain, low fat, dry mix, incomplete (includes buttermilk)|0.0
8097|28295|1800|Tortillas, ready-to-bake or -fry, whole wheat|0.0
8093|28291|1800|Cookies, animal, with frosting or icing|0.0
7738|25046|2500|Snacks, bagel chips, plain|0.0
8090|28288|1800|Bread, roll, Mexican, bollilo|0.0
7760|27002|600|Soup, wonton, Chinese restaurant|0.0
7759|27001|600|Soup, hot and sour, Chinese restaurant|0.0
7758|27000|600|Soup, egg drop, Chinese restaurant|0.0
7757|25071|2500|Rice crackers|0.0
7756|25070|2500|Snacks, shrimp cracker|0.0
7753|25066|2500|Snacks, peas, roasted, wasabi-flavored|0.0
7752|25065|2500|Snacks, Pretzels, gluten- free made with cornstarch and potato flour|0.0
7751|25064|2500|Snacks, potato chips, lightly salted|0.0
7750|25063|2500|Snacks, potato chips, made from dried potatoes (preformed), multigrain|0.0
7749|25062|2500|Snack, Mixed Berry Bar|0.0
7747|25059|2500|Snacks, brown rice chips|0.0
7746|25056|2500|Snacks, granola bar, QUAKER, DIPPS, all flavors|0.0
7745|25055|2500|Snacks, granola bar, GENERAL MILLS, NATURE VALLEY, CHEWY TRAIL MIX|0.0
7744|25054|2500|Snacks, granola bar, GENERAL MILLS, NATURE VALLEY, with yogurt coating|0.0
7743|25053|2500|Snacks, granola bar, GENERAL MILLS NATURE VALLEY, SWEET&SALTY NUT, peanut|0.0
7741|25051|2500|Snacks, CLIF BAR, mixed flavors|0.0
7739|25048|2500|Snacks, NUTRI-GRAIN FRUIT AND NUT BAR|0.0
7780|27035|600|Soup, ramen noodle, dry, any flavor, reduced fat, reduced sodium|0.0
7782|27043|600|Soup, clam chowder, new england, reduced sodium, canned, ready-to-serve|0.0
7783|27044|600|Soup, chicken noodle, reduced sodium, canned, ready-to-serve|0.0
7801|27062|600|Soup, beef barley, ready to serve|0.0
8089|28287|1800|Bread, naan, whole wheat, commercially prepared, refrigerated|0.0
8088|28286|1800|Bread, paratha, whole wheat, commercially prepared, frozen|0.0
8087|28285|1800|Bread, chapati or roti, whole wheat, commercially prepared, frozen|0.0
7805|27066|600|Sauce, horseradish|0.0
7804|27065|600|Dip, bean, original flavor|0.0
7803|27064|600|Wasabi|0.0
7802|27063|600|Sauce, enchilada, red, mild, ready to serve|0.0
7799|27060|600|Soup, chunky vegetable, reduced sodium, canned, ready-to-serve|0.0
7785|27046|600|Sauce, duck, ready-to-serve|0.0
