row      NDB_No  FdGrp_Cd                                          Long_Desc      FE
968     5146       500  Goose, domesticated, meat and skin, raw (Anser...    2.50
6974   21495      2100  DOMINO'S 14" Sausage Pizza, Ultimate Deep Dish...    2.50
6476   20005      2000                               Barley, pearled, raw    2.50
7213   23123      1300  Beef, chuck, mock tender steak, boneless, sepa...    2.50
3162   11451      1100  Soybeans, green, cooked, boiled, drained, with...    2.50
1863    8148       800  Cereals ready-to-eat, POST, Shredded Wheat, or...    2.50
7836   28028      1800          FAMOUS AMOS, Chocolate Chip Pecan Cookies    2.50
8028   28226      1800       MURRAY, SUGAR FREE, Pecan Shortbread Cookies    2.50
5091   16613      1600  MORNINGSTAR FARMS Breakfast Sandwich Veggie Sa...    2.50
5077   16592      1600  MORNINGSTAR FARMS California Turk'y Burger, fr...    2.50
5062   16557      1600  MORNINGSTAR FARMS Chik Patties, frozen, unprep...    2.50
3467   11853      1100  Soybeans, green, cooked, boiled, drained, with...    2.50
7622   23579      1300  Beef, ground, 75% lean meat / 25% fat, patty, ...    2.50
8072   28270      1800                 MOTHER'S, Vanilla Sandwich Cookies    2.50
8071   28269      1800            MOTHER'S, Old Fashioned Oatmeal Cookies    2.50
4622   15144      1500  Crustaceans, crab, queen, raw (Chionoectes opi...    2.50
4499   15018      1500              Fish, cod, Atlantic, dried and salted    2.50
2895   11118      1100                                    Cabbage, kimchi    2.50
7446   23366      1300  Beef, loin, tenderloin roast, boneless, separa...    2.50
7860   28053      1800  KEEBLER, CHIPS DELUXE, Chocolate Malt Chunk Co...    2.50
7861   28054      1800             KEEBLER, CHIPS DELUXE, Coconut Cookies    2.50
7932   28128      1800  KEEBLER, SANDIES, Pecan Shortbread Cookies, bi...    2.50
7935   28131      1800                      KEEBLER, Sweet Cremes Cookies    2.50
4040   13889      1300  Beef, shoulder top blade steak, boneless, sepa...    2.50
7965   28161      1800           KELLOGG'S, ALL-BRAN, Multigrain Crackers    2.50
7993   28190      1800          KELLOGG'S, SPECIAL K, Multigrain Crackers    2.50
8002   28199      1800             MOTHER'S, English Tea Sandwich Cookies    2.50
8009   28206      1800     MOTHER'S, Old Fashioned Chocolate Chip Cookies    2.50
8019   28216      1800         MURRAY, Old Fashioned Iced Oatmeal Cookies    2.50
7452   23372      1300  Beef, loin, tenderloin steak, boneless, separa...    2.50
8027   28225      1800          MURRAY, SUGAR FREE, Peanut Butter Cookies    2.50
1949    8389       800  Cereals ready-to-eat, KASHI 7 Whole Grain Hone...    2.50
5581   18024      1800  Bread, cornbread, prepared from recipe, made w...    2.50
5677   18164      1800  Cookies, chocolate chip, refrigerated dough, b...    2.50
8198   28397      1800          Bread, multi-grain (includes whole-grain)    2.50
5579   18022      1800  Bread, cornbread, dry mix, enriched (includes ...    2.50
6653   21003      2100            Fast foods, biscuit, with egg and bacon    2.49
7565   23491      1300  Beef composite, separable lean only, trimmed t...    2.49
6803   21278      2100  DOMINO'S 14" Cheese Pizza, Ultimate Deep Dish ...    2.49
8131   28329      1800          Cookies, chocolate, made with rice cereal    2.49
4848   16112      1600                                               Miso    2.49
6020   18972      1800                                      Bread, cheese    2.49
7224   23134      1300  Beef, chuck eye Country-Style ribs, boneless, ...    2.49
845     5023       500                 Chicken, gizzard, all classes, raw    2.49
7138   23048      1300  Beef, round, knuckle, tip center, steak, separ...    2.49
4054   13903      1300  Beef, shoulder top blade steak, boneless, sepa...    2.49
7308   23228      1300  Beef, rib eye steak, boneless, lip off, separa...    2.49
7422   23342      1300  Beef, loin, tenderloin steak, boneless, separa...    2.49
4014   13863      1300  Beef, shoulder top blade steak, boneless, sepa...    2.49
7315   23235      1300  Beef, rib, back ribs, bone-in, separable lean ...    2.49
6825   21300      2100  Fast Food, Pizza Chain, 14" pizza, cheese topp...    2.48
1229    6030       600  Soup, clam chowder, new england, canned, conde...    2.48
5863   18378      1800  Cookies, chocolate chip, prepared from recipe,...    2.48
4786   16048      1600  Beans, yellow, mature seeds, cooked, boiled, w...    2.48
7416   23336      1300  Beef, loin, tenderloin roast, boneless, separa...    2.48
7616   23573      1300  Beef, ground, 80% lean meat / 20% fat, patty, ...    2.48
2149    9031       900  Apricots, dehydrated (low-moisture), sulfured,...    2.48
4511   15030      1500        Fish, gefiltefish, commercial, sweet recipe    2.48
5670   18156      1800  Cookies, fudge, cake-type (includes trolley ca...    2.48
7034   22905      2200                           Beef stew, canned entree    2.48
7295   23215      1300  Beef, plate steak, boneless, inside skirt, sep...    2.48
5573   18014      1800  Biscuits, plain or buttermilk, refrigerated do...    2.48
4978   16348      1600  Beans, yellow, mature seeds, cooked, boiled, w...    2.48
3927   13494      1300  Beef, ground, 70% lean meat / 30% fat, crumble...    2.48
7454   23374      1300  Beef, loin, tenderloin steak, boneless, separa...    2.48
7448   23368      1300  Beef, loin, tenderloin roast, boneless, separa...    2.48
5402   17305      1700  Lamb, Australian, imported, fresh, leg, sirloi...    2.48
8103   28301      1800  Cookies, peanut butter, commercially prepared,...    2.48
5406   17309      1700  Lamb, Australian, imported, fresh, leg, center...    2.48
6824   21299      2100  Fast Food, Pizza Chain, 14" pizza, cheese topp...    2.48
7471   23391      1300  Beef, loin, top loin steak, boneless, lip-on, ...    2.48
7469   23389      1300  Beef, loin, top loin steak, boneless, lip-on, ...    2.47
5560   17463      1700  Lamb, Australian, imported, fresh, rack, roast...    2.47
6479   20009      2000                     Buckwheat groats, roasted, dry    2.47
5617   18075      1800          Bread, whole-wheat, commercially prepared    2.47
3734   12644      1200         Nuts, pecans, oil roasted, with salt added    2.47
7424   23344      1300  Beef, loin, tenderloin steak, boneless, separa...    2.47
5958   18610      1800  CONTINENTAL MILLS, KRUSTEAZ Almond Poppyseed M...    2.47
8239   32006      2200  Taquitos, frozen, chicken and cheese, oven-heated    2.47
6819   21294      2100              PIZZA HUT 14" Cheese Pizza, Pan Crust    2.47
5995   18947      1800  Pie crust, deep dish, frozen, baked, made with...    2.47
7252   23162      1300  Beef, plate steak, boneless, inside skirt, sep...    2.47
3974   13821      1300  Beef, chuck eye roast, boneless, America's Bee...    2.47
3682   12144      1200      Nuts, pecans, oil roasted, without salt added    2.47
2044    8627       800  Cereals ready-to-eat, QUAKER, Natural Granola ...    2.47
5678   18165      1800  Cookies, chocolate chip, prepared from recipe,...    2.46
3639   12077      1200                Nuts, beechnuts, dried (Fagus spp.)    2.46
3967   13814      1300  Beef, chuck, arm pot roast, separable lean and...    2.46
5558   17461      1700  Lamb, Australian, imported, fresh, rib chop, f...    2.46
7418   23338      1300  Beef, loin, tenderloin roast, boneless, separa...    2.46
3957   13804      1300  Beef, brisket, whole, separable lean and fat, ...    2.46
7697   23660      1300  Beef, brisket, flat half, separable lean and f...    2.46
7641   23598      1300  Beef, round, eye of round, roast, separable le...    2.46
7226   23136      1300  Beef, chuck eye Country-Style ribs, boneless, ...    2.46
7231   23141      1300  Beef, chuck eye steak, boneless, separable lea...    2.46
6482   20012      2000                                        Bulgur, dry    2.46
2839   11032      1100  Lima beans, immature seeds, cooked, boiled, dr...    2.45
6962   21482      2100  Fast Food, Pizza Chain, 14" pizza, sausage top...    2.45
7158   23068      1300  Beef, chuck, short ribs, boneless, separable l...    2.45
3331   11714      1100  Lima beans, immature seeds, cooked, boiled, dr...    2.45
5769   18266      1800                       English muffins, whole-wheat    2.45
6976   21497      2100     PIZZA HUT 14" Sausage Pizza, Hand-Tossed Crust    2.45
5731   18225      1800   Crackers, rye, sandwich-type with cheese filling    2.45
5945   18537      1800                ARCHWAY Home Style Cookies, Oatmeal    2.45
7230   23140      1300  Beef, chuck eye steak, boneless, separable lea...    2.45
6066   19022      2500       Snacks, granola bars, soft, uncoated, raisin    2.44
6073   19031      2500                   Snacks, oriental mix, rice-based    2.44
4009   13858      1300  Beef, rib, small end (ribs 10-12), separable l...    2.44
7555   23477      1300          Beef, ground, 97% lean meat / 3% fat, raw    2.44
5844   18357      1800  Sweet rolls, cinnamon, refrigerated dough with...    2.44
8095   28293      1800  Cookie, butter or sugar, with chocolate icing ...    2.44
5126   17028      1700  Lamb, domestic, loin, separable lean only, tri...    2.44
7179   23089      1300  Beef, chuck, mock tender steak, boneless, sepa...    2.44
4884   16158      1600                                 Hummus, commercial    2.44
7294   23214      1300  Beef, plate steak, boneless, inside skirt, sep...    2.44
8235   32002      2200  Rice and vermicelli mix, rice pilaf flavor, un...    2.44
1285    6128       600                     Soup, chicken noodle, dry, mix    2.44
3932   13499      1300  Beef, chuck, under blade center steak, boneles...    2.43
3961   13808      1300  Beef, brisket, point half, separable lean and ...    2.43
7032   22903      2100  Pizza, pepperoni topping, regular crust, froze...    2.43
3875   13425      1300  Beef, round, tip round, roast, separable lean ...    2.43
3959   13806      1300  Beef, brisket, flat half, separable lean and f...    2.43
3640   12078      1200  Nuts, brazilnuts, dried, unblanched (Bertholle...    2.43
5345   17247      1700  Lamb, domestic, shoulder, arm, separable lean ...    2.43
5704   18193      1800  Cookies, shortbread, commercially prepared, pecan    2.43
5640   18106      1800                                  Coffeecake, fruit    2.43
7662   23619      1300  Beef, round, bottom round, roast, separable le...    2.43
7624   23581      1300  Beef, ground, 75% lean meat / 25% fat, loaf, c...    2.43
5722   18216      1800                          Crackers, crispbread, rye    2.43
7212   23122      1300  Beef, chuck, mock tender steak, boneless, sepa...    2.43
3655   12104      1200           Nuts, coconut meat, raw (Cocos nucifera)    2.43
3809   13349      1300  Beef, chuck, under blade pot roast or steak, b...    2.43
8115   28313      1800           Rolls, hamburger or hot dog, whole wheat    2.42
5757   18253      1800                 Doughnuts, french crullers, glazed    2.42
5835   18348      1800                         Rolls, dinner, whole-wheat    2.42
3778   13317      1300     Beef, ground, patties, frozen, cooked, broiled    2.42
908     5086       500  Chicken, broilers or fryers, neck, meat and sk...    2.42
5420   17323      1700  Lamb, Australian, imported, fresh, shoulder, a...    2.42
7232   23142      1300  Beef, chuck eye steak, boneless, separable lea...    2.42
3976   13823      1300  Beef, chuck eye roast, boneless, America's Bee...    2.42
3810   13350       700                                 Beef, cured, dried    2.42
3816   13356      1300  Beef, chuck, under blade center steak, boneles...    2.42
3832   13373      1300  Beef, chuck, arm pot roast, separable lean and...    2.42
7634   23591      1300  Beef, round, eye of round, roast, separable le...    2.42
4003   13852      1300  Beef, rib, small end (ribs 10-12), separable l...    2.42
3985   13832      1300  Beef, rib, whole (ribs 6-12), separable lean a...    2.41
4878   16147      1600           Veggie burgers or soyburgers, unprepared    2.41
6761   21234      2100                        McDONALD'S, QUARTER POUNDER    2.41
1044    5312       500   Chicken, wing, frozen, glazed, barbecue flavored    2.41
4841   16104      1600                                    Bacon, meatless    2.41
6658   21008      2100                      Fast foods, biscuit, with ham    2.41
5554   17457      1700  Lamb, Australian, imported, fresh, leg, trotte...    2.41
3929   13496      1300  Beef, ground, 70% lean meat / 30% fat, patty c...    2.41
6964   21484      2100  Fast Food, Pizza Chain, 14" pizza, sausage top...    2.41
7488   23410      1300  Beef, New Zealand, imported, flank, separable ...    2.41
7390   23310      1300  Beef, Australian, imported, Wagyu, loin, tende...    2.41
7361   23281      1300  Beef, loin, top sirloin cap steak, boneless, s...    2.41
2009    8568       800  Cereals, KASHI HEART TO HEART, Instant Oatmeal...    2.40
2091    8684       800  Cereals ready-to-eat, CASCADIAN FARM, Honey Nu...    2.40
3819   13359      1300  Beef, chuck, under blade center steak, boneles...    2.40
3592   11985      1100    Fireweed, leaves, raw (Epilobium angustifolium)    2.40
7362   23282      1300  Beef, loin, top sirloin cap steak, boneless, s...    2.40
3050   11303      1100  Peas, edible-podded, frozen, cooked, boiled, d...    2.40
6729   21147      2100  School Lunch, pizza, TONY'S SMARTPIZZA Whole G...    2.40
6728   21146      2100  School Lunch, pizza, BIG DADDY'S LS 16" 51% Wh...    2.40
7313   23233      1300  Beef, rib, back ribs, bone-in, separable lean ...    2.40
3843   13387      1300  Beef, rib, large end (ribs 6-9), separable lea...    2.40
7307   23227      1300  Beef, rib eye steak, boneless, lip off, separa...    2.40
963     5141       500                 Duck, domesticated, meat only, raw    2.40
961     5139       500  Duck, domesticated, meat and skin, raw (Anas p...    2.40
1947    8387       800  Cereals ready-to-eat, KASHI HEART TO HEART, Ho...    2.40
5946   18538      1800         ARCHWAY Home Style Cookies, Oatmeal Raisin    2.40
6022   18974      1800                  KASHI, TLC, Honey Sesame Crackers    2.40
6029   18981      1800        KASHI, TLC, Fire Roasted Vegetable Crackers    2.40
3749   13055      1300  Beef, brisket, flat half, separable lean and f...    2.40
6369   19420      2500          Snacks, granola bars, hard, peanut butter    2.40
6372   19423      2500  Snacks, potato chips, fat-free, made with olestra    2.40
5134   17036      1700  Lamb, domestic, shoulder, whole (arm and blade...    2.40
2574   10100      1000  Pork, fresh, variety meats and by-products, ea...    2.40
5067   16570      1600  GARDENBURGER Black Bean Chipotle Burger, froze...    2.40
3678   12140      1200  Nuts, formulated, wheat-based, unflavored, wit...    2.40
7562   23484      1300  Beef, composite of trimmed retail cuts, separa...    2.40
3862   13411      1300  Beef, round, bottom round, roast, separable le...    2.40
7954   28150      1800         KEEBLER, TRADITIONS, Iced Lemonade Cookies    2.40
8005   28202      1800                    MOTHER'S, Iced Lemonade Cookies    2.40
8008   28205      1800                         MOTHER'S, Macaroon Cookies    2.40
4812   16075      1600  Lima beans, thin seeded (baby), mature seeds, ...    2.40
4990   16375      1600  Lima beans, thin seeded (baby), mature seeds, ...    2.40
8021   28218      1800          MURRAY, SOUTHERN KITCHEN, Coconut Cookies    2.40
3426   11810      1100  Peas, edible-podded, frozen, cooked, boiled, d...    2.40
8033   28231      1800                  MURRAY, SUGAR FREE, Vanilla Wafer    2.40
3274   11616      1100                             Dock, raw (Rumex spp.)    2.40
3653   12100      1200           Nuts, chestnuts, european, dried, peeled    2.39
3997   13846      1300  Beef, rib, large end (ribs 6-9), separable lea...    2.39
7335   23255      1300  Beef, top loin petite roast/filet, boneless, s...    2.39
6703   21109      2100  Fast foods, hamburger; single, regular patty; ...    2.39
7126   23036      1300  Beef, chuck, shoulder clod, shoulder tender, m...    2.39
5776   18273      1800  Muffins, plain, prepared from recipe, made wit...    2.39
5736   18230      1800  Crackers, standard snack-type, sandwich, with ...    2.39
4006   13855      1300  Beef, rib, small end (ribs 10-12), separable l...    2.39
4809   16072      1600  Lima beans, large, mature seeds, cooked, boile...    2.39
7342   23262      1300  Beef, loin, top sirloin petite roast/filet, bo...    2.39
6977   21498      2100             PIZZA HUT 14" Sausage Pizza, Pan Crust    2.39
5142   17044      1700  Lamb, domestic, shoulder, arm, separable lean ...    2.39
4989   16372      1600  Lima beans, large, mature seeds, cooked, boile...    2.39
5341   17243      1700  Lamb, domestic, shoulder, whole (arm and blade...    2.39
5694   18183      1800        Cookies, oatmeal, refrigerated dough, baked    2.38
6975   21496      2100  PIZZA HUT 14" Sausage Pizza, THIN 'N CRISPY Crust    2.38
6486   20016      2000                    Corn flour, whole-grain, yellow    2.38
3833   13375      1300  Beef, chuck, arm pot roast, separable lean and...    2.38
7198   23108      1300  Beef, chuck, under blade center steak, boneles...    2.38
7200   23110      1300  Beef, chuck, under blade center steak, boneles...    2.38
5311   17213      1700  Veal, variety meats and by-products, pancreas,...    2.38
3652   12099      1200         Nuts, chestnuts, european, dried, unpeeled    2.38
7484   23406      1300  Beef, New Zealand, imported, cube roll, separa...    2.38
5349   17251      1700  Lamb, domestic, shoulder, blade, separable lea...    2.38
7600   23557      1300          Beef, ground, 95% lean meat / 5% fat, raw    2.38
6596   20316      2000                     Corn flour, whole-grain, white    2.38
5404   17307      1700  Lamb, Australian, imported, fresh, leg, center...    2.38
7122   23032      1300  Beef, round, knuckle, tip side, steak, separab...    2.38
1592    6969       600                      Potato soup, instant, dry mix    2.38
610     3966       300  Infant formula, NESTLE, GOOD START SOY, with D...    2.38
5759   18255      1800  Doughnuts, yeast-leavened, glazed, enriched (i...    2.38
4860   16124      1600                   Soy sauce made from soy (tamari)    2.38
5718   18212      1800                 Cookies, vanilla wafers, lower fat    2.38
3979   13826      1300  Beef, rib, whole (ribs 6-12), separable lean a...    2.37
5277   17179      1700  Game meat, rabbit, domesticated, composite of ...    2.37
7199   23109      1300  Beef, chuck, under blade center steak, boneles...    2.37
5561   17464      1700  Lamb, Australian, imported, fresh, rib chop, f...    2.37
7191   23101      1300  Beef, rib eye roast, bone-in, lip-on, separabl...    2.37
7621   23578      1300  Beef, ground, 75% lean meat / 25% fat, patty, ...    2.37
7403   23323      1300  Beef, Australian, imported, Wagyu, loin, tende...    2.37
6688   21092      2100  Fast foods, cheeseburger; double, regular patt...    2.37
6654   21004      2100              Fast foods, biscuit, with egg and ham    2.37
6789   21264      2100                            TACO BELL, Bean Burrito    2.37
6678   21061      2100         Fast foods, burrito, with beans and cheese    2.37
583     3937       300  Infant formula, PBM PRODUCTS, store brand, liq...    2.36
7256   23166      1300  Beef, plate steak, boneless, inside skirt, sep...    2.36
4972   16338      1600  Beans, navy, mature seeds, cooked, boiled, wit...    2.36
527     3812       300  Infant formula, MEAD JOHNSON, ENFAMIL, LIPIL, ...    2.36
5414   17317      1700  Lamb, Australian, imported, fresh, rib chop, f...    2.36
6710   21118      2100                          Fast foods, hotdog, plain    2.36
6973   21494      2100  DOMINO'S 14" Sausage Pizza, Classic Hand-Tosse...    2.36
4776   16038      1600  Beans, navy, mature seeds, cooked, boiled, wit...    2.36
586     3940       300  Infant formula, PBM PRODUCTS, store brand, soy...    2.36
7536   23458      1300  Beef, New Zealand, imported, flank, separable ...    2.36
8249   32016      2200  Macaroni or noodles with cheese, microwaveable...    2.36
7149   23059      1300  Beef, chuck, shoulder clod, top blade, steak, ...    2.36
7236   23146      1300  Beef, rib eye roast, bone-in, lip-on, separabl...    2.36
4077   13926      1300  Beef, tenderloin, separable lean and fat, trim...    2.35
7438   23358      1300  Beef, round, top round roast, boneless, separa...    2.35
7647   23604      1300  Beef, round, bottom round, roast, separable le...    2.35
7633   23590      1300  Beef, round, bottom round , roast, separable l...    2.35
6690   21094      2100  Fast foods, cheeseburger, double, regular patt...    2.35
7435   23355      1300  Beef, round, top round steak, boneless, separa...    2.35
6152   19120      1900                            Candies, milk chocolate    2.35
6954   21473      2100  DIGIORNO Pizza, cheese topping, cheese stuffed...    2.35
5163   17065      1700  Lamb, New Zealand, imported, frozen, composite...    2.35
7580   23513      1300  Beef, chuck, clod roast, separable lean only, ...    2.35
6890   21395      2100  Fast foods, cheeseburger; double, regular patt...    2.35
6760   21233      2100                           McDONALD'S, Cheeseburger    2.35
7237   23147      1300  Beef, rib eye roast, bone-in, lip-on, separabl...    2.35
7405   23325      1300  Beef, round, top round steak, boneless, separa...    2.35
7408   23328      1300  Beef, round, top round roast, boneless, separa...    2.35
5150   17052      1700  Lamb, domestic, shoulder, blade, separable lea...    2.35
3864   13414      1300  Beef, round, bottom round roast, separable lea...    2.35
3982   13829      1300  Beef, rib, whole (ribs 6-12), separable lean a...    2.35
2947   11195      1100  Cowpeas (blackeyes), immature seeds, frozen, u...    2.35
3991   13840      1300  Beef, rib, large end (ribs 6-9), separable lea...    2.35
5159   17061      1700  Lamb, domestic, cubed for stew or kabob (leg a...    2.34
5177   17079      1700  Lamb, New Zealand, imported, frozen, loin, sep...    2.34
7239   23149      1300  Beef, rib eye steak, boneless, lip-on, separab...    2.34
7268   23178      1300  Beef, rib eye steak, boneless, lip off, separa...    2.34
6813   21288      2100  LITTLE CAESARS 14" Original Round Pepperoni Pi...    2.34
3830   13371      1300  Beef, brisket, point half, separable lean and ...    2.34
6812   21287      2100  LITTLE CAESARS 14" Original Round Cheese Pizza...    2.34
5970   18633      1800  PILLSBURY GRANDS, Buttermilk Biscuits, refrige...    2.34
5185   17087      1700  Lamb, New Zealand, imported, frozen, shoulder,...    2.34
6802   21277      2100  DOMINO'S 14" Cheese Pizza, Classic Hand-Tossed...    2.34
7439   23359      1300  Beef, round, top round roast, boneless, separa...    2.34
7409   23329      1300  Beef, round, top round roast, boneless, separa...    2.34
7296   23216      1300  Beef, plate steak, boneless, inside skirt, sep...    2.34
7406   23326      1300  Beef, round, top round steak, boneless, separa...    2.34
6766   21240      2100     WENDY'S, CLASSIC SINGLE Hamburger, with cheese    2.34
5400   17303      1700  Lamb, Australian, imported, fresh, leg, sirloi...    2.34
7434   23354      1300  Beef, round, top round steak, boneless, separa...    2.34
3776   13293      1300  Beef, chuck, under blade pot roast or steak, b...    2.34
7157   23067      1300  Beef, chuck, short ribs, boneless, separable l...    2.34
7314   23234      1300  Beef, rib, back ribs, bone-in, separable lean ...    2.34
7437   23357      1300  Beef, round, top round roast, boneless, separa...    2.34
7139   23049      1300  Beef, round, outside round, bottom round, stea...    2.34
7436   23356      1300  Beef, round, top round steak, boneless, separa...    2.34
7404   23324      1300  Beef, round, top round steak, boneless, separa...    2.33
5714   18208      1800  Cookies, sugar, prepared from recipe, made wit...    2.33
7550   23472      1300          Beef, ground, 93% lean meat / 7% fat, raw    2.33
6805   21280      2100  DOMINO'S 14" Pepperoni Pizza, Classic Hand-Tos...    2.33
7407   23327      1300  Beef, round, top round roast, boneless, separa...    2.33
6983   21506      2100                   BURGER KING, Double Cheeseburger    2.33
7169   23079      1300  Beef, chuck eye steak, boneless, separable lea...    2.33
4000   13849      1300  Beef, rib, large end (ribs 6-9), separable lea...    2.33
3842   13386      1300  Beef, rib, large end (ribs 6-9), separable lea...    2.33
4031   13880      1300  Beef, round, eye of round, roast, separable le...    2.33
3860   13408      1300  Beef, round, bottom round, roast, separable le...    2.33
8271   33864       300  Infant Formula, MEAD JOHNSON, ENFAMIL, Premium...    2.33
7285   23195      1300  Beef, rib eye steak, boneless, lip-on, separab...    2.33
6067   19024      2500  Snacks, granola bars, soft, coated, milk choco...    2.33
1050    5318       500  Duck, young duckling, domesticated, White Peki...    2.33
5250   17152      1700         Game meat, beefalo, composite of cuts, raw    2.32
6739   21157      2100  SUBWAY, meatball marinara sub on white bread (...    2.32
593     3947       300  Infant formula, ABBOTT NUTRITION, SIMILAC, SEN...    2.32
2815   11003      1100             Amaranth leaves, raw (Amaranthus spp.)    2.32
3768   13227      1300  Beef, shank crosscuts, separable lean only, tr...    2.32
8713   43364      2500       Snacks, tortilla chips, unsalted, white corn    2.32
3402   11786      1100  Drumstick leaves, cooked, boiled, drained, wit...    2.32
5951   18547      1800      ARCHWAY Home Style Cookies, Strawberry Filled    2.32
6807   21282      2100  DOMINO'S 14" EXTRAVAGANZZA FEAST Pizza, Classi...    2.32
5950   18544      1800       ARCHWAY Home Style Cookies, Raspberry Filled    2.32
6740   21158      2100  Fast foods, submarine sandwich, meatball marin...    2.32
8272   33865       300  Infant Formula, MEAD JOHNSON, ENFAMIL, Premium...    2.32
2974   11223      1100  Drumstick leaves, cooked, boiled, drained, wit...    2.32
981     5159       500                      Quail, breast, meat only, raw    2.31
7147   23057      1300  Beef, chuck, shoulder clod, shoulder top and c...    2.31
7162   23072      1300  Beef, chuck eye Country-Style ribs, boneless, ...    2.31
5852   18367      1800               Waffles, plain, prepared from recipe    2.31
984     5162       500      Squab, (pigeon), light meat without skin, raw    2.31
3761   13148      1300  Beef, rib, shortribs, separable lean and fat, ...    2.31
5147   17049      1700  Lamb, domestic, shoulder, arm, separable lean ...    2.31
6815   21290      2100  LITTLE CAESARS 14" Cheese Pizza, Large Deep Di...    2.31
1101    5644       500        Ostrich, inside leg, raw (Struthio camelus)    2.30
3994   13843      1300  Beef, rib, large end (ribs 6-9), separable lea...    2.30
542     3830       300  Infant formula, MEAD JOHNSON, ENFAMIL, LACTOFR...    2.30
8010   28207      1800       MOTHER'S, Old Fashioned Iced Oatmeal Cookies    2.30
6865   21357      2100                           McDONALD'S, Egg McMUFFIN    2.30
556     3851       300  Infant formula, ABBOTT NUTRITION, SIMILAC, wit...    2.30
3781   13320      1300  Beef, variety meats and by-products, brain, co...    2.30
3169   11461      1100      Spinach, canned, regular pack, drained solids    2.30
8011   28208      1800            MOTHER'S, Peanut Butter Gauchos Cookies    2.30
559     3854       300  Infant formula, MEAD JOHNSON, ENFAMIL, PROSOBE...    2.30
6957   21476      2100  DIGIORNO Pizza, pepperoni topping, cheese stuf...    2.30
7389   23309      1300  Beef, Australian, imported, grass-fed, round, ...    2.30
3874   13424      1300  Beef, round, tip round, roast, separable lean ...    2.30
1013    5194       500  Turkey, all classes, leg, meat and skin, cooke...    2.30
8064   28262      1800        FAMOUS AMOS, Vanilla Sandwich Creme Cookies    2.30
6892   21397      2100  Fast foods, cheeseburger; single, large patty;...    2.30
5603   18051      1800                    Bread, reduced-calorie, oatmeal    2.30
8006   28203      1800                     MOTHER'S, Iced Oatmeal Cookies    2.30
538     3824       300  Infant formula, MEAD JOHNSON, PROSOBEE, with i...    2.30
8685   43260       100  Beverage, instant breakfast powder, chocolate,...    2.30
7544   23466      1300  Beef, New Zealand, imported, rump centre, sepa...    2.30
3319   11698      1100  Chrysanthemum leaves, raw (Chrysanthemum coron...    2.30
7955   28151      1800          KEEBLER, TRADITIONS, Iced Oatmeal Cookies    2.30
6667   21021      2100  Fast foods, english muffin, with egg, cheese, ...    2.30
5020   16502      1600  LOMA LINDA Low Fat Big Franks, canned, unprepared    2.30
7219   23129      1300  Beef, chuck, short ribs, boneless, separable l...    2.30
909     5087       500  Chicken, broilers or fryers, neck, meat and sk...    2.30
6816   21291      2100  LITTLE CAESARS 14" Pepperoni Pizza, Large Deep...    2.30
6987   21510      2100        WENDY'S, DAVE'S Hot 'N Juicy 1/4 LB, single    2.30
4973   16341      1600  Beans, pink, mature seeds, cooked, boiled, wit...    2.30
549     3842       300  Infant formula, ABBOTT NUTRITION, SIMILAC, ISO...    2.30
4779   16041      1600  Beans, pink, mature seeds, cooked, boiled, wit...    2.30
4570   15089      1500  Fish, sardine, Pacific, canned in tomato sauce...    2.30
5308   17210      1700  Lamb, variety meats and by-products, pancreas,...    2.30
8716   43367       500  Turkey, drumstick, smoked, cooked, with skin, ...    2.30
7837   28029      1800        GIRL SCOUTS, Caramel Dulce De Leche Cookies    2.30
597     3951       300  Infant formula, ABBOTT NUTRITION, SIMILAC, ADV...    2.30
598     3952       300  Infant formula, ABBOTT NUTRITION, SIMILAC, ISO...    2.30
7842   28034      1800           GIRL SCOUTS, Thank U Berry Munch Cookies    2.30
7916   28112      1800         KEEBLER, READY CRUST, Shortbread Pie Crust    2.30
3849   13393      1300  Beef, rib, small end (ribs 10-12), separable l...    2.30
8365   35135      3500                      Corn, white, steamed (Navajo)    2.29
4029   13878      1300  Beef, round, eye of round, roast, separable le...    2.29
2924   11157      1100  Chrysanthemum, garland, raw (Chrysanthemum cor...    2.29
7545   23467      1300  Beef, New Zealand, imported, rump centre, sepa...    2.29
576     3926       300  Infant formula, NESTLE, GOOD START ESSENTIALS ...    2.29
5702   18191      1800                         Cookies, raisin, soft-type    2.29
6278   19279      1900        Candies, milk chocolate coated coffee beans    2.29
7277   23187      1300  Beef, rib eye steak, bone-in, lip-on, separabl...    2.29
3647   12094      1200                    Nuts, chestnuts, chinese, dried    2.29
7278   23188      1300  Beef, rib eye steak, bone-in, lip-on, separabl...    2.29
7276   23186      1300  Beef, rib eye steak, bone-in, lip-on, separabl...    2.29
6696   21100      2100  Fast foods, cheeseburger; double, large patty,...    2.29
7309   23229      1300  Beef, rib eye steak, boneless, lip off, separa...    2.28
7398   23318      1300  Beef, Australian, imported, grass-fed, round, ...    2.28
6996   21519      2100  Fast foods, breakfast burrito, with egg, chees...    2.28
8764   43572      2500             Popcorn, microwave, low fat and sodium    2.28
7204   23114      1300  Beef, chuck eye roast, boneless, America's Bee...    2.28
531     3816       300  Infant formula, MEAD JOHNSON, ENFAMIL, NUTRAMI...    2.28
7699   25001      2500                Snacks, popcorn, microwave, low fat    2.28
5490   17393      1700  Lamb, New Zealand, imported, neck chops, separ...    2.28
