row      NDB_No  FdGrp_Cd                                          Long_Desc      FE
3794   13333      1300   Beef, variety meats and by-products, spleen, raw   44.55
8346   35079      3500  Walrus, meat, dried (Alaska Native) (Odohenus ...   43.00
253     2004       200                  Spices, bay leaf (Laurus nobilis)   43.00
1875    8177       800               Cereals, MALT-O-MEAL, chocolate, dry   42.88
261     2012       200  Spices, coriander leaf, dried (Coriandrum sati...   42.46
1959    8444       800  Cereals, QUAKER, Instant Grits, Redeye Gravy &...   42.03
5312   17214      1700   Lamb, variety meats and by-products, spleen, raw   41.89
2082    8675       800  Cereals ready-to-eat, MALT-O-MEAL, OAT BLENDER...   41.38
1975    8488       800  Cereals, MALT-O-MEAL, Farina Hot Wheat Cereal,...   40.93
3795   13334      1300  Beef, variety meats and by-products, spleen, c...   39.36
1832    8092       800   Cereals, QUAKER, corn grits, instant, plain, dry   38.75
5313   17215      1700  Lamb, variety meats and by-products, spleen, c...   38.67
1984    8505       800        Cereals ready-to-eat, RALSTON Corn Biscuits   38.37
2057    8643       800     Cereals ready-to-eat, GENERAL MILLS, Honey KIX   38.20
1961    8450       800  Cereals, QUAKER, Instant Grits, Ham 'n' Cheese...   38.20
288     2039       200        Spices, savory, ground (Satureja hortensis)   37.88
8752   43529       300                     Babyfood, rice and apples, dry   37.00
251     2002       200             Spices, anise seed (Pimpinella anisum)   36.96
276     2027       200          Spices, oregano, dried (Origanum vulgare)   36.80
6199   19171      1900  Cocoa, dry powder, unsweetened, HERSHEY'S Euro...   36.00
1927    8318       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S SMART...   36.00
283     2034       200                          Spices, poultry seasoning   35.30
8763   43570       800  Cereals ready-to-eat, POST, HONEY BUNCHES OF O...   34.82
1974    8487       800  Cereals ready-to-eat, MALT-O-MEAL, Blueberry M...   34.29
1987    8508       800  Cereals ready-to-eat, USDA Commodity Corn and ...   34.06
1904    8247       800  Cereals ready-to-eat, GENERAL MILLS, TOTAL Rai...   34.00
1972    8481       800  Cereals ready-to-eat, MALT-O-MEAL, HONEY GRAHA...   33.81
8608   42240       800  Cereals ready-to-eat, POST, HONEY BUNCHES OF O...   33.80
268     2019       200  Spices, fenugreek seed (Trigonella foenum-grae...   33.53
1840    8104       800  Cereals, farina, enriched, assorted brands inc...   33.39
1829    8089       800      Cereals ready-to-eat, GENERAL MILLS, WHEATIES   33.30
2078    8671       800  Cereals ready-to-eat, GENERAL MILLS, Dulce De ...   33.29
1812    8064       800     Cereals ready-to-eat, GENERAL MILLS, Rice CHEX   33.29
1781    8013       800      Cereals ready-to-eat, GENERAL MILLS, CHEERIOS   33.17
8403   35175      3500  Seal, bearded (Oogruk), meat, partially dried ...   33.00
1789    8025       800           Cereals ready-to-eat, RALSTON CRISP RICE   32.73
289     2041       200    Spices, tarragon, dried (Artemisia dracunculus)   32.30
1820    8074       800             Cereals ready-to-eat, RALSTON TASTEEOS   32.14
2092    8685       800  Cereals ready-to-eat, QUAKER WHOLE HEARTS oat ...   32.11
2012    8573       800  Cereals, CREAM OF WHEAT, 2 1/2 minute cook tim...   32.02
1803    8048       800           Cereals ready-to-eat, GENERAL MILLS, KIX   32.00
257     2008       200     Spices, chervil, dried (Anthriscus cerefolium)   31.95
1865    8157       800     Cereals ready-to-eat, wheat, puffed, fortified   31.70
1864    8156       800      Cereals ready-to-eat, rice, puffed, fortified   31.70
1976    8489       800  Cereals, MALT-O-MEAL, Maple & Brown Sugar Hot ...   31.29
2034    8598       800  Cereals ready-to-eat, GENERAL MILLS, FIBER ONE...   31.20
1970    8476       800   Cereals ready-to-eat, MALT-O-MEAL, Honey BUZZERS   31.03
1785    8018       800  Cereals ready-to-eat, QUAKER, QUAKER CRUNCHY BRAN   30.98
1845    8116       800         Cereals, MALT-O-MEAL, original, plain, dry   30.86
1824    8082       800    Cereals ready-to-eat, GENERAL MILLS, Wheat CHEX   30.60
965     5143       500                     Duck, domesticated, liver, raw   30.53
972     5150       500                                  Goose, liver, raw   30.53
1813    8065       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S RICE ...   30.42
1960    8449       800  Cereals, QUAKER, Instant Grits Product with Am...   30.38
1835    8096       800  Cereals, QUAKER, Instant Grits, Country Bacon ...   30.38
1834    8094       800  Cereals, QUAKER, corn grits, instant, cheddar ...   30.38
1856    8138       800  Cereals ready-to-eat, MALT-O-MEAL, MARSHMALLOW...   30.00
2020    8582       800  Cereals ready-to-eat, GENERAL MILLS, DORA THE ...   30.00
2063    8653       800  Cereals ready-to-eat, KELLOGG'S RICE KRISPIES,...   30.00
1894    8221       800  Cereals, QUAKER, Instant Grits, Butter flavor,...   30.00
2083    8676       800  Cereals ready-to-eat, MALT-O-MEAL, Honey Nut S...   30.00
1979    8494       800  Cereals ready-to-eat, MALT-O-MEAL, CINNAMON TO...   30.00
1928    8319       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S FROST...   30.00
1929    8346       800  Cereals ready-to-eat, MALT-O-MEAL, COLOSSAL CR...   30.00
1775    8002       800             Cereals ready-to-eat, POST, ALPHA-BITS   30.00
1930    8347       800  Cereals ready-to-eat, MALT-O-MEAL, BERRY COLOS...   30.00
1886    8206       800       Cereals ready-to-eat, MALT-O-MEAL, COCO-ROOS   30.00
1891    8216       800  Cereals ready-to-eat, QUAKER, Toasted Multigra...   29.90
2015    8576       800   Cereals, CREAM OF WHEAT, 1 minute cook time, dry   29.75
2001    8549       800  Cereals ready-to-eat, QUAKER, QUAKER Honey Gra...   29.73
1890    8215       800  Cereals ready-to-eat, QUAKER, Oatmeal Squares,...   29.50
1945    8384       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S MINI-...   29.50
2114    8708       800  Cereals ready-to-eat, KELLOGG's FROSTED MINI-W...   29.50
1997    8542       800  Cereals ready-to-eat, KELLOGG'S, FROSTED MINI-...   29.50
1965    8459       800  Cereals ready-to-eat, KELLOGG'S, FROSTED MINI-...   29.50
2042    8617       800  Cereals ready-to-eat, KELLOGG's FROSTED MINI-W...   29.50
2084    8677       800  Cereals ready-to-eat, KELLOGG'S FROSTED MINI-W...   29.50
1981    8500       800  Cereals ready-to-eat, MALT-O-MEAL, Frosted Min...   29.45
2080    8673       800  Cereals, ready-to-eat, MALT-O-MEAL, Blueberry ...   29.45
1804    8049       800  Cereals ready-to-eat, QUAKER, QUAKER OAT LIFE,...   29.33
1889    8214       800      Cereals ready-to-eat, QUAKER, Oatmeal Squares   29.30
285     2036       200   Spices, rosemary, dried (Rosmarinus officinalis)   29.25
1802    8047       800         Cereals ready-to-eat, QUAKER, KING VITAMAN   29.00
2085    8678       800  Cereals ready-to-eat, GENERAL MILLS, Apple Cin...   29.00
2048    8632       800  Cereals ready-to-eat, QUAKER Oatmeal Squares, ...   29.00
2107    8701       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECI...   29.00
2049    8633       800  Cereals ready-to-eat, POST, HONEY BUNCHES OF O...   28.90
1787    8020       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S Corn ...   28.90
2047    8631       800  Cereals ready-to-eat, KELLOGG'S FROSTED MINI-W...   28.89
2089    8682       800  Cereals ready-to-eat, GENERAL MILLS, Multi Gra...   28.89
2102    8695       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S FROST...   28.89
2033    8596       800  Cereals ready-to-eat, GENERAL MILLS, FIBER ONE...   28.79
2045    8628       800  Cereals ready-to-eat, QUAKER, Maple Brown Suga...   28.69
1842    8106       800              Cereals, CREAM OF WHEAT, instant, dry   28.60
1838    8102       800  Cereals, CREAM OF WHEAT, regular, 10 minute co...   28.60
3305   11667      1100                          Seaweed, spirulina, dried   28.50
1836    8100       800                        Cereals, CREAM OF RICE, dry   28.44
629     3996       300  Babyfood, Multigrain whole grain cereal, dry f...   28.13
287     2038       200          Spices, sage, ground (Salvia officinalis)   28.12
1932    8349       800  Cereals ready-to-eat, MALT-O-MEAL, TOOTIE FRUI...   28.12
2112    8706       800   Cereals ready-to-eat, KELLOGG SCOOBY-DOO! cereal   28.10
1823    8081       800  Cereals ready-to-eat, POST, Honey Nut Shredded...   28.00
1793    8031       800  Cereals ready-to-eat, KELLOGG'S FROSTED MINI-W...   28.00
1791    8029       800             Cereals ready-to-eat, POST Bran Flakes   28.00
8629   42297       800  Cereals ready-to-eat, POST GREAT GRAINS Banana...   28.00
1798    8038       800      Cereals ready-to-eat, POST, GRAPE-NUTS Cereal   28.00
1815    8067       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECI...   28.00
2073    8665       800  Cereals ready-to-eat, POST HONEY BUNCHES OF OA...   28.00
1907    8259       800   Cereals ready-to-eat, KELLOGG, KELLOGG'S CRISPIX   28.00
