Ferum/Iron values are in mg per 100g
Daily needed value is 18mg

      NDB_No  FdGrp_Cd                                          Long_Desc      FE
4845   16109      1600      Soybeans, mature cooked, boiled, without salt    5.14
6014   18966      1800  Crackers, saltines, whole wheat (includes mult...    5.14
5891   18425      1800  Crackers, saltines, low salt (includes oyster,...    5.13
2986   11237      1100                       Kanpyo, (dried gourd strips)    5.12
4648   15171      1500  Mollusks, oyster, Pacific, raw (Crassostrea gi...    5.11
4804   16067      1600  Hyacinth beans, mature seeds, raw (Dolichos pu...    5.10
7811   28003      1800               KELLOGG'S, EGGO, Pancakes, Blueberry    5.10
7971   28168      1800  KELLOGG'S, POP-TARTS, Frosted Confetti Cake To...    5.10
2251    9147       900                      Jujube, Chinese, fresh, dried    5.09
305     2064       200  Peppermint, fresh (Mentha x piperita L. nothos...    5.08
4780   16042      1600  Beans, pinto, mature seeds, raw (Phaseolus vul...    5.07
6637   20640      2000  Wheat flour, white (industrial), 13% protein, ...    5.06
6639   20645      2000  Wheat flour, white (industrial), 15% protein, ...    5.06
6634   20634      2000  Wheat flour, white (industrial), 11.5% protein...    5.06
6633   20630      2000  Wheat flour, white (industrial), 10% protein, ...    5.06
6629   20623      2000  Wheat flour, white (industrial), 9% protein, b...    5.06
6631   20628      2000  Wheat flour, white (industrial), 10% protein, ...    5.06
6636   20636      2000  Wheat flour, white (industrial), 11.5% protein...    5.06
7738   25046      2500                         Snacks, bagel chips, plain    5.05
4654   15177      1500     Mollusks, whelk, unspecified, raw (Buccinidae)    5.03
3645   12088      1200     Nuts, cashew butter, plain, without salt added    5.03
4752   16014      1600  Beans, black, mature seeds, raw (Phaseolus vul...    5.02
5998   18950      1800                       Crackers, wheat, reduced fat    5.02
4757   16019      1600  Beans, cranberry (roman), mature seeds, raw (P...    5.00
6045   18997      1800   KELLOGG'S, EGGO, French Toaster Sticks, Cinnamon    5.00
6046   18998      1800   KELLOGG'S, EGGO, French Toaster Sticks, Original    5.00
5947   18539      1800  ARCHWAY Home Style Cookies, Old Fashioned Mola...    4.99
4741   16001      1600  Beans, adzuki, mature seeds, raw (Vigna angula...    4.98
2014    8575       800  Cereals, CREAM OF WHEAT, 2 1/2 minute cook tim...    4.98
7715   25020      2500  Formulated bar, SLIM-FAST OPTIMA meal bar, mil...    4.98
6526   20063      2000                                    Rye flour, dark    4.97
1843    8107       800  Cereals, CREAM OF WHEAT, instant, prepared wit...    4.96
4420   14538      1400  Beverages, Cocoa mix, low calorie, powder, wit...    4.96
4267   14196      1400       Beverages, Cocoa mix, no sugar added, powder    4.96
6493   20024      2000  Cornmeal, yellow, self-rising, bolted, with wh...    4.95
6602   20324      2000  Cornmeal, white, self-rising, bolted, with whe...    4.95
5861   18376      1800                Bread crumbs, dry, grated, seasoned    4.92
3728   12588      1200        Nuts, cashew butter, plain, with salt added    4.91
6399   19804      2500  Snacks, corn-based, extruded, chips, barbecue-...    4.90
5048   16533      1600  WORTHINGTON Smoked Turkey Roll, frozen, unprep...    4.90
8084   28282      1800   SUNSHINE, KRISPY, Soup & Oyster Crackers (large)    4.90
3617   12021      1200  Seeds, safflower seed kernels, dried (Carthamu...    4.90
5932   18501      1800  KELLOGG, KELLOG'S NUTRI-GRAIN CEREAL BARS, Mix...    4.90
5964   18619      1800  NABISCO, NABISCO OREO CRUNCHIES, Cookie Crumb ...    4.90
5080   16596      1600  MORNINGSTAR FARMS Grillers Quarter Pound Veggi...    4.90
5766   18263      1800  English muffins, raisin-cinnamon, toasted (inc...    4.90
7967   28163      1800  KELLOGG'S, POP-TARTS, Frosted Apple Strudel To...    4.90
6015   18967      1800                                 Bread, white wheat    4.89
2017    8578       800  Cereals, CREAM OF WHEAT, 1 minute cook time, c...    4.88
5720   18214      1800                          Crackers, cheese, regular    4.88
8166   28365      1800  PEPPERIDGE FARM, Goldfish, Baked Snack Cracker...    4.87
4865   16129      1600                                        Tofu, fried    4.87
5015   16429      1600         Tofu, fried, prepared with calcium sulfate    4.87
3618   12022      1200     Seeds, safflower seed meal, partially defatted    4.86
8767   43595      2500         Breakfast bar, corn flake crust with fruit    4.86
4883   16157      1600                             Chickpea flour (besan)    4.86
5621   18079      1800                   Bread crumbs, dry, grated, plain    4.83
4822   16085      1600  Peas, green, split, mature seeds, raw (Pisum s...    4.82
6383   19444      2500  Snacks, tortilla chips, low fat, made with ole...    4.80
7979   28176      1800  KELLOGG'S, POP-TARTS, Frosted Wild Grape Toast...    4.80
6013   18965      1800                      Crackers, cheese, reduced fat    4.80
7015   22120      1600  MORNINGSTAR FARMS Grillers Burger Style Recipe...    4.80
5927   18489      1800  Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS...    4.80
7891   28085      1800  KEEBLER, FUDGE SHOPPE, Fudge Grahams, 1/2 Dipp...    4.80
5900   18434      1800                       Crackers, cheese, low sodium    4.77
4287   14222      1400           Beverages, coffee, instant, with chicory    4.76
2980   11231      1100           Jute, potherb, raw (Corchorus olitorius)    4.76
4837   16100      1600                              Peanut flour, low fat    4.74
6603   20325      2000   Cornmeal, white, self-rising, degermed, enriched    4.73
6566   20113      2000                        Noodles, chinese, chow mein    4.73
6494   20025      2000  Cornmeal, yellow, self-rising, degermed, enriched    4.73
8164   28363      1800  PEPPERIDGE FARM, Goldfish, Baked Snack Cracker...    4.73
5794   18295      1800           Pancakes, buckwheat, dry mix, incomplete    4.73
6506   20038      2000                             Oats (Avena sativa L.)    4.72
6292   19304      1900                                           Molasses    4.72
5707   18199      1800  Cookies, chocolate sandwich, with creme fillin...    4.72
6580   20131      2000                                  Barley malt flour    4.71
2016    8577       800  Cereals, CREAM OF WHEAT, 1 minute cook time, c...    4.70
7871   28065      1800             KEEBLER, CLUB, Minis Original Crackers    4.70
3665   12120      1200         Nuts, hazelnuts or filberts (Corylus spp.)    4.70
5645   18114      1800                         Cake, gingerbread, dry mix    4.70
8051   28249      1800  SUNSHINE, CHEEZ-IT, White Cheddar, Reduced Fat...    4.70
6040   18992      1800       KELLOGG'S, BEANATURAL, Original 3-Bean Chips    4.70
5944   18535      1800               ARCHWAY Home Style Cookies, Molasses    4.68
6544   20082      2000  Wheat flour, white, all-purpose, self-rising, ...    4.67
5725   18219      1800                       Crackers, matzo, whole-wheat    4.65
5762   18259      1800  English muffins, plain, toasted, enriched, wit...    4.65
6627   20581      2000  Wheat flour, white, all-purpose, enriched, unb...    4.64
5742   18236      1800                                       Cracker meal    4.64
6543   20081      2000  Wheat flour, white, all-purpose, enriched, ble...    4.64
1952    8402       800                   Cereals, QUAKER, Quick Oats, Dry    4.64
6606   20381      2000  Wheat flour, white, all-purpose, enriched, cal...    4.64
4483   15002      1500  Fish, anchovy, european, canned in oil, draine...    4.63
5935   18507      1800  KELLOGG'S EGGO Lowfat Blueberry Nutri-Grain Wa...    4.62
4644   15167      1500  Mollusks, oyster, eastern, wild, raw (Crassost...    4.61
4296   14236      1400  Beverages, coffee substitute, cereal grain bev...    4.60
8054   28252      1800          SUNSHINE, CHEEZ-IT, Scrabble Jr. Crackers    4.60
4247   14168      1400       Beverages, Carob-flavor beverage mix, powder    4.60
7973   28170      1800  KELLOGG'S, POP-TARTS, Frosted Orange Cream Toa...    4.60
3608   12005      1200                  Seeds, breadnut tree seeds, dried    4.60
7963   28159      1800  KEEBLER, WHEATABLES, Nut Crisp Crackers, Toast...    4.60
7731   25037      2500                         Snacks, pita chips, salted    4.59
2060    8649       800  Cereals ready-to-eat, KASHI GOLEAN CRISP Cinna...    4.59
4987   16368      1600  Hyacinth beans, mature seeds, cooked, boiled, ...    4.58
4805   16068      1600  Hyacinth beans, mature seeds, cooked, boiled, ...    4.58
4824   16087      1600                            Peanuts, all types, raw    4.58
8133   28331      1800                    Crackers, flavored, fish-shaped    4.58
6086   19047      2500              Snacks, pretzels, hard, plain, salted    4.58
6503   20035      2000       Quinoa, uncooked (Chenopodium quinoa Willd.)    4.57
3230   11548      1100                                      Tomato powder    4.56
5864   18383      1800         Bread, protein, (includes gluten), toasted    4.56
6537   20074      2000           Wheat, hard white (Triticum aestivum L.)    4.56
6149   19117      1900                            Candies, halavah, plain    4.53
7780   27035       600  Soup, ramen noodle, dry, any flavor, reduced f...    4.52
7017   22122      1600  MORNINGSTAR FARMS Breakfast Sausage Patties, f...    4.50
5563   18002      1800  Bagels, plain, enriched, with calcium propiona...    4.50
7872   28066      1800           KEEBLER, CLUB, Minis Multigrain Crackers    4.50
5728   18222      1800                       Crackers, melba toast, wheat    4.50
5765   18262      1800  English muffins, raisin-cinnamon (includes app...    4.50
5965   18621      1800                     NABISCO, NABISCO RITZ Crackers    4.47
8165   28364      1800  PEPPERIDGE FARM, Goldfish, Baked Snack Cracker...    4.45
6589   20140      2000  Spelt, uncooked (Triticum aestivum L. subsp. s...    4.44
8163   28362      1800  PEPPERIDGE FARM, Goldfish, Baked Snack Cracker...    4.43
5775   18272      1800                Ice cream cones, sugar, rolled-type    4.43
1925    8314       800   Cereals, QUAKER, hominy grits, white, quick, dry    4.42
3739   12698      1200  Seeds, sesame butter, tahini, type of kernels ...    4.42
1926    8316       800  Cereals, QUAKER, hominy grits, white, regular,...    4.42
1861    8146       800  Cereals ready-to-eat, QUAKER, QUAKER Puffed Wheat    4.41
6545   20083      2000                Wheat flour, white, bread, enriched    4.41
4272   14203      1400  Beverages, coffee, instant, regular, half the ...    4.41
4279   14214      1400        Beverages, coffee, instant, regular, powder    4.41
6074   19033      2500  Snacks, GENERAL MILLS, CHEX MIX, traditional f...    4.40
8053   28251      1800  SUNSHINE, CHEEZ-IT, 100 Calorie Right Bites, R...    4.40
8083   28281      1800           SUNSHINE, CHEEZ-IT, Reduced Fat Crackers    4.40
5894   18428      1800                          Crackers, wheat, low salt    4.40
6157   19125      1900                 Chocolate-flavored hazelnut spread    4.38
3667   12122      1200  Nuts, hazelnuts or filberts, dry roasted, with...    4.38
5872   18400      1800                     Crackers, matzo, egg and onion    4.37
6516   20050      2000           Rice, white, medium-grain, raw, enriched    4.36
6529   20066      2000                                 Semolina, enriched    4.36
4813   16076      1600          Lupins, mature seeds, raw (Lupinus albus)    4.36
6491   20022      2000               Cornmeal, degermed, enriched, yellow    4.36
6600   20322      2000                Cornmeal, degermed, enriched, white    4.36
5987   18938      1800  Toaster Pastries, fruit, frosted (include appl...    4.35
4871   16136      1600  Winged beans, mature seeds, cooked, boiled, wi...    4.33
5018   16436      1600  Winged beans, mature seeds, cooked, boiled, wi...    4.33
6407   19814      2500  Snacks, pretzels, hard, plain, made with enric...    4.32
5954   18567      1800       KRAFT, STOVE TOP Stuffing Mix Chicken Flavor    4.32
4794   16056      1600  Chickpeas (garbanzo beans, bengal gram), matur...    4.31
6510   20044      2000    Rice, white, long-grain, regular, raw, enriched    4.31
5991   18943      1800     Pie Crust, Cookie-type, Chocolate, Ready Crust    4.30
5073   16587      1600  MORNINGSTAR FARMS Breakfast Sausage Patties Ma...    4.30
5036   16519      1600        WORTHINGTON Super Links, canned, unprepared    4.30
7814   28006      1800            KELLOGG'S, CINNABON, Pancakes, Original    4.30
7948   28144      1800  KEEBLER, TOWN HOUSE, FLIPSIDES, Pretzel Cracke...    4.30
7813   28005      1800             KELLOGG'S, CINNABON, Pancakes, Caramel    4.30
7812   28004      1800          KELLOGG'S, EGGO, Pancakes, Chocolate Chip    4.30
8044   28242      1800  SUNSHINE, GRIPZ, Cheez-It Mixx and Cheesy Pizz...    4.30
8057   28255      1800              KEEBLER, ZESTA, Export Sodas Crackers    4.30
3720   12538      1200  Seeds, sunflower seed kernels, oil roasted, wi...    4.28
5622   18080      1800                                Bread sticks, plain    4.28
3627   12038      1200  Seeds, sunflower seed kernels, oil roasted, wi...    4.28
6560   20105      2000                 Macaroni, vegetable, enriched, dry    4.28
6184   19154      1900                             Candies, sesame crunch    4.27
8162   28361      1800  PEPPERIDGE FARM, Goldfish, Baked Snack Cracker...    4.26
8045   28243      1800           SUNSHINE, CHEEZ-IT, Hot & Spicy Crackers    4.26
1846    8120       800  Cereals, oats, regular and quick, not fortifie...    4.25
6518   20052      2000       Rice, white, short-grain, enriched, uncooked    4.23
1603    6983       600            Soup, ramen noodle, chicken flavor, dry    4.21
6564   20111      2000               Noodles, egg, spinach, enriched, dry    4.20
7870   28064      1800               KEEBLER, CLUB, Dash of Salt Crackers    4.20
5785   18283      1800                                  Muffins, oat bran    4.20
5055   16548      1600  MORNINGSTAR FARMS Grillers Original, frozen, u...    4.20
7941   28137      1800                  KEEBLER, TOASTEDS, Wheat Crackers    4.20
2054    8640       800  Cereals, QUAKER, Instant Oatmeal Organic, Regular    4.20
8043   28241      1800                 SUNSHINE, GRIPZ, Cheez-It Crackers    4.20
8121   28319      1800                          Bagels, whole grain white    4.19
5596   18043      1800                   Bread, protein (includes gluten)    4.15
6110   19077      1900              Baking chocolate, unsweetened, liquid    4.15
6628   20622      2000  Spaghetti, protein-fortified, dry, enriched (n...    4.15
5832   18345      1800                            Rolls, dinner, oat bran    4.14
5963   18617      1800                  NABISCO, NABISCO GRAHAMS Crackers    4.13
3722   12540      1200      Seeds, sunflower seed butter, with salt added    4.12
3629   12040      1200         Seeds, sunflower seed butter, without salt    4.12
1517    6583       600                Soup, ramen noodle, any flavor, dry    4.11
5980   18930      1800                  USDA Commodity, Bakery, Flour Mix    4.11
5981   18931      1800          USDA Commodity, Bakery, Flour Mix Low-fat    4.11
8061   28259      1800        KELLOGG'S, EGGO Minis, Pancakes, Buttermilk    4.10
5093   16615      1600  MORNINGSTAR FARMS Chipotle Black Bean Crumbles...    4.10
8037   28235      1800            SUNSHINE, CHEEZ-IT, Baby Swiss Crackers    4.10
8036   28234      1800                SUNSHINE, CHEEZ-IT, Asiago Crackers    4.10
8046   28244      1800   SUNSHINE, CHEEZ-IT, Italian Four Cheese Crackers    4.10
8187   28386      1800                PEPPERIDGE FARM, Pumpernickel Bread    4.10
8048   28246      1800            SUNSHINE, CHEEZ-IT, Mozzarella Crackers    4.10
8050   28248      1800           SUNSHINE, CHEEZ-IT, Pepper Jack Crackers    4.10
5942   18532      1800          ARCHWAY Home Style Cookies, Iced Molasses    4.10
1950    8390       800           Cereals ready-to-eat, KASHI GOOD FRIENDS    4.10
5566   18006      1800                   Bagels, cinnamon-raisin, toasted    4.09
5611   18065      1800                              Bread, wheat, toasted    4.09
2013    8574       800  Cereals, CREAM OF WHEAT, 2 1/2 minute cook tim...    4.09
5747   18242      1800                                    Croutons, plain    4.08
1934    8352       800  Cereals ready-to-eat, QUAKER, MOTHER'S Toasted...    4.07
5708   18200      1800  Cookies, oatmeal, commercially prepared, speci...    4.07
5674   18160      1800  Cookies, chocolate chip, commercially prepared...    4.07
2320    9246       900                 Peaches, dried, sulfured, uncooked    4.06
5961   18615      1800  MARTHA WHITE FOODS, Martha White's Buttermilk ...    4.06
6481   20011      2000                       Buckwheat flour, whole-groat    4.06
8733   43406      1100                               Yeast extract spread    4.04
2011    8571       800  Cereals ready-to-eat, NATURE'S PATH, Organic F...    4.04
5735   18229      1800             Crackers, standard snack-type, regular    4.03
1957    8435       800             Cereals ready-to-eat, UNCLE SAM CEREAL    4.03
3735   12652      1200  Nuts, pistachio nuts, dry roasted, with salt a...    4.03
3687   12152      1200  Nuts, pistachio nuts, dry roasted, without sal...    4.03
3641   12084      1200          Nuts, butternuts, dried (Juglans cinerea)    4.02
6562   20109      2000                        Noodles, egg, dry, enriched    4.01
8098   28296      1800  Cake, snack cakes, creme-filled, chocolate wit...    4.01
5671   18157      1800                          Cookies, chocolate wafers    4.01
6376   19435      2500          Snacks, granola bar, fruit-filled, nonfat    4.00
2973   11222      1100           Drumstick leaves, raw (Moringa oleifera)    4.00
7944   28140      1800  KEEBLER, TOWN HOUSE, FLIPSIDES, Pretzel Cracke...    4.00
8042   28240      1800  SUNSHINE, CHEEZ-IT, Duoz Smoked Cheddar Monter...    4.00
8049   28247      1800       SUNSHINE, CHEEZ-IT, Parmesan Garlic Crackers    4.00
5754   18249      1800  Doughnuts, cake-type, plain, chocolate-coated ...    4.00
5761   18258      1800  English muffins, plain, enriched, with ca prop...    4.00
8085   28283      1800                 KEEBLER, ZESTA, Saltines, Original    4.00
3263   11597      1100  Winged bean leaves, raw (Psophocarpus tetragon...    4.00
8041   28239      1800  SUNSHINE, CHEEZ-IT, Duoz Sharp Cheddar Parmesa...    4.00
6581   20132      2000                     Oat flour, partially debranned    4.00
1872    8169       800  Cereals, CREAM OF WHEAT, regular (10 minute), ...    3.99
5564   18003      1800                                        Bagels, egg    3.98
1837    8101       800  Cereals, CREAM OF RICE, cooked with water, wit...    3.96
1871    8168       800  Cereals, CREAM OF RICE, cooked with water, wit...    3.96
1797    8037       800            Cereals ready-to-eat, granola, homemade    3.95
5838   18351      1800            Rolls, hamburger or hotdog, mixed-grain    3.95
4641   15164      1500    Mollusks, mussel, blue, raw (Mytilus edulis L.)    3.95
4847   16111      1600                Soybeans, mature seeds, dry roasted    3.95
4319   14262      1400  Beverages, citrus fruit juice drink, frozen co...    3.94
1281    6124       600                           Gravy, pork, dry, powder    3.94
6641   20647      2000                                       Millet flour    3.94
3314   11683      1100                                 Carrot, dehydrated    3.93
1602    6982       600               Soup, ramen noodle, beef flavor, dry    3.93
5988   18939      1800  Toaster pastries, fruit, toasted (include appl...    3.92
5865   18384      1800                          Bread, rice bran, toasted    3.92
3686   12151      1200          Nuts, pistachio nuts, raw (Pistacia vera)    3.92
8658   43109      2500                                     Pretzels, soft    3.92
7719   25024      2500                           Pretzels, soft, unsalted    3.92
6078   19038      2500      Snacks, popcorn, caramel-coated, with peanuts    3.91
4828   16091      1600           Peanuts, spanish, raw (Arachis hypogaea)    3.91
5585   18029      1800       Bread, french or vienna (includes sourdough)    3.91
8039   28237      1800          SUNSHINE, CHEEZ-IT, Cheddar Jack Crackers    3.90
8047   28245      1800  SUNSHINE, CHEEZ-IT, Crackers (made with Whole ...    3.90
8038   28236      1800                   SUNSHINE, CHEEZ-IT, BIG Crackers    3.90
5931   18499      1800        KELLOGG, KELLOGG'S EGGO, Buttermilk Pancake    3.90
8040   28238      1800                 SUNSHINE, CHEEZ-IT, Colby Crackers    3.90
7945   28141      1800  KEEBLER, TOWN HOUSE, FLIPSIDES, Pretzel Cracke...    3.90
7994   28191      1800         KELLOGG'S, SPECIAL K, Savory Herb Crackers    3.90
275     2026       200                 Spices, onion powder (Allium cepa)    3.90
5007   16410      1600     Soybeans, mature seeds, roasted, no salt added    3.90
4846   16110      1600            Soybeans, mature seeds, roasted, salted    3.90
8082   28280      1800              SUNSHINE, CHEEZ-IT, Original Crackers    3.90
313     2076       200                Seasoning mix, dry, chili, original    3.90
7808   28000      1800  KELLOGG'S, EGGO, Mini Muffin Tops, Chocolate Chip    3.90
8090   28288      1800                      Bread, roll, Mexican, bollilo    3.90
8086   28284      1800          KEEBLER, ZESTA, Saltines with Whole Wheat    3.89
5866   18385      1800                         Bread, wheat germ, toasted    3.88
8727   43393       800  Cereals ready-to-eat, POST, Shredded Wheat n' ...    3.87
5586   18030      1800  Bread, french or vienna, toasted (includes sou...    3.87
8779   44258      1900  Puddings, chocolate flavor, low calorie, regul...    3.87
3725   12567      1200  Nuts, almonds, oil roasted, with salt added, s...    3.86
8231   31035      1100     Vegetable juice, BOLTHOUSE FARMS, DAILY GREENS    3.85
8055   28253      1800                      SUNSHINE, CHEEZ-IT, Snack Mix    3.84
8735   43410      1600                  Chicken, meatless, breaded, fried    3.83
5960   18614      1800  MARTHA WHITE FOODS, Martha White's Chewy Fudge...    3.81
5955   18603      1800  GEORGE WESTON BAKERIES, Brownberry Sage and On...    3.81
5623   18081      1800                     Bread stuffing, bread, dry mix    3.81
4634   15156      1500    Mollusks, abalone, mixed species, cooked, fried    3.80
5078   16593      1600  MORNINGSTAR FARMS Hot and Spicy Veggie Sausage...    3.80
7982   28179      1800  KELLOGG'S, POP-TARTS, Ice Cream Shoppe Frosted...    3.80
6023   18975      1800              KASHI, TLC, Original 7-Grain Crackers    3.80
5038   16522      1600   WORTHINGTON Vegetable Steaks, canned, unprepared    3.80
7951   28147      1800    KEEBLER, TOWN HOUSE, TOPPERS, Original Crackers    3.80
3719   12537      1200  Seeds, sunflower seed kernels, dry roasted, wi...    3.80
5042   16526      1600  WORTHINGTON Meatless Chicken Roll, frozen, unp...    3.80
6329   19355      1900                                    Syrups, sorghum    3.80
7753   25066      2500             Snacks, peas, roasted, wasabi-flavored    3.80
1999    8544       800  Cereals ready-to-eat, POST GREAT GRAINS Cranbe...    3.80
7909   28105      1800        KEEBLER, GRIPZ, Cinnamon Grahams, bite-size    3.80
7984   28181      1800  KELLOGG'S, POP-TARTS, Ice Cream Shoppe Frosted...    3.80
7985   28182      1800  KELLOGG'S, POP-TARTS, Ice Cream Shoppe Frosted...    3.80
8001   28198      1800      MOTHER'S, Double Fudge Creme Sandwich Cookies    3.80
3626   12037      1200  Seeds, sunflower seed kernels, dry roasted, wi...    3.80
8076   28274      1800                               MURRAY, Honey Graham    3.80
4283   14218      1400  Beverages, coffee, instant, decaffeinated, powder    3.80
8052   28250      1800  SUNSHINE, CHEEZ-IT, 100 Calorie RIGHT BITES, E...    3.80
5565   18005      1800                            Bagels, cinnamon-raisin    3.80
5063   16558      1600  MORNINGSTAR FARMS Italian Herb Chik'n Pattie, ...    3.80
3718   12536      1200  Seeds, sunflower seed kernels from shell, dry ...    3.80
5685   18173      1800  Cookies, graham crackers, plain or honey (incl...    3.78
6587   20138      2000  Wheat, KAMUT khorasan, uncooked (Triticum turg...    3.77
5602   18050      1800          Bread, reduced-calorie, oat bran, toasted    3.75
2925   11158      1100  Chrysanthemum, garland, cooked, boiled, draine...    3.74
3384   11767      1100  Chrysanthemum, garland, cooked, boiled, draine...    3.74
1839    8103       800  Cereals, CREAM OF WHEAT, regular (10 minute), ...    3.74
5715   18209      1800  Cookies, sugar wafers with creme filling, regular    3.73
3636   12063      1200     Nuts, almonds, dry roasted, without salt added    3.73
3674   12135      1200  Nuts, mixed nuts, dry roasted, with peanuts, w...    3.73
3723   12563      1200        Nuts, almonds, dry roasted, with salt added    3.73
6054   19007      2500         Snacks, corn-based, extruded, onion-flavor    3.72
5830   18342      1800  Rolls, dinner, plain, commercially prepared (i...    3.72
4843   16107      1600                                  Sausage, meatless    3.72
5858   18373      1800                  Leavening agents, cream of tartar    3.72
3634   12061      1200                      Nuts, almonds (Prunus dulcis)    3.71
6643   20649      2000               Wheat flour, whole-grain, soft wheat    3.71
3730   12635      1200  Nuts, mixed nuts, dry roasted, with peanuts, w...    3.70
5726   18220      1800                       Crackers, melba toast, plain    3.70
6418   19857      2500  Snacks, tortilla chips, nacho-flavor, made wit...    3.70
4788   16050      1600  Beans, white, mature seeds, cooked, boiled, wi...    3.70
8056   28254      1800       SUNSHINE, CHEEZ-IT, Snack Mix, White Cheddar    3.70
6041   18993      1800               BEAR NAKED, Double Chocolate Cookies    3.70
7906   28102      1800  KEEBLER, GRIPZ, CHIPS DELUXE, Chocolate Chip C...    3.70
7908   28104      1800  KEEBLER, GRIPZ, Chocolate Chip Grahams, bite-size    3.70
7943   28139      1800  KEEBLER, TOWN HOUSE, FLIPSIDES, Pretzel Cracke...    3.70
1788    8023       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S CRACK...    3.70
5890   18424      1800         Crackers, melba toast, plain, without salt    3.70
1879    8189       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S Low F...    3.70
4979   16350      1600  Beans, white, mature seeds, cooked, boiled, wi...    3.70
2006    8561       800  Cereals, KASHI GO LEAN Hot Cereal, Hearty Hone...    3.70
3672   12131      1200  Nuts, macadamia nuts, raw (Macadamia integrifo...    3.69
3737   12665      1200         Nuts, almonds, oil roasted, lightly salted    3.68
3724   12565      1200        Nuts, almonds, oil roasted, with salt added    3.68
5727   18221      1800  Crackers, melba toast, rye (includes pumpernic...    3.68
3637   12065      1200     Nuts, almonds, oil roasted, without salt added    3.68
3605   12001      1200  Seeds, breadfruit seeds, raw (Artocarpus altilis)    3.67
8160   28359      1800        GLUTINO, Gluten Free Wafers, Milk Chocolate    3.67
8135   28333      1800              Cookies, gluten-free, chocolate wafer    3.67
8110   28308      1800    Crackers, standard snack-type, with whole wheat    3.65
3272   11614      1100      Borage, cooked, boiled, drained, without salt    3.64
3354   11737      1100         Borage, cooked, boiled, drained, with salt    3.64
5850   18364      1800  Tortillas, ready-to-bake or -fry, flour, refri...    3.63
6574   20124      2000                            Pasta, whole-wheat, dry    3.62
5613   18069      1800  Bread, white, commercially prepared (includes ...    3.61
5607   18059      1800                                   Bread, rice bran    3.61
7978   28175      1800  KELLOGG'S, POP-TARTS, Frosted Wild Fruit Fusio...    3.60
8190   28389      1800                       PEPPERIDGE FARM, White Bread    3.60
8786   90480      1900                                        Syrup, Cane    3.60
8025   28223      1800      MURRAY, SUGAR FREE, Fudge Dipped Mint Cookies    3.60
7996   28193      1800  KELLOGG'S, POP-TARTS, Yum-azing Vanilla Milksh...    3.60
7995   28192      1800  KELLOGG'S, POP-TARTS, Gingerbread Toaster Past...    3.60
7983   28180      1800  KELLOGG'S, POP-TARTS, Ice Cream Shoppe Frosted...    3.60
7981   28178      1800  KELLOGG'S, POP-TARTS, Ice Cream Shoppe Frosted...    3.60
7980   28177      1800  KELLOGG'S, POP-TARTS, Frosted Wild Strawberry ...    3.60
7977   28174      1800  KELLOGG'S, POP-TARTS, Frosted Waffle Cone Toas...    3.60
7725   25031      2500  Formulated bar, ZONE PERFECT CLASSIC CRUNCH BA...    3.60
7976   28173      1800  KELLOGG'S, POP-TARTS, Frosted Sugar Cookie Toa...    3.60
7974   28171      1800  KELLOGG'S, POP-TARTS, Frosted Pumpkin Pie Toas...    3.60
7970   28167      1800  KELLOGG'S, POP-TARTS, Frosted Cinnamon Roll To...    3.60
7969   28165      1800  KELLOGG'S, POP-TARTS, Chocolate Chip Cookie Do...    3.60
7950   28146      1800  KEEBLER, TOWN HOUSE, TOPPERS, Multigrain Crackers    3.60
7865   28058      1800  KEEBLER, CHIPS DELUXE, Original Chocolate Chip...    3.60
7863   28056      1800  KEEBLER, CHIPS DELUXE, Mini Chocolate Chip Coo...    3.60
7859   28052      1800    KEEBLER, CHIPS DELUXE, Chocolate Lovers Cookies    3.60
7968   28164      1800  KELLOGG'S, POP-TARTS, Frosted Blueberry Muffin...    3.60
5930   18497      1800  Toaster Pastries, KELLOGG, KELLOGG'S LOW FAT P...    3.60
5050   16535      1600          WORTHINGTON Stripples, frozen, unprepared    3.60
5929   18494      1800  Toaster Pastries, KELLOGG, KELLOGG'S LOW FAT P...    3.60
5053   16542      1600  MORNINGSTAR FARMS Breakfast Bacon Strips, froz...    3.60
5920   18478      1800  Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS...    3.60
6542   20080      2000                           Wheat flour, whole-grain    3.60
6534   20071      2000      Wheat, hard red spring (Triticum aestivum L.)    3.60
5774   18271      1800                Ice cream cones, cake or wafer-type    3.60
5893   18427      1800   Crackers, standard snack-type, regular, low salt    3.60
6475   20004      2000                Barley, hulled (Hordeum vulgare L.)    3.60
5652   18127      1800  Cake, snack cakes, creme-filled, chocolate wit...    3.60
5786   18284      1800                       Muffins, wheat bran, dry mix    3.60
5788   18289      1800  Pancakes, plain, dry mix, complete (includes b...    3.60
2026    8589       800  Cereals ready-to-eat, KASHI GOLEAN CRISP Toast...    3.59
5889   18423      1800  Cookies, ladyfingers, without lemon juice and ...    3.58
5687   18175      1800    Cookies, ladyfingers, with lemon juice and rind    3.58
5729   18223      1800                                     Crackers, milk    3.58
1857    8142       800                             Cereals, WHEATENA, dry    3.57
8169   28368      1800            SCHAR, Gluten-Free, Classic White Rolls    3.57
5562   18001      1800  Bagels, plain, enriched, with calcium propiona...    3.57
