Ferum/Iron values are in mg per 100g
Daily needed value is 18mg

      NDB_No  FdGrp_Cd                                          Long_Desc      FE
1997    8542       800  Cereals ready-to-eat, KELLOGG'S, FROSTED MINI-...   29.50
1965    8459       800  Cereals ready-to-eat, KELLOGG'S, FROSTED MINI-...   29.50
2042    8617       800  Cereals ready-to-eat, KELLOGG's FROSTED MINI-W...   29.50
2084    8677       800  Cereals ready-to-eat, KELLOGG'S FROSTED MINI-W...   29.50
1981    8500       800  Cereals ready-to-eat, MALT-O-MEAL, Frosted Min...   29.45
2080    8673       800  Cereals, ready-to-eat, MALT-O-MEAL, Blueberry ...   29.45
1804    8049       800  Cereals ready-to-eat, QUAKER, QUAKER OAT LIFE,...   29.33
1889    8214       800      Cereals ready-to-eat, QUAKER, Oatmeal Squares   29.30
285     2036       200   Spices, rosemary, dried (Rosmarinus officinalis)   29.25
1802    8047       800         Cereals ready-to-eat, QUAKER, KING VITAMAN   29.00
2085    8678       800  Cereals ready-to-eat, GENERAL MILLS, Apple Cin...   29.00
2048    8632       800  Cereals ready-to-eat, QUAKER Oatmeal Squares, ...   29.00
2107    8701       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECI...   29.00
2049    8633       800  Cereals ready-to-eat, POST, HONEY BUNCHES OF O...   28.90
1787    8020       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S Corn ...   28.90
2047    8631       800  Cereals ready-to-eat, KELLOGG'S FROSTED MINI-W...   28.89
2089    8682       800  Cereals ready-to-eat, GENERAL MILLS, Multi Gra...   28.89
2102    8695       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S FROST...   28.89
2033    8596       800  Cereals ready-to-eat, GENERAL MILLS, FIBER ONE...   28.79
2045    8628       800  Cereals ready-to-eat, QUAKER, Maple Brown Suga...   28.69
1842    8106       800              Cereals, CREAM OF WHEAT, instant, dry   28.60
1838    8102       800  Cereals, CREAM OF WHEAT, regular, 10 minute co...   28.60
3305   11667      1100                          Seaweed, spirulina, dried   28.50
1836    8100       800                        Cereals, CREAM OF RICE, dry   28.44
287     2038       200          Spices, sage, ground (Salvia officinalis)   28.12
1932    8349       800  Cereals ready-to-eat, MALT-O-MEAL, TOOTIE FRUI...   28.12
2112    8706       800   Cereals ready-to-eat, KELLOGG SCOOBY-DOO! cereal   28.10
1823    8081       800  Cereals ready-to-eat, POST, Honey Nut Shredded...   28.00
1793    8031       800  Cereals ready-to-eat, KELLOGG'S FROSTED MINI-W...   28.00
1791    8029       800             Cereals ready-to-eat, POST Bran Flakes   28.00
8629   42297       800  Cereals ready-to-eat, POST GREAT GRAINS Banana...   28.00
1798    8038       800      Cereals ready-to-eat, POST, GRAPE-NUTS Cereal   28.00
1815    8067       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECI...   28.00
2073    8665       800  Cereals ready-to-eat, POST HONEY BUNCHES OF OA...   28.00
1907    8259       800   Cereals ready-to-eat, KELLOGG, KELLOGG'S CRISPIX   28.00
1986    8507       800      Cereals ready-to-eat, RALSTON Crispy Hexagons   27.93
2040    8613       800  Cereals ready-to-eat, KELLOGG'S SPECIAL K Mult...   27.90
1799    8039       800      Cereals ready-to-eat, POST, GRAPE-NUTS Flakes   27.90
1964    8453       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECI...   27.89
1828    8087       800  Cereals ready-to-eat, GENERAL MILLS, Multi-Gra...   27.89
1978    8493       800     Cereals ready-to-eat, MALT-O-MEAL, Apple ZINGS   27.27
