Long_Desc                                                                  VITA_RAE
Fruit juice smoothie, ODWALLA, ORIGINAL SUPERFOOD                           70.0
Bread, egg, toasted                                                         69.0
Frostings, glaze, chocolate, prepared-from-recipe, with butter, NFSMI       69.0
Squash, winter, hubbard, raw (Cucurbita maxima)                             68.0
Squash, winter, all varieties, raw (Cucurbita spp.)                         68.0
Candies, fudge, chocolate marshmallow, with nuts, prepared-by-recipe        68.0
Cowpeas, young pods with seeds, raw (Vigna unguiculata subsp. unguicul      68.0
Mango, dried, sweetened                                                     67.0
Plantains, yellow, fried, Latino restaurant                                 66.0
Peas, edible-podded, frozen, cooked, boiled, drained, without salt          66.0
Apricots, canned, light syrup pack, with skin, solids and liquids           66.0
Apricot nectar, canned, with added ascorbic acid                            66.0
Peas, edible-podded, frozen, cooked, boiled, drained, with salt             66.0
Tangerines, (mandarin oranges), canned, juice pack, drained                 66.0
Apricot nectar, canned, without added ascorbic acid                         66.0
Waffles, plain, prepared from recipe                                        65.0
Candies, milk chocolate, with rice cereal                                   65.0
Pancakes, whole-wheat, dry mix, incomplete, prepared                        64.0
Spices, cumin seed (Cuminum cyminum)                                        64.0
Apricots, canned, extra light syrup pack, with skin, solids and liquid      64.0
Potatoes, au gratin, home-prepared from recipe using margarine              64.0
Cherries, sour, red, raw (Prunus cerasus)                                   64.0
Passion-fruit, (granadilla), purple, raw (Passiflora edulis)                64.0
Apricots, dried, sulfured, stewed, without added sugar                      64.0
KELLOGG'S, Corn Flakes Crumbs                                               64.0
Tomatoes, sun-dried, packed in oil, drained                                 64.0
Potatoes, au gratin, home-prepared from recipe using butter                 64.0
Egg custards, dry mix                                                       63.0
Bread, egg                                                                  63.0
Soymilk (All flavors), lowfat, with added calcium, vitamins A and D         62.0
Apricots, canned, heavy syrup pack, without skin, solids and liquids        62.0
Cake, pineapple upside-down, prepared from recipe                           62.0
Apricots, canned, heavy syrup pack, with skin, solids and liquids           62.0
Sweet rolls, cinnamon, commercially prepared with raisins                   62.0
Soymilk, chocolate, nonfat, with added calcium, vitamins A and D            61.0
Egg custards, dry mix, prepared with 2% milk                                61.0
Soymilk (all flavors), nonfat, with added calcium, vitamins A and D         61.0
Soymilk, chocolate and other flavors, light, with added calcium, vitam      61.0
Candies, HERSHEY'S SKOR Toffee Bar                                          61.0
Pickle relish, sweet                                                        61.0
Soymilk, original and vanilla, light, with added calcium, vitamins A a      61.0
Pie, banana cream, prepared from recipe                                     61.0
Danish pastry, raspberry, unenriched                                        60.0
Plantains, green, fried                                                     60.0
Candies, milk chocolate                                                     59.0
Frozen yogurts, vanilla, soft-serve                                         59.0
Peppers, hot chili, green, raw (Capsicum frutescens)                        59.0
Grapefruit, raw, pink and red, all areas (Citrus paradisi)                  58.0
Malabar spinach, cooked                                                     58.0
Corn pudding, home prepared                                                 57.0
Broccoli, frozen, spears, unprepared                                        57.0
Pie, egg custard, commercially prepared                                     57.0
Candies, MARS SNACKFOOD US, M&M's Milk Chocolate Candies                    56.0
Squash, summer, zucchini, includes skin, cooked, boiled, drained, with      56.0
Cabbage, red, raw (Brassica oleracea (Capitata Group))                      56.0
Muffins, wheat bran, toaster-type with raisins, toasted                     56.0
Squash, summer, zucchini, includes skin, cooked, boiled, drained, with      56.0
Squash, summer, crookneck and straightneck, cooked, boiled, drained, w      56.0
Pickles, cucumber, sweet, low sodium (includes bread and butter pickle      56.0
Squash, summer, crookneck and straightneck, cooked, boiled, drained, w      56.0
Plantains, raw (Musa X paradisiaca)                                         56.0
Broccoli, frozen, spears, cooked, boiled, drained, with salt                56.0
Nuts, ginkgo nuts, dried                                                    55.0
Soymilk, original and vanilla, with added calcium, vitamins A and D         55.0
Candies, chocolate covered, low sugar or low calorie                        55.0
French toast, frozen, ready-to-heat                                         54.0
Potatoes, au gratin, dry mix, unprepared                                    54.0
Mangos, raw (Mangifera indica)                                              54.0
Pancakes, plain, prepared from recipe                                       54.0
Peppers, jalapeno, raw (Capsicum anuum)                                     54.0
Peas, edible-podded, raw (Pisum sativum)                                    54.0
Danish pastry, lemon, unenriched                                            53.0
Peas and onions, frozen, cooked, boiled, drained, without salt              53.0
Peas and onions, frozen, cooked, boiled, drained, with salt                 53.0
Potatoes, mashed, ready-to-eat                                              53.0
Peas, edible-podded, cooked, boiled, drained, with salt                     52.0
Pie, cherry, commercially prepared                                          52.0
KASHI, TLC, Country Cheddar Crackers                                        52.0
Candies, milk chocolate, with almonds                                       52.0
Flan, caramel custard, dry mix, prepared with 2% milk                       52.0
Potatoes, au gratin, dry mix, prepared with water, whole milk and butt      52.0
Muffins, corn, commercially prepared                                        52.0
Egg custards, dry mix, prepared with whole milk                             52.0
Peas, edible-podded, boiled, drained, without salt                          52.0
Broccoli, frozen, chopped, unprepared                                       52.0
Rennin, vanilla, dry mix, prepared with 2% milk                             51.0
Candies, milk chocolate coated coffee beans                                 51.0
Broccoli, frozen, chopped, cooked, boiled, drained, with salt               51.0
Pie, pecan, commercially prepared                                           51.0
Potatoes, mashed, dehydrated, prepared from granules with milk, water       51.0
Broccoli, frozen, chopped, cooked, boiled, drained, without salt            51.0
Broccoli, frozen, spears, cooked, boiled, drained, without salt             51.0
Pie, lemon meringue, commercially prepared                                  51.0
Plums, canned, purple, juice pack, solids and liquids                       50.0
Rennin, chocolate, dry mix, prepared with 2% milk                           50.0
Asparagus, cooked, boiled, drained, with salt                               50.0
Puddings, banana, dry mix, regular, prepared with 2% milk                   50.0
Onions, spring or scallions (includes tops and bulb), raw (Allium cepa      50.0
Pancakes, blueberry, prepared from recipe                                   50.0
Asparagus, cooked, boiled, drained                                          50.0
Cabbage, savoy, raw (Brassica oleracea (Capitata Group))                    50.0
Desserts, egg custard, baked, prepared-from-recipe                          49.0
Tomato products, canned, sauce, spanish style                               49.0
Frozen yogurts, flavors other than chocolate                                49.0
Seaweed, Canadian Cultivated EMI-TSUNOMATA, rehydrated                      49.0
Tomato products, canned, sauce, with herbs and cheese                       49.0
Puddings, coconut cream, dry mix, regular, prepared with 2% milk            49.0
Cabbage, mustard, salted                                                    49.0
Peppers, hot chili, red, raw                                                48.0
Cabbage, chinese (pe-tsai), cooked, boiled, drained, without salt           48.0
Fennel, bulb, raw (Foeniculum vulgare)                                      48.0
Bread, irish soda, prepared from recipe                                     48.0
Frozen novelties, ice cream type, chocolate or caramel covered, with n      48.0
Tomato products, canned, sauce, with mushrooms                              48.0
Puddings, vanilla, dry mix, regular, prepared with 2% milk                  48.0
Cabbage, chinese (pe-tsai), cooked, boiled, drained, with salt              48.0
Passion-fruit juice, yellow, raw (Passiflora edulis f. flavicarpa)          47.0
Potatoes, mashed, dehydrated, prepared from flakes without milk, whole      47.0
Papayas, raw (Carica papaya)                                                47.0
Asparagus, frozen, unprepared                                               47.0
Puddings, chocolate, dry mix, regular, prepared with 2% milk                47.0
Puddings, tapioca, dry mix, prepared with 2% milk                           47.0
Peppers, serrano, raw (Capsicum anuum)                                      47.0
Potatoes, mashed, dehydrated, prepared from flakes without milk, whole      46.0
Pie, chocolate creme, commercially prepared                                 46.0
Brussels sprouts, frozen, cooked, boiled, drained, without salt             46.0
Grapefruit, raw, pink and red and white, all areas (Citrus paradisi)        46.0
Desserts, flan, caramel custard, prepared-from-recipe                       46.0
Candies, fudge, vanilla, prepared-from-recipe                               46.0
Puddings, banana, dry mix, instant, prepared with 2% milk                   46.0
Candies, M&M MARS 3 MUSKETEERS Truffle Crisp                                46.0
Puddings, rice, dry mix, prepared with 2% milk                              46.0
Puddings, lemon, dry mix, instant, prepared with 2% milk                    46.0
Brussels sprouts, frozen, cooked, boiled, drained, with salt                46.0
Candies, MARS SNACKFOOD US, SNICKERS Bar                                    46.0
Puddings, chocolate, dry mix, instant, prepared with 2% milk                46.0
Plums, canned, purple, water pack, solids and liquids                       46.0
Puddings, coconut cream, dry mix, instant, prepared with 2% milk            45.0
Plantains, cooked                                                           45.0
Cabbage, savoy, cooked, boiled, drained, without salt                       44.0
Cherries, sour, red, frozen, unsweetened                                    44.0
Cake, sponge, commercially prepared                                         44.0
Pie, blueberry, commercially prepared                                       44.0
Tomatoes, sun-dried                                                         44.0
Potatoes, mashed, home-prepared, whole milk and margarine added             44.0
Potatoes, mashed, prepared from granules, without milk, whole milk and      44.0
Candies, fudge, chocolate, prepared-from-recipe                             44.0
Frozen yogurts, chocolate, soft-serve                                       44.0
Cabbage, savoy, cooked, boiled, drained, with salt                          44.0
Yardlong bean, raw (Vigna unguiculata subsp. sesquipedalis)                 43.0
Tangerines, (mandarin oranges), canned, juice pack                          43.0
Cookies, marshmallow, with rice cereal and chocolate chips                  43.0
Hyacinth-beans, immature seeds, raw (Dolichos lablab)                       43.0
Peas, green (includes baby and lesuer types), canned, drained solids,       43.0
Peppers, hot pickled, canned                                                43.0
Pie, lemon meringue, prepared from recipe                                   43.0
Potatoes, mashed, dehydrated, prepared from granules without milk, who      43.0
Tomato products, canned, sauce, with onions                                 43.0
Oheloberries, raw (Vaccinium reticulatum)                                   42.0
Tomatoes, red, ripe, raw, year round average (Solanum lycopersicum)         42.0
Candies, chocolate covered, caramel with nuts                               42.0
Tangerines, (mandarin oranges), canned, light syrup pack                    42.0
Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar                          42.0
Candies, milk chocolate coated peanuts                                      41.0
Candies, fudge, vanilla with nuts                                           41.0
Leeks, (bulb and lower leaf-portion), cooked, boiled, drained, with sa      41.0
Muffins, corn, dry mix, prepared                                            41.0
Cowpeas (blackeyes), immature seeds, raw (Vigna unguiculata subsp. ung      41.0
Leeks, (bulb and lower leaf-portion), cooked, boiled, drained, without      41.0
Tomato products, canned, sauce, with onions, green peppers, and celery      41.0
Hush puppies, prepared from recipe                                          41.0
Peppers, hungarian, raw                                                     41.0
Asparagus, canned, drained solids                                           41.0
CAMPBELL'S, V8 Vegetable Juice, Low Sodium V8                               41.0
Squash, winter, acorn, cooked, boiled, mashed, without salt                 41.0
Puddings, banana, dry mix, regular, prepared with whole milk                40.0
Asparagus, frozen, cooked, boiled, drained, without salt                    40.0
Spices, mace, ground (Myristica fragrans)                                   40.0
Peas, green, cooked, boiled, drained, with salt                             40.0
Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, with sal      40.0
Rolls, dinner, sweet                                                        40.0
Tomato products, canned, sauce, with tomato tidbits                         40.0
Cowpeas (blackeyes), immature seeds, cooked, boiled, drained, without       40.0
Puddings, vanilla, dry mix, regular, prepared with whole milk               40.0
Asparagus, frozen, cooked, boiled, drained, with salt                       40.0
Peas, green, cooked, boiled, drained, without salt                          40.0
Cake, yellow, prepared from recipe without frosting                         40.0
Muffins, plain, prepared from recipe, made with low fat (2%) milk           40.0
Prunes, canned, heavy syrup pack, solids and liquids (Prunus domestica      40.0
Brussels sprouts, cooked, boiled, drained, without salt                     39.0
Plums, dried (prunes), uncooked                                             39.0
Frozen yogurts, chocolate                                                   39.0
Brussels sprouts, cooked, boiled, drained, with salt                        39.0
Puddings, chocolate, dry mix, regular, prepared with whole milk             39.0
Candies, peanut brittle, prepared-from-recipe                               39.0
Asparagus, canned, no salt added, solids and liquids                        39.0
Muffins, blueberry, prepared from recipe, made with low fat (2%) milk       38.0
Potatoes, mashed, home-prepared, whole milk and butter added                38.0
Peas, green, raw (Pisum sativum)                                            38.0
Candies, WHATCHAMACALLIT Candy Bar                                          38.0
Pickles, cucumber, sweet (includes bread and butter pickles)                38.0
Persimmons, japanese, dried                                                 38.0
Candies, NESTLE, 100 GRAND Bar                                              38.0
Candies, fudge, chocolate, with nuts, prepared-from-recipe                  38.0
Puddings, banana, dry mix, instant, prepared with whole milk                38.0
Asparagus, raw (Asparagus officinalis)                                      38.0
Acerola, (west indian cherry), raw (Malpighia emarginata)                   38.0
Cherries, sour, red, canned, water pack, solids and liquids (includes       38.0
Brussels sprouts, raw (Brassica oleracea (Gemmifera Group))                 38.0
Spices, basil, dried (Ocimum basilicum)                                     37.0
Candies, TOBLERONE, milk chocolate with honey and almond nougat             37.0
Coffeecake, creme-filled with chocolate frosting                            37.0
Okra, raw (Abelmoschus esculentus)                                          36.0
Peppers, hot chili, green, canned, pods, excluding seeds, solids and l      36.0
Passion-fruit juice, purple, raw                                            36.0
Cherries, sour, red, canned, light syrup pack, solids and liquids           36.0
Cherries, sour, red, canned, heavy syrup pack, solids and liquids           36.0
Groundcherries, (cape-gooseberries or poha), raw (Physalis spp.)            36.0
Cowpeas, leafy tips, raw (Vigna unguiculata subsp. unguiculata)             36.0
Cherries, sour, red, canned, extra heavy syrup pack, solids and liquid      35.0
Mango nectar, canned                                                        35.0
Beans, snap, green, raw (Phaseolus vulgaris)                                35.0
Jellies, no sugar (with sodium saccharin), any flavors                      35.0
Danish pastry, cheese                                                       35.0
Vegetable juice cocktail, low sodium, canned                                35.0
Cake, pound, commercially prepared, other than all butter, unenriched       35.0
Cake, pound, commercially prepared, other than all butter, enriched         35.0
Coffeecake, cinnamon with crumb topping, dry mix, prepared                  35.0
Bread, cornbread, dry mix, prepared with 2% milk, 80% margarine, and e      35.0
Candies, MR. GOODBAR Chocolate Bar                                          35.0
Potatoes, scalloped, dry mix, prepared with water, whole milk and butt      35.0
Vegetable juice cocktail, canned                                            35.0
Beans, snap, green, cooked, boiled, drained, with salt                      35.0
Candies, ROLO Caramels in Milk Chocolate                                    34.0
Tangerines, (mandarin oranges), raw (Citrus reticulata)                     34.0
Candies, M&M MARS Pretzel Chocolate Candies                                 34.0
Tomatoes, red, ripe, cooked, stewed                                         33.0
Rolls, hamburger or hot dog, whole wheat                                    33.0
Bagels, egg                                                                 33.0
Coffeecake, cinnamon with crumb topping, commercially prepared, unenri      33.0
Coffeecake, cinnamon with crumb topping, commercially prepared, enrich      33.0
Potatoes, scalloped, home-prepared with margarine                           33.0
Beans, snap, green, cooked, boiled, drained, without salt                   32.0
Potato pancakes                                                             32.0
Fruit salad, (peach and pear and apricot and pineapple and cherry), ca      32.0
Tomatoes, green, raw (Solanum lycopersicum)                                 32.0
Potato salad, home-prepared                                                 32.0
Pie, apple, commercially prepared, enriched flour                           32.0
Cake, yellow, commercially prepared, with vanilla frosting                  32.0
Peaches, canned, heavy syrup, drained                                       31.0
Candies, MARS SNACKFOOD US, MILKY WAY Bar                                   31.0
Broccoli, raw (Brassica oleracea var. italica)                              31.0
Brussels sprouts, frozen, unprepared                                        31.0
Guavas, common, raw (Psidium guajava)                                       31.0
Pancakes, buttermilk, prepared from recipe                                  30.0
Elderberries, raw (Sambucus spp.)                                           30.0
Fruit salad, (peach and pear and apricot and pineapple and cherry), ca      30.0
Pie, cherry, prepared from recipe                                           29.0
Cowpeas, leafy tips, cooked, boiled, drained, with salt                     29.0
Seaweed, spirulina, dried                                                   29.0
Cake, pound, commercially prepared, fat-free                                29.0
Pie, apple, commercially prepared, unenriched flour                         29.0
Rolls, hamburger or hotdog, plain                                           29.0
Puddings, rice, dry mix, prepared with whole milk                           29.0
Desserts, apple crisp, prepared-from-recipe                                 29.0
Candies, milk chocolate coated raisins                                      29.0
Flan, caramel custard, dry mix, prepared with whole milk                    29.0
Ice creams, vanilla, light, soft-serve                                      29.0
Cowpeas, leafy tips, cooked, boiled, drained, without salt                  29.0
Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies           28.0
Naranjilla (lulo) pulp, frozen, unsweetened (Solanum quitoense Lam.)        28.0
Candies, butterscotch                                                       28.0
Watermelon, raw (Citrullus lanatus)                                         28.0
Nuts, ginkgo nuts, raw (Ginkgo biloba)                                      28.0
Squash, summer, zucchini, italian style, canned                             27.0
Rennin, chocolate, dry mix, prepared with whole milk                        27.0
Peaches, canned, water pack, solids and liquids                             27.0
Spices, saffron (Crocus sativus)                                            27.0
Spices, pepper, black (Piper nigrum)                                        27.0
Pie, coconut creme, commercially prepared                                   27.0
Rennin, vanilla, dry mix, prepared with whole milk                          27.0
Rolls, hamburger or hot dog, wheat/cracked wheat                            27.0
Cereals ready-to-eat, QUAKER, Christmas Crunch                              27.0
Peas and onions, frozen, unprepared                                         27.0
Peas, green, canned, no salt added, drained solids                          27.0
Beans, snap, green, frozen, all styles, unprepared                          27.0
Spices, allspice, ground (Pimenta dioica)                                   27.0
Candies, taffy, prepared-from-recipe                                        27.0
Catsup, low sodium                                                          26.0
Catsup                                                                      26.0
Peppers, sweet, red, canned, solids and liquids                             26.0
Nuts, pistachio nuts, raw (Pistacia vera)                                   26.0
Biscuits, plain or buttermilk, dry mix, prepared                            26.0
Tomato products, canned, puree, with salt added                             26.0
Beans, snap, green, frozen, all styles, microwaved                          26.0
Beans, snap, canned, all styles, seasoned, solids and liquids               26.0
Pie, coconut custard, commercially prepared                                 26.0
Celery, cooked, boiled, drained, without salt                               26.0
Celery, cooked, boiled, drained, with salt                                  26.0
Tofu, dried-frozen (koyadofu)                                               26.0
Puddings, coconut cream, dry mix, regular, prepared with whole milk         26.0
Potatoes, hash brown, frozen, with butter sauce, prepared                   26.0
Prunes, dehydrated (low-moisture), stewed                                   26.0
Puddings, chocolate, dry mix, instant, prepared with whole milk             26.0
Tomato products, canned, puree, without salt added                          26.0
Squash, zucchini, baby, raw (Cucurbita spp.)                                25.0
Lettuce, iceberg (includes crisphead types), raw (Lactuca sativa var.       25.0
Bread, boston brown, canned                                                 25.0
Pasta, fresh-refrigerated, spinach, as purchased                            25.0
Fruit salad, (peach and pear and apricot and pineapple and cherry), ca      25.0
USDA Commodity peaches, canned, light syrup, drained                        25.0
Puddings, vanilla, dry mix, instant, prepared with whole milk               25.0
Puddings, tapioca, dry mix, prepared with whole milk                        25.0
Acerola juice, raw                                                          25.0
Tomatoes, red, ripe, cooked                                                 24.0
Balsam-pear (bitter gourd), pods, raw (Momordica charantia)                 24.0
Cake, boston cream pie, commercially prepared                               24.0
Candies, MARS SNACKFOOD US, M&M's Almond Chocolate Candies                  24.0
Bread, potato                                                               24.0
Puddings, lemon, dry mix, instant, prepared with whole milk                 24.0
Bread, cheese                                                               24.0
Puddings, coconut cream, dry mix, instant, prepared with whole milk         24.0
Candies, KIT KAT Wafer Bar                                                  24.0
Tomatoes, red, ripe, cooked, with salt                                      24.0
Crackers, rye, sandwich-type with cheese filling                            24.0
Cream puff, eclair, custard or cream filled, iced                           23.0
Tomato juice, canned, with salt added                                       23.0
Cornmeal, yellow, self-rising, bolted, plain, enriched                      23.0
Spaghetti, spinach, dry                                                     23.0
Tomato juice, canned, without salt added                                    23.0
Nopales, raw (Nopalea cochenillifera)                                       23.0
Bagels, cinnamon-raisin, toasted                                            23.0
Yardlong bean, cooked, boiled, drained, without salt                        23.0
Yardlong bean, cooked, boiled, drained, with salt                           23.0
Seeds, cottonseed meal, partially defatted (glandless)                      23.0
Beans, snap, green, frozen, cooked, boiled, drained, with salt              23.0
Peppers, sweet, green, cooked, boiled, drained, with salt                   23.0
Peppers, sweet, green, cooked, boiled, drained, without salt                23.0
Grapefruit juice, pink or red, with added calcium                           22.0
Danish pastry, fruit, unenriched (includes apple, cinnamon, raisin, st      22.0
Fruit salad, (peach and pear and apricot and pineapple and cherry), ca      22.0
Nopales, cooked, without salt                                               22.0
Seeds, cottonseed flour, low fat (glandless)                                22.0
Seeds, cottonseed flour, partially defatted (glandless)                     22.0
Tomato products, canned, sauce                                              22.0
Seeds, cottonseed kernels, roasted (glandless) (Gossypium spp.)             22.0
Tomato sauce, canned, no salt added                                         22.0
Peas, green, canned, seasoned, solids and liquids                           22.0
Bread, white, prepared from recipe, made with low fat (2%) milk             22.0
Tomatoes, red, ripe, canned, packed in tomato juice, no salt added          22.0
Grapefruit juice, pink, raw                                                 22.0
Candies, MARS SNACKFOOD US, M&M's Peanut Chocolate Candies                  22.0
Celery, raw (Apium graveolens)                                              22.0
Beans, snap, green, frozen, cooked, boiled, drained without salt            21.0
Squash, winter, acorn, cooked, baked, without salt                          21.0
Cereals ready-to-eat, QUAKER, SWEET CRUNCH/QUISP                            21.0
Muffins, blueberry, commercially prepared (Includes mini-muffins)           21.0
Squash, winter, acorn, cooked, baked, with salt                             21.0
Orange peel, raw                                                            21.0
Fruit juice smoothie, BOLTHOUSE FARMS, GREEN GOODNESS                       21.0
Fruit juice smoothie, NAKED JUICE, GREEN MACHINE                            21.0
Bagels, cinnamon-raisin                                                     21.0
Crackers, wheat, sandwich, with cheese filling                              21.0
Fruit salad, (peach and pear and apricot and pineapple and cherry), ca      21.0
Tomatoes, red, ripe, canned, packed in tomato juice                         20.0
Candies, MARS SNACKFOOD US, 3 MUSKETEERS Bar                                20.0
Olives, ripe, canned (small-extra large) (Olea europaea)                    20.0
Candies, MARS SNACKFOOD US, TWIX Peanut Butter Cookie Bars                  20.0
Candies, MARS SNACKFOOD US, TWIX Caramel Cookie Bars                        20.0
Cookies, brownies, commercially prepared                                    20.0
Broccoli, stalks, raw                                                       20.0
Radish seeds, sprouted, raw (Raphanus sativus)                              20.0
Olives, pickled, canned or bottled, green                                   20.0
Tomatoes, red, ripe, canned, with green chilies                             20.0
Plums, canned, heavy syrup, drained                                         20.0
Peaches, dehydrated (low-moisture), sulfured, stewed                        20.0
Lima beans, immature seeds, cooked, boiled, drained, with salt              19.0
Vegetable smoothie, NAKED JUICE, KALE BLAZER                                19.0
Frozen novelties, juice type, juice with cream                              19.0
Bread, cornbread, dry mix, enriched (includes corn muffin mix)              19.0
Rowal, raw (Pangium edule)                                                  19.0
Frozen novelties, ice cream type, vanilla ice cream, light, no sugar a      19.0
Puddings, rice, ready-to-eat                                                19.0
Peaches, canned, juice pack, solids and liquids                             19.0
Potatoes, hash brown, frozen, with butter sauce, unprepared                 19.0
Seaweed, wakame, raw (Undaria spp.)                                         18.0
Beans, snap, yellow, canned, no salt added, drained solids                  18.0
Cookies, chocolate chip, refrigerated dough, baked                          18.0
Peppers, sweet, green, raw (Capsicum annuum)                                18.0
Potatoes, mashed, dehydrated, granules with milk, dry form                  18.0
Beans, snap, green, canned, regular pack, drained solids                    18.0
Okra, frozen, unprepared                                                    18.0
Broadbeans, immature seeds, raw (Vicia faba)                                18.0
Peaches, canned, light syrup pack, solids and liquids                       18.0
Squash, winter, acorn, raw (Cucurbita maxima)                               18.0
Peppers, sweet, green, frozen, chopped, unprepared                          18.0
Cake, shortcake, biscuit-type, prepared from recipe                         18.0
Spices, caraway seed (Carum carvi)                                          18.0
Beans, snap, green, canned, no salt added, drained solids                   18.0
Muffins, corn, toaster-type                                                 18.0
Pie, Dutch Apple, Commercially Prepared                                     18.0
Papaya nectar, canned                                                       18.0
Crackers, standard snack-type, sandwich, with cheese filling                17.0
Beans, fava, in pod, raw (Vicia faba)                                       17.0
Chili with beans, canned                                                    17.0
Crackers, cheese, regular                                                   17.0
Pepper, banana, raw (Capsicum anuum)                                        17.0
Noodles, egg, dry, unenriched                                               17.0
Nectarines, raw (Prunus persica var. nucipersica)                           17.0
Candies, REESE'S Peanut Butter Cups                                         17.0
Doughnuts, yeast-leavened, with jelly filling                               17.0
Crackers, cheese, low sodium                                                17.0
Olives, ripe, canned (jumbo-super colossal)                                 17.0
Noodles, egg, dry, enriched                                                 17.0
Pasta, homemade, made with egg, cooked                                      17.0
Peaches, canned, heavy syrup pack, solids and liquids                       17.0
Nuts, ginkgo nuts, canned                                                   17.0
Plums, raw (Prunus spp.)                                                    17.0
Plums, dried (prunes), stewed, without added sugar                          17.0
Rose-apples, raw (Syzygium jambos)                                          17.0
Cabbage, chinese (pe-tsai), raw (Brassica rapa (Pekinensis Group))          16.0
Nuts, chestnuts, chinese, dried                                             16.0
Spices, anise seed (Pimpinella anisum)                                      16.0
Peaches, yellow, raw (Prunus persica)                                       16.0
Peaches, spiced, canned, heavy syrup pack, solids and liquids               16.0
Beans, snap, green, canned, no salt added, solids and liquids               16.0
Crackers, milk                                                              16.0
Seeds, breadfruit seeds, roasted                                            15.0
Fruit cocktail, (peach and pineapple and pear and grape and cherry), c      15.0
Okra, frozen, cooked, boiled, drained, with salt                            15.0
Candies, crispy bar with peanut butter filling                              15.0
Candies, MARS SNACKFOOD US, MARS Almond Bar                                 15.0
Edamame, frozen, prepared                                                   15.0
USDA Commodity, mixed fruit (peaches, pears, grapes), canned, light sy      15.0
Spices, cinnamon, ground (Cinnamomum aromaticum)                            15.0
Pudding, lemon, dry mix, regular, prepared with sugar, egg yolk and wa      15.0
Lima beans, immature seeds, cooked, boiled, drained, without salt           15.0
Danish pastry, fruit, enriched (includes apple, cinnamon, raisin, lemo      15.0
Peppers, sweet, green, frozen, chopped, boiled, drained, without salt       15.0
Okra, frozen, cooked, boiled, drained, without salt                         15.0
Succotash, (corn and limas), raw                                            15.0
Succotash, (corn and limas), cooked, boiled, drained, without salt          15.0
Succotash, (corn and limas), cooked, boiled, drained, with salt             15.0
Cake, white, prepared from recipe without frosting                          15.0
Kumquats, raw (Fortunella spp.)                                             15.0
Gooseberries, raw (Ribes spp.)                                              15.0
Candies, HERSHEY, REESESTICKS crispy wafers, peanut butter, milk choco      14.0
Candies, 5TH AVENUE Candy Bar                                               14.0
Cookies, peanut butter, refrigerated dough, baked                           14.0
Cookies, peanut butter, refrigerated dough                                  14.0
Broadbeans, immature seeds, cooked, boiled, drained, with salt (Vicia       14.0
Plums, dried (prunes), stewed, with added sugar                             14.0
Squash, summer, crookneck and straightneck, frozen, unprepared              14.0
Peppers, sweet, green, sauteed                                              14.0
Roselle, raw (Hibiscus sabdariffa)                                          14.0
Peaches, canned, extra light syrup, solids and liquids                      14.0
Puddings, chocolate, ready-to-eat                                           14.0
Guava sauce, cooked                                                         14.0
Peaches, frozen, sliced, sweetened                                          14.0
Leeks, (bulb and lower-leaf portion), freeze-dried                          14.0
Fruit cocktail, canned, heavy syrup, drained                                14.0
Okra, cooked, boiled, drained, without salt                                 14.0
Candies, REESE's Fast Break, milk chocolate, peanut butter, soft nouga      14.0
Okra, cooked, boiled, drained, with salt                                    14.0
Cornmeal, yellow, self-rising, bolted, with wheat flour added, enriche      14.0
Broadbeans, immature seeds, cooked, boiled, drained, without salt           14.0
Pasta, fresh-refrigerated, plain, as purchased                              14.0
Cake, gingerbread, prepared from recipe                                     14.0
Fruit cocktail, (peach and pineapple and pear and grape and cherry), c      13.0
Grapefruit, raw, pink and red, California and Arizona (Citrus paradisi      13.0
Grapefruit, raw, pink and red, Florida (Citrus paradisi)                    13.0
Beans, snap, green, canned, regular pack, solids and liquids                13.0
Spices, pumpkin pie spice                                                   13.0
Tangerine juice, raw                                                        13.0
Succotash, (corn and limas), frozen, unprepared                             13.0
Squash, winter, acorn, cooked, boiled, mashed, with salt                    13.0
Nuts, pistachio nuts, dry roasted, without salt added                       13.0
Tangerine juice, canned, sweetened                                          13.0
Plums, canned, purple, heavy syrup pack, solids and liquids                 13.0
Plums, canned, purple, extra heavy syrup pack, solids and liquids           13.0
Peach nectar, canned, without added ascorbic acid                           13.0
Cabbage, napa, cooked (Brassica oleracea)                                   13.0
Orange juice, frozen concentrate, unsweetened, undiluted, with added c      13.0
Pickle relish, hamburger                                                    13.0
Oranges, raw, with peel (Citrus sinensis)                                   13.0
Corn, sweet, yellow, cooked, boiled, drained, without salt                  13.0
Seeds, breadfruit seeds, raw (Artocarpus altilis)                           13.0
Peach nectar, canned, with added ascorbic acid                              13.0
Orange juice, frozen concentrate, unsweetened, undiluted                    13.0
Garlic bread, frozen                                                        13.0
Papad                                                                       13.0
Nuts, pistachio nuts, dry roasted, with salt added                          13.0
Corn, sweet, yellow, cooked, boiled, drained, with salt                     13.0
Crackers, matzo, egg                                                        13.0
Seeds, breadnut tree seeds, raw (Brosimum alicastrum)                       12.0
Seeds, breadfruit seeds, boiled                                             12.0
Corn, sweet, yellow, frozen, kernels on cob, cooked, boiled, drained,       12.0
Crackers, cheese, whole grain                                               12.0
Corn, yellow, whole kernel, frozen, microwaved                              12.0
