Long_Desc                                                                  VITA_RAE
Cereals, oats, instant, fortified, with raisins and spice, dry             589.0
Spinach, frozen, chopped or leaf, unprepared                               586.0
Vegetables, mixed, canned, drained solids                                  583.0
Vegetables, mixed (corn, lima beans, peas, green beans, carrots) canne     583.0
Lambsquarters, raw (Chenopodium album)                                     580.0
Turnip greens, raw (Brassica rapa (Rapifera Group))                        579.0
Collards, frozen, chopped, cooked, boiled, drained, without salt           575.0
Collards, frozen, chopped, cooked, boiled, drained, with salt              575.0
Carrots, canned, no salt added, drained solids                             558.0
Squash, winter, butternut, cooked, baked, without salt                     558.0
Carrots, canned, no salt added, solids and liquids                         558.0
Carrots, canned, regular pack, drained solids                              558.0
Squash, winter, butternut, cooked, baked, with salt                        558.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S HONEY SMACKS                      556.0
Cereals ready-to-eat, GENERAL MILLS, Rice CHEX                             556.0
Cereals ready-to-eat, MALT-O-MEAL, GOLDEN PUFFS                            555.0
Cereals ready-to-eat, GENERAL MILLS, Oat Cluster CHEERIOS Crunch           554.0
Cereals ready-to-eat, GENERAL MILLS, WHEATIES                              554.0
Cereals ready-to-eat, GENERAL MILLS, FROSTED CHEERIOS                      554.0
Cereals ready-to-eat, GENERAL MILLS, Berry Burst CHEERIOS, Triple Berr     549.0
Cereals ready-to-eat, GENERAL MILLS, COOKIE CRISP                          546.0
KELLOGG'S, EGGO, Thick & Fluffy, Waffles, Brown Sugar                      546.0
KELLOGG'S, EGGO, Thick & Fluffy, Waffles, Original                         546.0
Turnip greens, frozen, cooked, boiled, drained, with salt                  538.0
Turnip greens, frozen, cooked, boiled, drained, without salt               538.0
Cereals ready-to-eat, GENERAL MILLS, Fruity CHEERIOS                       534.0
Cereals ready-to-eat, GENERAL MILLS, CHEERIOS, Chocolate                   533.0
Squash, winter, butternut, raw (Cucurbita moschata)                        532.0
Cereals ready-to-eat, RALSTON Enriched Wheat Bran flakes                   531.0
Spearmint, dried                                                           529.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S APPLE JACKS                       527.0
Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS with vanilla bunches     527.0
Mustard greens, cooked, boiled, drained, with salt                         527.0
Cereals ready-to-eat, GENERAL MILLS, COCOA PUFFS                           527.0
Cereals ready-to-eat, GENERAL MILLS, COUNT CHOCULA                         526.0
Spinach, cooked, boiled, drained, without salt                             524.0
Spinach, cooked, boiled, drained, with salt                                524.0
Cereals ready-to-eat, GENERAL MILLS, DORA THE EXPLORER                     522.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN Original                 522.0
Cereals, QUAKER, Instant Oatmeal, maple and brown sugar, dry               520.0
Sweet potato, frozen, unprepared                                           518.0
Dandelion greens, raw (Taraxacum officinale)                               508.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S MARSHMALLOW FROOT LOOPS           507.0
Cereals ready-to-eat, GENERAL MILLS, CHEERIOS, Banana Nut                  506.0
Cereals ready-to-eat, GENERAL MILLS, CHOCOLATE LUCKY CHARMS                505.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S HONEY CRUNCH CORN FLAKES          502.0
Cereals ready-to-eat, GENERAL MILLS, Multi-Grain CHEERIOS                  502.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S FROOT LOOPS                       501.0
Cereals ready-to-eat, MALT-O-MEAL, MARSHMALLOW MATEYS                      500.0
Cereals ready-to-eat, frosted oat cereal with marshmallows                 500.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S CINNABON cereal                   500.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K                         500.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN BRAN BUDS                500.0
Cereals ready-to-eat, MALT-O-MEAL, Blueberry MUFFIN TOPS Cereal            500.0
Cereals ready-to-eat, KELLOGG, KELLOGG'S RICE KRISPIES TREATS Cereal       500.0
