|NDB_No|FdGrp_Cd|Long_Desc|FE
1813|8065|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S RICE KRISPIES|30.42
1960|8449|800|Cereals, QUAKER, Instant Grits Product with American Cheese Flavor, dry|30.38
1835|8096|800|Cereals, QUAKER, Instant Grits, Country Bacon flavor, dry|30.38
1834|8094|800|Cereals, QUAKER, corn grits, instant, cheddar cheese flavor, dry|30.38
1856|8138|800|Cereals ready-to-eat, MALT-O-MEAL, MARSHMALLOW MATEYS|30.0
2020|8582|800|Cereals ready-to-eat, GENERAL MILLS, DORA THE EXPLORER|30.0
2063|8653|800|Cereals ready-to-eat, KELLOGG'S RICE KRISPIES, Gluten Free|30.0
1894|8221|800|Cereals, QUAKER, Instant Grits, Butter flavor, dry|30.0
2083|8676|800|Cereals ready-to-eat, MALT-O-MEAL, Honey Nut SCOOTERS|30.0
1979|8494|800|Cereals ready-to-eat, MALT-O-MEAL, CINNAMON TOASTERS|30.0
1928|8319|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S FROSTED MINI-WHEATS, bite size|30.0
1929|8346|800|Cereals ready-to-eat, MALT-O-MEAL, COLOSSAL CRUNCH|30.0
1775|8002|800|Cereals ready-to-eat, POST, ALPHA-BITS|30.0
1930|8347|800|Cereals ready-to-eat, MALT-O-MEAL, BERRY COLOSSAL CRUNCH|30.0
1886|8206|800|Cereals ready-to-eat, MALT-O-MEAL, COCO-ROOS|30.0
1891|8216|800|Cereals ready-to-eat, QUAKER, Toasted Multigrain Crisps|29.9
2015|8576|800|Cereals, CREAM OF WHEAT, 1 minute cook time, dry|29.75
2001|8549|800|Cereals ready-to-eat, QUAKER, QUAKER Honey Graham LIFE Cereal|29.73
1890|8215|800|Cereals ready-to-eat, QUAKER, Oatmeal Squares, cinnamon|29.5
1945|8384|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S MINI-WHEATS, unfrosted bite size|29.5
2114|8708|800|Cereals ready-to-eat, KELLOGG's FROSTED MINI-WHEATS Touch of Fruit in the Middle, raisin|29.5
1997|8542|800|Cereals ready-to-eat, KELLOGG'S, FROSTED MINI-WHEATS Bite Size Strawberry Delight|29.5
1965|8459|800|Cereals ready-to-eat, KELLOGG'S, FROSTED MINI-WHEATS, Maple & Brown Sugar, Bite Size|29.5
2042|8617|800|Cereals ready-to-eat, KELLOGG's FROSTED MINI-WHEATS Bite Size Blueberry Muffin|29.5
2084|8677|800|Cereals ready-to-eat, KELLOGG'S FROSTED MINI-WHEATS Touch of Fruit in the Middle, Raspberry|29.5
1981|8500|800|Cereals ready-to-eat, MALT-O-MEAL, Frosted Mini SPOONERS|29.45
2080|8673|800|Cereals, ready-to-eat, MALT-O-MEAL, Blueberry Mini SPOONERS|29.45
1804|8049|800|Cereals ready-to-eat, QUAKER, QUAKER OAT LIFE, plain|29.33
1889|8214|800|Cereals ready-to-eat, QUAKER, Oatmeal Squares|29.3
285|2036|200|Spices, rosemary, dried (Rosmarinus officinalis)|29.25
1802|8047|800|Cereals ready-to-eat, QUAKER, KING VITAMAN|29.0
2085|8678|800|Cereals ready-to-eat, GENERAL MILLS, Apple Cinnamon CHEX|29.0
2048|8632|800|Cereals ready-to-eat, QUAKER Oatmeal Squares, Golden Maple|29.0
2107|8701|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K Multi-grain|29.0
2049|8633|800|Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS with vanilla bunches|28.9
1787|8020|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S Corn Flakes|28.9
2047|8631|800|Cereals ready-to-eat, KELLOGG'S FROSTED MINI-WHEATS LITTLE BITES, chocolate|28.89
2089|8682|800|Cereals ready-to-eat, GENERAL MILLS, Multi Grain CHEERIOS, Peanut Butter|28.89
2102|8695|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S FROSTED MINI-WHEATS, little bites|28.89
2033|8596|800|Cereals ready-to-eat, GENERAL MILLS, FIBER ONE, Caramel Delight|28.79
2045|8628|800|Cereals ready-to-eat, QUAKER, Maple Brown Sugar LIFE Cereal|28.69
1842|8106|800|Cereals, CREAM OF WHEAT, instant, dry|28.6
1838|8102|800|Cereals, CREAM OF WHEAT, regular, 10 minute cooking, dry|28.6
3305|11667|1100|Seaweed, spirulina, dried|28.5
1836|8100|800|Cereals, CREAM OF RICE, dry|28.44
629|3996|300|Babyfood, Multigrain whole grain cereal, dry fortified|28.13
287|2038|200|Spices, sage, ground (Salvia officinalis)|28.12
1932|8349|800|Cereals ready-to-eat, MALT-O-MEAL, TOOTIE FRUITIES|28.12
2112|8706|800|Cereals ready-to-eat, KELLOGG SCOOBY-DOO! cereal|28.1
1823|8081|800|Cereals ready-to-eat, POST, Honey Nut Shredded Wheat|28.0
1793|8031|800|Cereals ready-to-eat, KELLOGG'S FROSTED MINI-WHEATS, Big Bite|28.0
1791|8029|800|Cereals ready-to-eat, POST Bran Flakes|28.0
8629|42297|800|Cereals ready-to-eat, POST GREAT GRAINS Banana Nut Crunch|28.0
1798|8038|800|Cereals ready-to-eat, POST, GRAPE-NUTS Cereal|28.0
1815|8067|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S SPECIAL K|28.0
2073|8665|800|Cereals ready-to-eat, POST HONEY BUNCHES OF OATS with cinnamon bunches|28.0
1907|8259|800|Cereals ready-to-eat, KELLOGG, KELLOGG'S CRISPIX|28.0
1986|8507|800|Cereals ready-to-eat, RALSTON Crispy Hexagons|27.93
