Long_Desc                                                                  CAFFN
"Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat       0.0
Syrups, table blends, pancake, reduced-calorie                               0.0
Syrups, table blends, pancake                                                0.0
"Beef, tenderloin, roast, separable lean and fat, trimmed to 1/8"" fat       0.0
"Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat       0.0
"Beef, tenderloin, steak, separable lean and fat, trimmed to 1/8"" fat       0.0
Ice creams, vanilla                                                          0.0
Ice creams, french vanilla, soft-serve                                       0.0
"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fa       0.0
Snacks, M&M MARS, COMBOS Snacks Cheddar Cheese Pretzel                       0.0
"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fa       0.0
Syrup, fruit flavored                                                        0.0
Snacks, oriental mix, rice-based                                             0.0
Snacks, GENERAL MILLS, CHEX MIX, traditional flavor                          0.0
Snacks, popcorn, air-popped                                                  0.0
Snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat         0.0
Snacks, popcorn, cakes                                                       0.0
Snacks, popcorn, caramel-coated, with peanuts                                0.0
Snacks, popcorn, caramel-coated, without peanuts                             0.0
Snacks, popcorn, cheese-flavor                                               0.0
Snacks, pork skins, plain                                                    0.0
Snacks, potato chips, barbecue-flavor                                        0.0
Snacks, potato chips, made from dried potatoes, reduced fat                  0.0
Snacks, pretzels, hard, plain, salted                                        0.0
Snacks, rice cracker brown rice, plain                                       0.0
Ice creams, vanilla, rich                                                    0.0
Snacks, tortilla chips, plain, white corn, salted                            0.0
Snacks, tortilla chips, nacho cheese                                         0.0
Snacks, trail mix, regular, with chocolate chips, salted nuts and seed       0.0
"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fa       0.0
Candies, NESTLE, BIT-O'-HONEY Candy Chews                                    0.0
Candies, butterscotch                                                        0.0
Candies, carob, unsweetened                                                  0.0
Candies, caramels                                                            0.0
"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fa       0.0
Candies, confectioner's coating, yogurt                                      0.0
Candies, confectioner's coating, butterscotch                                0.0
Candies, confectioner's coating, peanut butter                               0.0
Candies, white chocolate                                                     0.0
Ice creams, vanilla, light                                                   0.0
Lamb, New Zealand, imported, netted shoulder, rolled, boneless, separa       0.0
Lamb, New Zealand, imported, kidney, raw                                     0.0
Lamb, New Zealand, imported, neck chops, separable lean only, cooked,        0.0
Fish, haddock, cooked, dry heat                                              0.0
Fish, herring, Atlantic, cooked, dry heat                                    0.0
Fish, herring, Atlantic, raw (Clupea harengus harengus (L.))                 0.0
Fish, halibut, Greenland, raw (Reinhardtius hippoglossoides (Walbaum))       0.0
Fish, halibut, Atlantic and Pacific, cooked, dry heat                        0.0
Fish, halibut, Atlantic and Pacific, raw (Hippoglossus hippoglossus (L       0.0
Fish, haddock, smoked                                                        0.0
Fish, haddock, raw (Melanogrammus aeglefinus (L.))                           0.0
Fish, herring, Atlantic, kippered                                            0.0
Fish, flatfish (flounder and sole species), cooked, dry heat                 0.0
Fish, flatfish (flounder and sole species), raw (Bothidae and Pleurone       0.0
Fish, fish sticks, frozen, prepared                                          0.0
Fish, eel, mixed species, raw (Anguilla spp.)                                0.0
Fish, croaker, Atlantic, raw (Micropogonias undulatus (L.))                  0.0
Fish, cod, Pacific, raw (may have been previously frozen) (Gadus macro       0.0
Fish, herring, Atlantic, pickled                                             0.0
"Beef, plate, outside skirt steak, separable lean only, trimmed to 0""       0.0
Fish, cod, Atlantic, canned, solids and liquid                               0.0
Fish, perch, mixed species, raw (Morone americana Gmelin and Perca fla       0.0
Fish, pompano, florida, raw (Trachinotus carolinus (L.))                     0.0
Fish, pollock, Alaska, cooked, dry heat (may have been previously froz       0.0
Fish, pollock, Alaska, raw (may have been previously frozen) (Theragra       0.0
"Beef, brisket, flat half, boneless, separable lean and fat, trimmed t       0.0
Fish, pollock, Atlantic, raw (Pollachius virens L.)                          0.0
Fish, pike, northern, raw (Esox lucius L.)                                   0.0
Fish, ocean perch, Atlantic, cooked, dry heat                                0.0
Fish, mackerel, Atlantic, raw (Scomber scombrus L.)                          0.0
Fish, ocean perch, Atlantic, raw (Sebastes marinus L.)                       0.0
"Beef, plate, inside skirt steak, separable lean only, trimmed to 0""        0.0
Fish, mullet, striped, raw (Mugil cephalus L.)                               0.0
Fish, mackerel, spanish, raw (Scombermorus maculatus (Mitchill))             0.0
Fish, mackerel, Pacific and jack, mixed species, raw (Scomber spp. and       0.0
Fish, mackerel, jack, canned, drained solids (Trachurus symmetricus (A       0.0
Fish, cod, Atlantic, dried and salted                                        0.0
Fish, cod, Atlantic, cooked, dry heat                                        0.0
Beverages, Whiskey sour mix, bottled                                         0.0
Beverages, vegetable and fruit juice blend, 100% juice, with added vit       0.0
Beverages, PEPSICO QUAKER, Gatorade G2, low calorie                          0.0
Alcoholic beverage, beer, light                                              0.0
Alcoholic beverage, daiquiri, prepared-from-recipe                           0.0
Beverages, rice milk, unsweetened                                            0.0
Water, with corn syrup and/or sugar and low calorie sweetener, fruit f       0.0
Beverages, fruit juice drink, reduced sugar, with vitamin E added            0.0
Alcoholic beverage, beer, light, low carb                                    0.0
Beverages, Fruit flavored drink containing less than 3% fruit juice, w       0.0
Beverages, milk beverage, reduced fat, flavored and sweetened, Ready-t       0.0
Beverages, Vegetable and fruit juice drink, reduced calorie, with low-       0.0
Beverages, Horchata, dry mix, unprepared, variety of brands, all with        0.0
Beverages, almond milk, sweetened, vanilla flavor, ready-to-drink            0.0
Alcoholic beverage, pina colada, prepared-from-recipe                        0.0
Beverages, Whiskey sour mix, powder                                          0.0
Beverages, Fruit flavored drink, less than 3% juice, not fortified wit       0.0
Alcoholic beverage, beer, regular, all                                       0.0
Fish, cod, Atlantic, raw (Gadus morhua (L.))                                 0.0
"Beef, chuck, short ribs, boneless, separable lean only, trimmed to 0"       0.0
Fish, cisco, smoked                                                          0.0
Fish, caviar, black and red, granular                                        0.0
Fish, carp, raw (Cyprinus carpio (L.))                                       0.0
Fish, anchovy, european, canned in oil, drained solids                       0.0
Fish, anchovy, european, raw (Engraulis encrasicholus (L.))                  0.0
Beverages, nutritional shake mix, high protein, powder                       0.0
"Beef, chuck, short ribs, boneless, separable lean only, trimmed to 0"       0.0
Beverages, Fruit flavored drink, reduced sugar, greater than 3% fruit        0.0
Beverages, fruit juice drink, greater than 3% juice, high vitamin C          0.0
Beverages, tea, hibiscus, brewed                                             0.0
"Beef, chuck, short ribs, boneless, separable lean only, trimmed to 0"       0.0
"Beef, brisket, flat half, boneless, separable lean and fat, trimmed t       0.0
Beverages, fruit juice drink, greater than 3% fruit juice, high vitami       0.0
"Beef, loin, bottom sirloin butt, tri-tip roast, separable lean only,        0.0
Fish, rockfish, Pacific, mixed species, raw (Sebastes spp.)                  0.0
Fish, rockfish, Pacific, mixed species, cooked, dry heat                     0.0
Fish, roe, mixed species, raw                                                0.0
Crustaceans, crayfish, mixed species, wild, cooked, moist heat               0.0
Crustaceans, shrimp, mixed species, canned                                   0.0
Crustaceans, shrimp, mixed species, cooked, moist heat (may have been        0.0
Crustaceans, shrimp, mixed species, cooked, breaded and fried                0.0
Crustaceans, shrimp, mixed species, raw (may have been previously froz       0.0
Crustaceans, lobster, northern, cooked, moist heat                           0.0
Crustaceans, lobster, northern, raw (Homarus americanus Milne-Edwards)       0.0
Crustaceans, crayfish, mixed species, wild, raw (Astacus, Orconectes,        0.0
Mollusks, clam, mixed species, raw (Lamellibranchia)                         0.0
Crustaceans, crab, blue, canned                                              0.0
Crustaceans, crab, blue, cooked, moist heat                                  0.0
Crustaceans, crab, alaska king, imitation, made from surimi                  0.0
Fish, whiting, mixed species, cooked, dry heat                               0.0
Fish, whiting, mixed species, raw (Gadidae)                                  0.0
Fish, whitefish, mixed species, smoked                                       0.0
Mollusks, abalone, mixed species, raw (Haliotis spp.)                        0.0
Mollusks, clam, mixed species, canned, drained solids                        0.0
Fish, roughy, orange, raw (Hoplostethus atlanticus)                          0.0
Mollusks, whelk, unspecified, raw (Buccinidae)                               0.0
Mollusks, oyster, Pacific, cooked, moist heat                                0.0
Mollusks, octopus, common, cooked, moist heat                                0.0
Fish, tuna, yellowfin, fresh, cooked, dry heat                               0.0
Fish, salmon, pink, cooked, dry heat                                         0.0
Fish, mackerel, Pacific and jack, mixed species, cooked, dry heat            0.0
Fish, cod, Pacific, cooked, dry heat (may have been previously frozen)       0.0
Mollusks, squid, mixed species, raw (Loligoidae and Ommastrephidae)          0.0
Mollusks, clam, mixed species, canned, liquid                                0.0
Mollusks, scallop, mixed species, raw (Pectinidae)                           0.0
Mollusks, oyster, eastern, canned                                            0.0
Mollusks, oyster, eastern, wild, cooked, moist heat                          0.0
Mollusks, oyster, eastern, wild, raw (Crassostrea virginica (Gmelin))        0.0
Mollusks, octopus, common, raw (Octopus vulgaris Lamarck)                    0.0
Mollusks, mussel, blue, raw (Mytilus edulis L.)                              0.0
Fish, whitefish, mixed species, raw (Coregonus spp.)                         0.0
Fish, tuna, fresh, yellowfin, raw (Thunnus albacares (Bonnaterre))           0.0
Fish, tuna, white, canned in water, drained solids                           0.0
Fish, salmon, pink, canned, total can contents                               0.0
Fish, scup, raw (Stenotomus chrysops L.)                                     0.0
Fish, sardine, Pacific, canned in tomato sauce, drained solids with bo       0.0
Fish, sardine, Atlantic, canned in oil, drained solids with bone (Clup       0.0
Fish, salmon, sockeye, canned, drained solids                                0.0
Fish, salmon, sockeye, cooked, dry heat                                      0.0
Fish, salmon, sockeye, raw                                                   0.0
"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean       0.0
Fish, tuna, white, canned in oil, drained solids                             0.0
Fish, salmon, pink, raw (Oncorhynchus gorbuscha (Walbaum))                   0.0
"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean       0.0
Fish, salmon, coho, wild, raw (Oncorhynchus kisutch (Walbaum))               0.0
Fish, salmon, chum, canned, drained solids with bone                         0.0
Fish, salmon, chinook, raw (Oncorhynchus tshawytscha (Walbaum))              0.0
Fish, salmon, chinook, smoked                                                0.0
Fish, sea bass, mixed species, raw (Centropristes striata L. and Lateo       0.0
"Beef, chuck eye roast, boneless, America's Beef Roast, separable lean       0.0
Fish, shad, american, raw (Alosa sapidissima (Wilson))                       0.0
Fish, shark, mixed species, raw (Squaliformes)                               0.0
"Beef, flank, steak, separable lean and fat, trimmed to 0"" fat, selec       0.0
Fish, smelt, rainbow, raw (Osmerus mordax (Mitchill))                        0.0
Fish, snapper, mixed species, raw (Lutjanidae)                               0.0
Fish, sturgeon, mixed species, raw (Acipenser spp.)                          0.0
Fish, sturgeon, mixed species, cooked, dry heat                              0.0
Fish, sturgeon, mixed species, smoked                                        0.0
Fish, surimi                                                                 0.0
Fish, swordfish, raw (Xiphias gladius L.)                                    0.0
Fish, swordfish, cooked, dry heat                                            0.0
Fish, trout, mixed species, raw (Salmonidae)                                 0.0
Fish, tuna, fresh, bluefin, raw (Thunnus thynnus (L.))                       0.0
Fish, tuna, light, canned in oil, drained solids                             0.0
Fish, tuna, light, canned in water, drained solids                           0.0
Alcoholic beverage, whiskey sour, prepared with water, whiskey and pow       0.0
Alcoholic beverage, whiskey sour, prepared from item 14028                   0.0
Fish, catfish, channel, farmed, raw (Ictalurus punctatus (Rafinesque))       0.0
Beverages, cranberry-apple juice drink, bottled                              0.0
Alcoholic beverage, beer, light, higher alcohol                              0.0
Beverages, tea, green, instant, decaffeinated, lemon, unsweetened, for       0.0
Beverages, Eggnog-flavor mix, powder, prepared with whole milk               0.0
Cranberry juice cocktail, bottled, low calorie, with calcium, sacchari       0.0
Cranberry juice cocktail, bottled                                            0.0
Alcoholic beverage, malt beer, hard lemonade                                 0.0
Beverages, coffee substitute, cereal grain beverage, prepared with wat       0.0
Alcoholic beverages, beer, higher alcohol                                    0.0
Beverages, OCEAN SPRAY, Cran Lemonade                                        0.0
Beverages, OCEAN SPRAY, White Cranberry Strawberry Flavored Juice Drin       0.0
Beverages, OCEAN SPRAY, Light Cranberry and Raspberry Flavored Juice         0.0
Beverages, Protein powder whey based                                         0.0
Beverages, OCEAN SPRAY, Diet Cranberry Juice                                 0.0
Beverages, Protein powder soy based                                          0.0
Beverages, AMBER, hard cider                                                 0.0
Beverages, Malt liquor beverage                                              0.0
Beverages, aloe vera juice drink, fortified with Vitamin C                   0.0
Beverages, citrus fruit juice drink, frozen concentrate, prepared with       0.0
Beverages, grape drink, canned                                               0.0
Beverages, Tropical Punch, ready-to-drink                                    0.0
Beverages, coffee, instant, vanilla, sweetened, decaffeinated, with no       0.0
Beverages, Fruit punch drink, frozen concentrate, prepared with water        0.0
Beverages, Fruit punch drink, with added nutrients, canned                   0.0
Beverages, fruit punch drink, without added nutrients, canned                0.0
Beverages, citrus fruit juice drink, frozen concentrate                      0.0
Alcoholic beverages, wine, rose                                              0.0
Beverages, tea, green, brewed, decaffeinated                                 0.0
Beverages, OCEAN SPRAY, Light Cranberry, Concord Grape                       0.0
Beverages, OCEAN SPRAY, White Cranberry Peach                                0.0
Beverages, OCEAN SPRAY, Light Cranberry                                      0.0
Beverages, OCEAN SPRAY, Cran Cherry                                          0.0
Beverages, OCEAN SPRAY, Cran Pomegranate                                     0.0
Beverages, OCEAN SPRAY, Cran Grape                                           0.0
Beverages, KELLOGG'S SPECIAL K20 protein powder                              0.0
Beverages, Water with added vitamins and minerals, bottles, sweetened,       0.0
Beverages, Apple juice drink, light, fortified with vitamin C                0.0
Carbonated beverage, cream soda                                              0.0
Beverages, Lemonade fruit juice drink light, fortified with vitamin E        0.0
Beverages, carbonated, ginger ale                                            0.0
Beverages, coconut milk, sweetened, fortified with calcium, vitamins A       0.0
Beverages, POWERADE, Zero, Mixed Berry                                       0.0
Beverages, chocolate drink, milk and soy based, ready to drink, fortif       0.0
Beverages, carbonated, low calorie, other than cola or pepper,  withou       0.0
Beverages, coffee, brewed, breakfast blend                                   0.0
Beverages, Kiwi Strawberry Juice Drink                                       0.0
Beverages, carbonated, root beer                                             0.0
Beverages, carbonated, lemon-lime soda, no caffeine                          0.0
Beverages, carbonated, tonic water                                           0.0
Beverages, carbonated, SPRITE, lemon-lime, without caffeine                  0.0
Beverages, carbonated, low calorie, cola or pepper-type, with aspartam       0.0
Beverages, carbonated, club soda                                             0.0
Beverages, Mixed vegetable and fruit juice drink, with added nutrients       0.0
Beverages, ZEVIA, cola, caffeine free                                        0.0
Beverages, Coconut water, ready-to-drink, unsweetened                        0.0
Beverages, GEROLSTEINER BRUNNEN GmbH & Co. KG,Gerolsteiner naturally s       0.0
Beverages, ICELANDIC, Glacial Natural spring water                           0.0
Beverages, rich chocolate, powder                                            0.0
Beverages, GEROLSTEINER BRUNNEN GmbH & Co. KG (Gerolsteiner), naturall       0.0
Beverages, chocolate malt, powder, prepared with fat free milk               0.0
Alcoholic beverage, wine, table, all                                         0.0
Beverages, almond milk, unsweetened, shelf stable                            0.0
Alcoholic beverage, wine, table, white                                       0.0
Beverages, chocolate almond milk, unsweetened, shelf-stable, fortified       0.0
Beverages, The COCA-COLA company, Glaceau Vitamin Water, Revive Fruit        0.0
Beverages, The COCA-COLA company, Minute Maid, Lemonade                      0.0
Beverages, MINUTE MAID, Lemonada, Limeade                                    0.0
Beverages, Clam and tomato juice, canned                                     0.0
Alcoholic beverage, wine, table, red                                         0.0
Beverages, grape juice drink, canned                                         0.0
Beverages, OCEAN SPRAY, Ruby Red cranberry                                   0.0
Beverages, Lemonade, powder                                                  0.0
Beverages, Orange drink, breakfast type, with juice and pulp, frozen c       0.0
Beverages, Propel Zero, fruit-flavored, non-carbonated                       0.0
Beverages, COCA-COLA, POWERADE, lemon-lime flavored, ready-to-drink          0.0
Beverages, PEPSICO QUAKER, Gatorade, G performance O 2, ready-to-drink       0.0
Beverages, orange breakfast drink, ready-to-drink, with added nutrient       0.0
Cranberry juice cocktail, frozen concentrate, prepared with water            0.0
Beverages, water, tap, municipal                                             0.0
Beverages, Orange drink, breakfast type, with juice and pulp, frozen c       0.0
Alcoholic beverage, wine, dessert, dry                                       0.0
Beverages, Orange-flavor drink, breakfast type, with pulp, frozen conc       0.0
Beverages, Orange-flavor drink, breakfast type, with pulp, frozen conc       0.0
Beverages, coffee substitute, cereal grain beverage, powder, prepared        0.0
Beverages, SLIMFAST, Meal replacement,  High Protein Shake, Ready-To-D       0.0
Beverages, UNILEVER, SLIMFAST, meal replacement, regular, ready-to-dri       0.0
Beverages, UNILEVER, SLIMFAST Shake Mix, powder, 3-2-1 Plan                  0.0
Beverages, NESTLE, Boost plus, nutritional drink, ready-to-drink             0.0
Beverages, fruit punch-flavor drink, powder, without added sodium, pre       0.0
Lemonade, powder, prepared with water                                        0.0
Beverages, ABBOTT, EAS soy protein powder                                    0.0
Water, non-carbonated, bottles, natural fruit flavors, sweetened with        0.0
Beverages, water, bottled, yumberry, pomegranate with anti-oxidants, z       0.0
Beverages, Powerade Zero Ion4, calorie-free, assorted flavors                0.0
Beverages, ABBOTT, EAS whey protein powder                                   0.0
Water, bottled, generic                                                      0.0
Alcoholic beverage, creme de menthe, 72 proof                                0.0
Beverages, Wine, non-alcoholic                                               0.0
Lemonade, frozen concentrate, pink                                           0.0
Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 90 proof       0.0
Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 86 proof       0.0
Beverages, CYTOSPORT, Muscle Milk, ready-to-drink                            0.0
Beverages, tea, herb, brewed, chamomile                                      0.0
Alcoholic beverage, distilled, all (gin, rum, vodka, whiskey) 80 proof       0.0
Beverages, lemonade, frozen concentrate, pink, prepared with water           0.0
Beverages, water, tap, drinking                                              0.0
Beverages, Orange-flavor drink, breakfast type, low calorie, powder          0.0
Beverages, orange-flavor drink, breakfast type, powder, prepared with        0.0
Malt beverage, includes non-alcoholic beer                                   0.0
Beverages, orange drink, canned, with added vitamin C                        0.0
Beverages, OVALTINE, chocolate malt powder                                   0.0
Beverages, Malted drink mix, natural, powder, prepared with whole milk       0.0
Beverages, Malted drink mix, natural, powder, dairy based.                   0.0
Beverages, Malted drink mix, natural, with added nutrients, powder, pr       0.0
Beverages, OVALTINE, Classic Malt powder                                     0.0
Limeade, frozen concentrate, prepared with water                             0.0
Beverages, orange-flavor drink, breakfast type, powder                       0.0
Beverages, lemonade-flavor drink, powder, prepared with water                0.0
Beverages, lemonade-flavor drink, powder                                     0.0
Beverages, Orange juice, light, No pulp                                      0.0
Lemonade, frozen concentrate, white, prepared with water                     0.0
Lemonade, frozen concentrate, white                                          0.0
Beverages, The COCA-COLA company, Hi-C Flashin' Fruit Punch                  0.0
Beverages, orange and apricot juice drink, canned                            0.0
Beverages, pineapple and grapefruit juice drink, canned                      0.0
Beverages, pineapple and orange juice drink, canned                          0.0
Shake, fast food, vanilla                                                    0.0
Strawberry-flavor beverage mix, powder                                       0.0
Beverages, ABBOTT, ENSURE, Nutritional Shake, Ready-to-Drink                 0.0
Beverages, KELLOGG'S, SPECIAL K Protein Shake                                0.0
Beverages, Whey protein powder isolate                                       0.0
Alcoholic beverage, wine, dessert, sweet                                     0.0
Beverages, Acai berry drink, fortified                                       0.0
Beverages, UNILEVER, SLIMFAST Shake Mix, high protein, whey powder, 3-       0.0
Beverages, almond milk, chocolate, ready-to-drink                            0.0
Alcoholic beverage, distilled, rum, 80 proof                                 0.0
Alcoholic beverage, distilled, gin, 90 proof                                 0.0
Beverages, tea, herb, other than chamomile, brewed                           0.0
Beverages, FUZE, orange mango, fortified with vitamins A, C, E, B6           0.0
Beverages, fruit punch juice drink, frozen concentrate, prepared with        0.0
Fish, roughy, orange, cooked, dry heat                                       0.0
Fish, catfish, channel, farmed, cooked, dry heat                             0.0
Lamb, New Zealand, imported, neck chops, separable lean only, raw            0.0
Veal, shoulder, blade chop, separable lean and fat, raw                      0.0
Veal, ground, raw                                                            0.0
Veal, sirloin, separable lean and fat, cooked, roasted                       0.0
Veal, sirloin, separable lean and fat, raw                                   0.0
Veal, shoulder, blade, separable lean only, cooked, braised                  0.0
Veal, shoulder, blade chop, separable lean only, raw                         0.0
Veal, shoulder, blade, separable lean and fat, cooked, braised               0.0
Veal, shoulder, arm, separable lean and fat, raw                             0.0
Game meat, bear, cooked, simmered                                            0.0
Veal, shoulder, whole (arm and blade), separable lean and fat, cooked,       0.0
Veal, shoulder, whole (arm and blade), separable lean and fat, raw           0.0
Veal, rib, separable lean only, cooked, braised                              0.0
Veal, rib, separable lean and fat, cooked, braised                           0.0
Veal, loin, separable lean only, cooked, roasted                             0.0
Veal, loin, separable lean only, cooked, braised                             0.0
Veal, ground, cooked, broiled                                                0.0
Bison, ground, grass-fed, cooked (Bison bison)                               0.0
Veal, loin, separable lean and fat, cooked, roasted                          0.0
Game meat, moose, cooked, roasted                                            0.0
Veal, variety meats and by-products, liver, raw                              0.0
Game meat, squirrel, cooked, roasted                                         0.0
Game meat, raccoon, cooked, roasted (Procyon lotor)                          0.0
Game meat, rabbit, wild, cooked, stewed                                      0.0
Game meat, rabbit, domesticated, composite of cuts, cooked, stewed           0.0
Game meat, opossum, cooked, roasted (Didelphis virginiana)                   0.0
Game meat, goat, cooked, roasted                                             0.0
Bison, ground, grass-fed, raw (Bison bison)                                  0.0
Game meat, deer, raw (Odocoileus spp.)                                       0.0
Game meat, caribou, cooked, roasted                                          0.0
Game meat, boar, wild, cooked, roasted                                       0.0
Game meat, bison, separable lean only, cooked, roasted (Bison bison)         0.0
Veal, Australian, rib, rib roast, separable lean and fat, raw                0.0
Game meat, beaver, cooked, roasted                                           0.0
Veal, loin, separable lean only, raw                                         0.0
Veal, loin, separable lean and fat, cooked, braised                          0.0
"Lamb, domestic, loin, separable lean only, trimmed to 1/4"" fat, choi       0.0
"Lamb, domestic, cubed for stew or kabob (leg and shoulder), separable       0.0
Lamb, New Zealand, imported, leg chop/steak, bone-in, separable lean o       0.0
Lamb, New Zealand, imported, leg chop/steak, bone-in, separable lean a       0.0
Lamb, New Zealand, imported, fore-shank, separable lean only, cooked,        0.0
Lamb, New Zealand, imported, fore-shank, separable lean only, raw            0.0
Candies, taffy, prepared-from-recipe                                         0.0
Lamb, New Zealand, imported, fore-shank, separable lean and fat, raw         0.0
"Lamb, domestic, shoulder, blade, separable lean and fat, trimmed to 1       0.0
Lamb, New Zealand, imported, frozen, loin, separable lean and fat, coo       0.0
"Lamb, domestic, shoulder, whole (arm and blade), separable lean only,       0.0
"Lamb, domestic, shoulder, whole (arm and blade), separable lean only,       0.0
"Lamb, domestic, shoulder, whole (arm and blade), separable lean only,       0.0
"Lamb, domestic, shoulder, whole (arm and blade), separable lean and f       0.0
"Lamb, domestic, shoulder, whole (arm and blade), separable lean and f       0.0
"Lamb, domestic, rib, separable lean only, trimmed to 1/4"" fat, choic       0.0
Lamb, New Zealand, imported, loin chop, separable lean and fat, raw          0.0
Lamb, New Zealand, imported, loin chop, separable lean only, raw             0.0
Veal, loin, separable lean and fat, raw                                      0.0
Veal, leg (top round), separable lean and fat, raw                           0.0
Veal, leg (top round), separable lean only, cooked, pan-fried, not bre       0.0
Veal, leg (top round), separable lean only, cooked, pan-fried, breaded       0.0
Veal, leg (top round), separable lean and fat, cooked, roasted               0.0
Veal, leg (top round), separable lean and fat, cooked, pan-fried, not        0.0
Veal, leg (top round), separable lean and fat, cooked, pan-fried, brea       0.0
Veal, leg (top round), separable lean and fat, cooked, braised               0.0
Veal, composite of trimmed retail cuts, separable lean only, cooked          0.0
Lamb, New Zealand, imported, rack - partly frenched, separable lean an       0.0
Veal, composite of trimmed retail cuts, separable lean and fat, cooked       0.0
Lamb, New Zealand, imported, square-cut shoulder, separable lean only,       0.0
Lamb, New Zealand, imported, square-cut shoulder, separable lean and f       0.0
Lamb, New Zealand, imported, rack - partly frenched, separable lean on       0.0
Lamb, New Zealand, imported, rack - partly frenched, separable lean on       0.0
Lamb, New Zealand, imported, rack - partly frenched, separable lean an       0.0
Veal, variety meats and by-products, liver, cooked, braised                  0.0
Veal, variety meats and by-products, liver, cooked, pan-fried                0.0
Veal, variety meats and by-products, thymus, raw                             0.0
Beverages, carbonated, cola, without caffeine                                0.0
Lamb, New Zealand, imported, heart, raw                                      0.0
Lamb, New Zealand, imported, heart, cooked, soaked and simmered              0.0
Lamb, New Zealand, imported, ground lamb, raw                                0.0
Lamb, New Zealand, imported, ground lamb, cooked, braised                    0.0
Lamb, New Zealand, imported, liver, raw                                      0.0
Lamb, New Zealand, imported, liver, cooked, soaked and fried                 0.0
Lamb, New Zealand, imported, flap, boneless, separable lean only, raw        0.0
Lamb, New Zealand, imported, sweetbread, raw                                 0.0
Lamb, New Zealand, imported, flap, boneless, separable lean only, cook       0.0
Lamb, New Zealand, imported, kidney, cooked, soaked and fried                0.0
Lamb, New Zealand, imported, chump, boneless, separable lean only, raw       0.0
Lamb, New Zealand, imported, subcutaneous fat, cooked                        0.0
Lamb, New Zealand, imported, chump, boneless, separable lean only, coo       0.0
Lamb, New Zealand, imported, breast, separable lean only, raw                0.0
Lamb, New Zealand, imported, sweetbread, cooked, soaked and simmered         0.0
Lamb, New Zealand, imported, testes, cooked, soaked and fried                0.0
Veal, variety meats and by-products, thymus, cooked, braised                 0.0
Lamb, New Zealand, imported, tenderloin, separable lean only, raw            0.0
Lamb, New Zealand, imported, hind-shank, separable lean only, raw            0.0
Lamb, New Zealand, imported, hind-shank, separable lean only, cooked,        0.0
Lamb, New Zealand, imported, loin, boneless, separable lean only, raw        0.0
Lamb, New Zealand, imported, loin, boneless, separable lean only, cook       0.0
Lamb, New Zealand, imported, loin saddle, separable lean only, raw           0.0
Lamb, New Zealand, imported, loin saddle, separable lean only, cooked,       0.0
Lamb, New Zealand, imported, tenderloin, separable lean only, cooked,        0.0
Lamb, New Zealand, imported, testes, raw                                     0.0
Lamb, New Zealand, imported, square-cut shoulder chops, separable lean       0.0
Lamb, New Zealand, imported, square-cut shoulder chops, separable lean       0.0
Lamb, New Zealand, imported, tunnel-boned leg, chump off, shank off, s       0.0
Lamb, New Zealand, imported, tunnel-boned leg, chump off, shank off, s       0.0
Lamb, New Zealand, imported, tongue - swiss cut, raw                         0.0
Lamb, New Zealand, imported, tongue - swiss cut, cooked, soaked and si       0.0
Lamb, New Zealand, imported, breast, separable lean only, cooked, brai       0.0
Lamb, New Zealand, imported, brains, raw                                     0.0
Lamb, New Zealand, imported, brains, cooked, soaked and fried                0.0
Game meat, bison, ground, cooked, pan-broiled (Bison bison)                  0.0
"Game meat, bison, top round, separable lean only, 1"" steak, raw (Bis       0.0
"Game meat, bison, top round, separable lean only, 1"" steak, cooked,        0.0
"Game meat, bison, ribeye, separable lean only, 1"" steak, cooked, bro       0.0
Game meat, bison, chuck, shoulder clod, separable lean only, raw (Biso       0.0
Game meat, bison, chuck, shoulder clod, separable lean only, cooked, b       0.0
"Game meat , bison, top sirloin, separable lean only, 1"" steak, cooke       0.0
Game meat , bison, ground, raw (Bison bison)                                 0.0
Lamb, New Zealand, imported, subcutaneous fat, raw                           0.0
"Lamb, Australian, imported, fresh, rib chop, frenched, bone-in, separ       0.0
"Lamb, Australian, imported, fresh, rib chop/rack roast, frenched, bon       0.0
"Lamb, Australian, imported, fresh, rib chop, frenched, bone-in, separ       0.0
"Lamb, Australian, imported, fresh, rib chop/rack roast, frenched, bon       0.0
Lamb, ground, cooked, broiled                                                0.0
Lamb, ground, raw                                                            0.0
Game meat, elk, ground, raw (Cervus elaphus)                                 0.0
Game meat, elk, ground, cooked, pan-broiled (Cervus elaphus)                 0.0
Game meat, elk, loin, separable lean only, cooked, broiled (Cervus ela       0.0
Game meat, elk, round, separable lean only, cooked, broiled (Cervus el       0.0
Game meat, elk, tenderloin, separable lean only, cooked, broiled (Cerv       0.0
