row      NDB_No  FdGrp_Cd                                          Long_Desc    DHA
5784   18282      1800  Muffins, corn, prepared from recipe, made with...  0.003
5851   18365      1800              Waffles, plain, frozen, ready-to-heat  0.003
5862   18377      1800  Cookies, oatmeal, prepared from recipe, withou...  0.003
5863   18378      1800  Cookies, chocolate chip, prepared from recipe,...  0.003
5581   18024      1800  Bread, cornbread, prepared from recipe, made w...  0.003
2444    9446       900                            Plantains, green, fried  0.003
5587   18032      1800            Bread, irish soda, prepared from recipe  0.002
5632   18095      1800         Cake, cherry fudge with chocolate frosting  0.002
5789   18290      1800       Pancakes, plain, dry mix, complete, prepared  0.002
5781   18279      1800               Muffins, corn, commercially prepared  0.002
5756   18251      1800  Doughnuts, cake-type, chocolate, sugared or gl...  0.002
5749   18244      1800                  Danish pastry, cinnamon, enriched  0.002
5746   18241      1800                                 Croissants, cheese  0.002
5744   18239      1800                                 Croissants, butter  0.002
5714   18208      1800  Cookies, sugar, prepared from recipe, made wit...  0.002
5698   18187      1800         Cookies, peanut butter, refrigerated dough  0.002
5671   18157      1800                          Cookies, chocolate wafers  0.002
5648   18119      1800  Cake, pineapple upside-down, prepared from recipe  0.002
5867   18386      1800          Muffins, blueberry, toaster-type, toasted  0.002
5896   18430      1800                Danish pastry, cinnamon, unenriched  0.002
5902   18436      1800  Doughnuts, yeast-leavened, glazed, unenriched ...  0.002
5999   18951      1800     Waffles, chocolate chip, frozen, ready-to-heat  0.002
5683   18171      1800                                   Cookies, fortune  0.001
5693   18182      1800               Cookies, oatmeal, refrigerated dough  0.001
5694   18183      1800        Cookies, oatmeal, refrigerated dough, baked  0.001
5666   18151      1800           Cookies, brownies, commercially prepared  0.001
5640   18106      1800                                  Coffeecake, fruit  0.001
5643   18110      1800             Cake, fruitcake, commercially prepared  0.001
2445    9447       900        Plantains, yellow, fried, Latino restaurant  0.001
5750   18245      1800                              Danish pastry, cheese  0.001
6011   18963      1800                               Garlic bread, frozen  0.001
5753   18248      1800  Doughnuts, cake-type, plain (includes unsugare...  0.001
6007   18959      1800       Pastry, Pastelitos de Guava (guava pastries)  0.001
5757   18253      1800                 Doughnuts, french crullers, glazed  0.001
5729   18223      1800                                     Crackers, milk  0.001
5853   18368      1800       Wonton wrappers (includes egg roll wrappers)  0.001
5841   18354      1800                                     Strudel, apple  0.001
5830   18342      1800  Rolls, dinner, plain, commercially prepared (i...  0.001
5779   18277      1800                   Muffins, blueberry, toaster-type  0.001
5783   18281      1800                        Muffins, corn, toaster-type  0.001
5712   18205      1800                 Cookies, sugar, refrigerated dough  0.001
5702   18191      1800                         Cookies, raisin, soft-type  0.001
5711   18204      1800  Cookies, sugar, commercially prepared, regular...  0.001
5787   18288      1800  Pancakes plain, frozen, ready-to-heat (include...  0.000
5785   18283      1800                                  Muffins, oat bran  0.000
5672   18158      1800  Cookies, chocolate chip, commercially prepared...  0.000
5723   18217      1800                             Crackers, matzo, plain  0.000
5798   18301      1800  Pie, apple, commercially prepared, enriched flour  0.000
8122   28320      1800                 English muffins, whole grain white  0.000
5710   18202      1800  Cookies, sugar wafer, with creme filling, suga...  0.000
5794   18295      1800           Pancakes, buckwheat, dry mix, incomplete  0.000
5673   18159      1800  Cookies, chocolate chip, commercially prepared...  0.000
5790   18291      1800  Pancakes, plain, dry mix, incomplete (includes...  0.000
8115   28313      1800           Rolls, hamburger or hot dog, whole wheat  0.000
8114   28312      1800   Rolls, hamburger or hot dog, wheat/cracked wheat  0.000
5788   18289      1800  Pancakes, plain, dry mix, complete (includes b...  0.000
5674   18160      1800  Cookies, chocolate chip, commercially prepared...  0.000
8123   28321      1800  Rolls, hamburger, whole grain white, calcium-f...  0.000
8124   28322      1800                                 Bagels, multigrain  0.000
8087   28285      1800  Bread, chapati or roti, whole wheat, commercia...  0.000
8126   28324      1800         Pancakes, whole wheat, dry mix, incomplete  0.000
8232   31036      1100                     Potatoes, mashed, ready-to-eat  0.000
5763   18260      1800    English muffins, mixed-grain (includes granola)  0.000
5665   18148      1800         Cheesecake prepared from mix, no-bake type  0.000
8127   28325      1800                  Crackers, toast thins, low sodium  0.000
8231   31035      1100     Vegetable juice, BOLTHOUSE FARMS, DAILY GREENS  0.000
5762   18259      1800  English muffins, plain, toasted, enriched, wit...  0.000
8128   28326      1800  Crackers, whole grain, sandwich-type, with pea...  0.000
5761   18258      1800  English muffins, plain, enriched, with ca prop...  0.000
5662   18144      1800                    Cake, yellow, enriched, dry mix  0.000
8230   31034      1100                       Peppers, hot pickled, canned  0.000
8229   31033      1100  Ginger root, pickled, canned, with artificial ...  0.000
8228   31032      1100       Vegetable smoothie, NAKED JUICE, KALE BLAZER  0.000
8219   31023      1100  Sweet Potatoes, french fried, frozen as packag...  0.000
8093   28291      1800            Cookies, animal, with frosting or icing  0.000
5716   18210      1800       Cookies, vanilla sandwich with creme filling  0.000
8218   31022      1100  Potatoes, hash brown, refrigerated, prepared, ...  0.000
5661   18142      1800                Cake, pudding-type, yellow, dry mix  0.000
5715   18209      1800  Cookies, sugar wafers with creme filling, regular  0.000
5764   18261      1800  English muffins, mixed-grain, toasted (include...  0.000
5765   18262      1800  English muffins, raisin-cinnamon (includes app...  0.000
8088   28286      1800  Bread, paratha, whole wheat, commercially prep...  0.000
8089   28287      1800  Bread, naan, whole wheat, commercially prepare...  0.000
5775   18272      1800                Ice cream cones, sugar, rolled-type  0.000
5774   18271      1800                Ice cream cones, cake or wafer-type  0.000
8090   28288      1800                      Bread, roll, Mexican, bollilo  0.000
8091   28289      1800  Cookie, vanilla with caramel, coconut, and cho...  0.000
8092   28290      1800  Cookie, with peanut butter filling, chocolate-...  0.000
5770   18267      1800              English muffins, whole-wheat, toasted  0.000
5769   18266      1800                       English muffins, whole-wheat  0.000
5768   18265      1800                    English muffins, wheat, toasted  0.000
5767   18264      1800                             English muffins, wheat  0.000
8125   28323      1800  Pancakes, plain, low fat, dry mix, incomplete ...  0.000
5766   18263      1800  English muffins, raisin-cinnamon, toasted (inc...  0.000
5799   18302      1800                   Pie, apple, prepared from recipe  0.000
8598   42196      1900  Candies, MARS SNACKFOOD US, MILKY WAY Midnight...  0.000
5826   18336      1800  Pie crust, standard-type, prepared from recipe...  0.000
5825   18335      1800  Pie crust, standard-type, frozen, ready-to-bak...  0.000
5691   18179      1800  Cookies, oatmeal, commercially prepared, soft-...  0.000
5690   18178      1800   Cookies, oatmeal, commercially prepared, regular  0.000
5824   18334      1800  Pie crust, standard-type, frozen, ready-to-bak...  0.000
5822   18332      1800                  Pie crust, standard-type, dry mix  0.000
5819   18326      1800                Pie, pumpkin, commercially prepared  0.000
5689   18177      1800                                  Cookies, molasses  0.000
5817   18324      1800                  Pie, pecan, commercially prepared  0.000
5816   18323      1800                                         Pie, peach  0.000
5815   18322      1800                   Pie, mince, prepared from recipe  0.000
5688   18176      1800  Cookies, marshmallow, chocolate-coated (includ...  0.000
5703   18192      1800  Cookies, shortbread, commercially prepared, plain  0.000
8120   28318      1800               Bread, french or vienna, whole wheat  0.000
8116   28314      1800  Crackers, sandwich-type, peanut butter filled,...  0.000
8118   28316      1800                             Bread, wheat, sprouted  0.000
8117   28315      1800                                    Bread, cinnamon  0.000
5828   18338      1800                                       Phyllo dough  0.000
5701   18190      1800           Cookies, peanut butter sandwich, regular  0.000
5692   18180      1800                          Cookies, oatmeal, dry mix  0.000
8599   42200      1600                                              Papad  0.000
5827   18337      1800                 Puff pastry, frozen, ready-to-bake  0.000
5686   18174      1800         Cookies, graham crackers, chocolate-coated  0.000
5804   18308      1800                 Pie, cherry, commercially prepared  0.000
5803   18306      1800               Pie, blueberry, prepared from recipe  0.000
5802   18305      1800              Pie, blueberry, commercially prepared  0.000
5708   18200      1800  Cookies, oatmeal, commercially prepared, speci...  0.000
5680   18167      1800  Cookies, chocolate sandwich, with creme fillin...  0.000
5679   18166      1800  Cookies, chocolate sandwich, with creme fillin...  0.000
5806   18310      1800        Pie, chocolate creme, commercially prepared  0.000
8121   28319      1800                          Bagels, whole grain white  0.000
